"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"UNE"	"WINAQ"	"LIBRE"	"UNIONISTA"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13922"	"4"	"13"	"18"	"2"	"400"	"67"	"26"	"131"	"49"	"4"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"8"	"3"	"0"	"296"	"296"	"1"	"0"
"13923"	"4"	"13"	"18"	"2"	"400"	"91"	"14"	"113"	"90"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"14"	"4"	"0"	"331"	"331"	"1"	"0"
"13924"	"4"	"13"	"18"	"2"	"400"	"64"	"46"	"72"	"74"	"2"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"10"	"7"	"0"	"282"	"282"	"1"	"0"
"13925"	"4"	"13"	"18"	"2"	"400"	"30"	"59"	"81"	"34"	"6"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"5"	"5"	"0"	"229"	"229"	"1"	"0"
"13926"	"4"	"13"	"18"	"2"	"400"	"33"	"93"	"44"	"33"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"6"	"0"	"0"	"218"	"218"	"1"	"0"
"13927"	"4"	"13"	"18"	"2"	"400"	"47"	"66"	"84"	"56"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"3"	"0"	"274"	"274"	"1"	"0"
"13928"	"4"	"13"	"18"	"2"	"385"	"38"	"63"	"78"	"39"	"5"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"4"	"6"	"0"	"240"	"240"	"1"	"0"
"13929"	"4"	"13"	"18"	"2"	"384"	"46"	"78"	"69"	"40"	"6"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"1"	"0"	"1"	"244"	"244"	"1"	"0"
"13930"	"4"	"13"	"18"	"2"	"400"	"4"	"83"	"6"	"120"	"26"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"9"	"0"	"258"	"258"	"1"	"0"
"13931"	"4"	"13"	"18"	"2"	"398"	"4"	"94"	"5"	"88"	"25"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"9"	"8"	"0"	"239"	"239"	"1"	"0"
