"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"TODOS"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"PC"	"PAN"	"UNIONISTA"	"VALOR"	"FCN_NACION"	"CREO"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13331"	"4"	"13"	"6"	"2"	"400"	"25"	"30"	"14"	"2"	"16"	"8"	"22"	"4"	"13"	"2"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"7"	"6"	"0"	"177"	"177"	"1"	"0"
"13332"	"4"	"13"	"6"	"2"	"396"	"16"	"34"	"10"	"5"	"8"	"2"	"24"	"2"	"6"	"4"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"8"	"8"	"0"	"153"	"153"	"1"	"0"
"13333"	"4"	"13"	"6"	"2"	"281"	"8"	"19"	"14"	"0"	"10"	"5"	"19"	"1"	"4"	"1"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"1"	"2"	"0"	"102"	"102"	"1"	"0"
"13334"	"4"	"13"	"6"	"2"	"281"	"9"	"21"	"12"	"2"	"7"	"4"	"13"	"2"	"10"	"2"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"3"	"1"	"0"	"108"	"108"	"1"	"0"
"13335"	"4"	"13"	"6"	"2"	"400"	"14"	"61"	"13"	"1"	"2"	"21"	"21"	"0"	"19"	"4"	"29"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"33"	"9"	"0"	"238"	"238"	"1"	"0"
"13336"	"4"	"13"	"6"	"2"	"396"	"10"	"63"	"30"	"0"	"1"	"43"	"14"	"1"	"14"	"2"	"41"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"26"	"7"	"0"	"262"	"262"	"1"	"0"
"13337"	"4"	"13"	"6"	"2"	"400"	"16"	"37"	"17"	"0"	"0"	"22"	"21"	"0"	"14"	"11"	"56"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"23"	"4"	"0"	"248"	"248"	"1"	"0"
"13338"	"4"	"13"	"6"	"2"	"219"	"4"	"34"	"8"	"0"	"0"	"13"	"13"	"0"	"10"	"5"	"19"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"7"	"2"	"0"	"124"	"124"	"1"	"0"
"13339"	"4"	"13"	"6"	"2"	"218"	"6"	"26"	"15"	"0"	"0"	"8"	"17"	"1"	"6"	"4"	"32"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"2"	"3"	"0"	"130"	"130"	"1"	"0"
"13340"	"4"	"13"	"6"	"2"	"400"	"7"	"78"	"29"	"0"	"2"	"37"	"12"	"0"	"6"	"2"	"63"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"10"	"12"	"0"	"259"	"259"	"1"	"0"
"13341"	"4"	"13"	"6"	"2"	"400"	"23"	"51"	"20"	"1"	"6"	"10"	"20"	"3"	"4"	"4"	"87"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"13"	"7"	"0"	"251"	"251"	"1"	"0"
"13342"	"4"	"13"	"6"	"2"	"400"	"23"	"47"	"10"	"1"	"8"	"15"	"24"	"1"	"8"	"2"	"70"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"7"	"7"	"0"	"223"	"223"	"1"	"0"
"13343"	"4"	"13"	"6"	"2"	"225"	"10"	"36"	"7"	"0"	"2"	"12"	"12"	"0"	"5"	"4"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"7"	"2"	"0"	"137"	"137"	"1"	"0"
"13344"	"4"	"13"	"6"	"2"	"224"	"6"	"31"	"8"	"2"	"4"	"15"	"8"	"1"	"3"	"1"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"4"	"1"	"0"	"117"	"117"	"1"	"0"
"13345"	"4"	"13"	"6"	"2"	"550"	"8"	"33"	"16"	"4"	"3"	"6"	"5"	"3"	"9"	"8"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"8"	"6"	"0"	"137"	"137"	"1"	"0"
