"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"VALOR"	"PPT"	"URNG_MAIZ"	"CREO"	"VAMOS"	"PHG"	"CONVERGENCIA"	"BIEN"	"TODOS"	"CCO"	"UNIONISTA"	"PC"	"PODEMOS"	"SEMILLA"	"UCN"	"UNIDOS"	"PAN"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9525"	"4"	"9"	"9"	"2"	"400"	"18"	"18"	"23"	"31"	"4"	"6"	"31"	"23"	"6"	"12"	"20"	"30"	"3"	"6"	"1"	"5"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"4"	"2"	"0"	"250"	"250"	"1"	"0"
"9526"	"4"	"9"	"9"	"2"	"400"	"14"	"37"	"18"	"13"	"4"	"4"	"19"	"26"	"0"	"4"	"19"	"20"	"2"	"18"	"1"	"2"	"2"	"4"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"12"	"8"	"0"	"255"	"255"	"1"	"0"
"9527"	"4"	"9"	"9"	"2"	"400"	"18"	"37"	"15"	"18"	"6"	"3"	"23"	"16"	"0"	"4"	"24"	"11"	"3"	"19"	"6"	"2"	"2"	"2"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"16"	"16"	"0"	"272"	"272"	"1"	"0"
"9528"	"4"	"9"	"9"	"2"	"400"	"16"	"35"	"22"	"21"	"3"	"2"	"20"	"29"	"1"	"2"	"12"	"14"	"0"	"18"	"2"	"3"	"0"	"3"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"9"	"11"	"0"	"250"	"250"	"1"	"0"
"9529"	"4"	"9"	"9"	"2"	"209"	"4"	"11"	"10"	"15"	"2"	"2"	"7"	"11"	"0"	"1"	"11"	"5"	"1"	"13"	"4"	"2"	"0"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"6"	"4"	"0"	"126"	"126"	"1"	"0"
"9530"	"4"	"9"	"9"	"2"	"205"	"13"	"17"	"6"	"8"	"1"	"3"	"14"	"10"	"1"	"5"	"15"	"10"	"2"	"9"	"0"	"0"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"2"	"1"	"0"	"127"	"127"	"1"	"0"
"9531"	"4"	"9"	"9"	"2"	"400"	"28"	"68"	"8"	"26"	"6"	"2"	"11"	"34"	"0"	"3"	"11"	"18"	"1"	"6"	"2"	"6"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"19"	"18"	"0"	"274"	"274"	"1"	"0"
"9532"	"4"	"9"	"9"	"2"	"399"	"35"	"72"	"9"	"32"	"5"	"3"	"6"	"31"	"6"	"2"	"14"	"18"	"5"	"5"	"1"	"1"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"12"	"17"	"0"	"284"	"284"	"1"	"0"
"9533"	"4"	"9"	"9"	"2"	"400"	"56"	"82"	"15"	"30"	"4"	"7"	"14"	"27"	"1"	"1"	"10"	"20"	"3"	"4"	"1"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"16"	"14"	"0"	"310"	"310"	"1"	"0"
"9534"	"4"	"9"	"9"	"2"	"400"	"34"	"37"	"17"	"31"	"1"	"7"	"17"	"29"	"2"	"3"	"15"	"21"	"5"	"4"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"8"	"10"	"0"	"247"	"247"	"1"	"0"
