"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"UNIONISTA"	"TODOS"	"PC"	"LIBRE"	"CREO"	"FUERZA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5048"	"4"	"2"	"12"	"2"	"400"	"27"	"57"	"11"	"9"	"55"	"83"	"10"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"9"	"0"	"0"	"269"	"269"	"1"	"0"
"5049"	"4"	"2"	"12"	"2"	"400"	"28"	"43"	"16"	"10"	"61"	"93"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"1"	"0"	"269"	"269"	"1"	"1"
"5050"	"4"	"2"	"12"	"2"	"400"	"20"	"55"	"13"	"4"	"69"	"84"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"4"	"4"	"0"	"265"	"265"	"1"	"0"
"5051"	"4"	"2"	"12"	"2"	"400"	"17"	"49"	"25"	"8"	"83"	"62"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"2"	"0"	"260"	"260"	"1"	"0"
"5052"	"4"	"2"	"12"	"2"	"400"	"25"	"56"	"17"	"3"	"78"	"66"	"9"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"9"	"3"	"0"	"278"	"278"	"1"	"0"
"5053"	"4"	"2"	"12"	"2"	"596"	"25"	"56"	"20"	"5"	"71"	"67"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"2"	"1"	"0"	"259"	"259"	"1"	"0"
"5054"	"4"	"2"	"12"	"2"	"400"	"15"	"53"	"14"	"6"	"52"	"73"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"7"	"1"	"0"	"229"	"229"	"1"	"0"
"5055"	"4"	"2"	"12"	"2"	"400"	"19"	"59"	"7"	"2"	"48"	"78"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"1"	"6"	"0"	"232"	"232"	"1"	"0"
"5056"	"4"	"2"	"12"	"2"	"400"	"13"	"69"	"20"	"7"	"61"	"74"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"1"	"1"	"0"	"254"	"254"	"1"	"0"
"5057"	"4"	"2"	"12"	"2"	"396"	"15"	"41"	"20"	"5"	"60"	"63"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"6"	"2"	"0"	"225"	"225"	"1"	"0"
