"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VALOR"	"WINAQ"	"FCN_NACION"	"PHG"	"UNE"	"UNIONISTA"	"URNG_MAIZ"	"BIEN"	"FUERZA"	"PODEMOS"	"AVANZA"	"CREO"	"MLP"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17616"	"4"	"17"	"3"	"2"	"400"	"10"	"0"	"2"	"30"	"13"	"86"	"1"	"1"	"61"	"6"	"3"	"9"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"7"	"2"	"0"	"238"	"238"	"1"	"0"
"17617"	"4"	"17"	"3"	"2"	"399"	"12"	"2"	"4"	"15"	"5"	"100"	"3"	"0"	"50"	"8"	"3"	"8"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"5"	"0"	"228"	"228"	"1"	"0"
"17618"	"4"	"17"	"3"	"2"	"400"	"8"	"1"	"4"	"21"	"10"	"121"	"1"	"2"	"72"	"7"	"2"	"4"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"2"	"2"	"4"	"280"	"280"	"1"	"0"
"17619"	"4"	"17"	"3"	"2"	"400"	"9"	"1"	"1"	"25"	"8"	"129"	"2"	"4"	"78"	"5"	"5"	"10"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"1"	"1"	"0"	"292"	"292"	"1"	"0"
"17620"	"4"	"17"	"3"	"2"	"400"	"5"	"3"	"4"	"27"	"11"	"131"	"2"	"2"	"69"	"7"	"4"	"4"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"283"	"1"	"0"	"1"	"284"	"284"	"0"	"0"
"17621"	"4"	"17"	"3"	"2"	"368"	"8"	"1"	"3"	"21"	"13"	"112"	"2"	"0"	"45"	"4"	"5"	"3"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"3"	"3"	"0"	"234"	"234"	"1"	"0"
"17622"	"4"	"17"	"3"	"2"	"368"	"10"	"2"	"3"	"14"	"7"	"69"	"1"	"0"	"41"	"1"	"0"	"10"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"16"	"1"	"0"	"182"	"182"	"1"	"0"
"17623"	"4"	"17"	"3"	"2"	"400"	"7"	"3"	"1"	"34"	"12"	"109"	"0"	"4"	"40"	"8"	"4"	"5"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"14"	"1"	"0"	"262"	"262"	"1"	"0"
"17624"	"4"	"17"	"3"	"2"	"400"	"2"	"0"	"5"	"29"	"11"	"108"	"2"	"2"	"43"	"6"	"2"	"16"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"12"	"6"	"0"	"256"	"256"	"1"	"0"
"17625"	"4"	"17"	"3"	"2"	"400"	"4"	"4"	"2"	"41"	"15"	"116"	"3"	"2"	"47"	"7"	"1"	"1"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"257"	"11"	"7"	"0"	"280"	"275"	"0"	"0"
