"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"UCN"	"URNG_MAIZ"	"CONVERGENCIA"	"PHG"	"UNIONISTA"	"VAMOS"	"FUERZA"	"LIBRE"	"VICTORIA"	"SEMILLA"	"TODOS"	"EG"	"VALOR"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12297"	"4"	"12"	"15"	"2"	"400"	"118"	"32"	"5"	"10"	"5"	"43"	"2"	"6"	"9"	"3"	"0"	"8"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"17"	"3"	"0"	"263"	"263"	"1"	"0"
"12298"	"4"	"12"	"15"	"2"	"400"	"100"	"40"	"5"	"12"	"5"	"50"	"6"	"10"	"10"	"2"	"2"	"19"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"16"	"4"	"0"	"287"	"287"	"1"	"0"
"12299"	"4"	"12"	"15"	"2"	"400"	"106"	"25"	"4"	"8"	"6"	"49"	"5"	"9"	"3"	"0"	"0"	"12"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"2"	"0"	"242"	"242"	"1"	"0"
"12300"	"4"	"12"	"15"	"2"	"398"	"89"	"19"	"7"	"11"	"4"	"49"	"3"	"3"	"7"	"2"	"2"	"17"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"1"	"0"	"227"	"227"	"1"	"0"
"12301"	"4"	"12"	"15"	"2"	"398"	"85"	"25"	"8"	"7"	"4"	"53"	"1"	"8"	"4"	"1"	"2"	"9"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"11"	"3"	"0"	"227"	"227"	"1"	"0"
"12302"	"4"	"12"	"15"	"2"	"400"	"81"	"36"	"3"	"12"	"8"	"46"	"3"	"8"	"12"	"3"	"1"	"9"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"9"	"3"	"0"	"241"	"241"	"1"	"0"
"12303"	"4"	"12"	"15"	"2"	"400"	"89"	"42"	"7"	"7"	"7"	"51"	"1"	"6"	"6"	"1"	"1"	"21"	"3"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"7"	"1"	"0"	"255"	"255"	"1"	"0"
"12304"	"4"	"12"	"15"	"2"	"400"	"89"	"34"	"4"	"10"	"13"	"47"	"5"	"11"	"11"	"1"	"1"	"14"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"7"	"3"	"0"	"257"	"257"	"1"	"0"
"12305"	"4"	"12"	"15"	"2"	"400"	"80"	"39"	"6"	"12"	"4"	"55"	"4"	"9"	"7"	"1"	"2"	"13"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"5"	"0"	"258"	"258"	"1"	"0"
"12306"	"4"	"12"	"15"	"2"	"400"	"96"	"33"	"7"	"9"	"12"	"45"	"3"	"9"	"7"	"2"	"2"	"23"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"14"	"132"	"0"	"400"	"400"	"1"	"0"
