"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"URNG_MAIZ"	"BIEN"	"VAMOS"	"FUERZA"	"LIBRE"	"UCN"	"PHG"	"UNIONISTA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12728"	"4"	"12"	"24"	"2"	"380"	"0"	"19"	"4"	"32"	"127"	"3"	"3"	"13"	"8"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"14"	"7"	"0"	"248"	"248"	"1"	"0"
"12729"	"4"	"12"	"24"	"2"	"380"	"1"	"19"	"1"	"23"	"122"	"2"	"1"	"6"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"11"	"17"	"0"	"224"	"224"	"1"	"0"
"12730"	"4"	"12"	"24"	"2"	"380"	"1"	"13"	"2"	"26"	"82"	"2"	"6"	"11"	"10"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"14"	"9"	"0"	"188"	"188"	"1"	"0"
"12731"	"4"	"12"	"24"	"2"	"271"	"0"	"4"	"0"	"14"	"70"	"1"	"1"	"4"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"8"	"6"	"0"	"120"	"120"	"1"	"0"
"12732"	"4"	"12"	"24"	"2"	"270"	"0"	"7"	"2"	"8"	"67"	"3"	"1"	"4"	"9"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"6"	"4"	"0"	"123"	"123"	"1"	"0"
"12733"	"4"	"12"	"24"	"2"	"380"	"0"	"45"	"0"	"8"	"62"	"7"	"1"	"36"	"31"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"26"	"13"	"0"	"251"	"251"	"1"	"0"
"12734"	"4"	"12"	"24"	"2"	"380"	"0"	"39"	"1"	"7"	"82"	"20"	"0"	"30"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"22"	"14"	"0"	"247"	"247"	"1"	"0"
"12735"	"4"	"12"	"24"	"2"	"400"	"3"	"39"	"0"	"5"	"70"	"7"	"1"	"22"	"22"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"16"	"16"	"0"	"210"	"210"	"1"	"0"
"12736"	"4"	"12"	"24"	"2"	"261"	"0"	"30"	"0"	"10"	"39"	"3"	"0"	"24"	"13"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"9"	"5"	"0"	"149"	"149"	"1"	"0"
"12737"	"4"	"12"	"24"	"2"	"261"	"0"	"26"	"0"	"8"	"33"	"10"	"0"	"15"	"21"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"4"	"6"	"0"	"139"	"139"	"1"	"0"
"12738"	"4"	"12"	"24"	"2"	"428"	"0"	"20"	"1"	"4"	"18"	"5"	"1"	"14"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"83"	"83"	"6"	"5"	"1"	"94"	"94"	"1"	"0"
"12739"	"4"	"12"	"24"	"2"	"427"	"0"	"16"	"0"	"8"	"12"	"4"	"0"	"14"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"71"	"4"	"5"	"0"	"80"	"80"	"1"	"0"
