"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VIVA"	"VAMOS"	"BIEN"	"PC"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15553"	"4"	"14"	"19"	"2"	"396"	"111"	"2"	"11"	"34"	"22"	"83"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"9"	"2"	"0"	"306"	"306"	"1"	"0"
"15554"	"4"	"14"	"19"	"2"	"400"	"107"	"7"	"7"	"38"	"22"	"107"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"9"	"5"	"0"	"325"	"325"	"1"	"0"
"15555"	"4"	"14"	"19"	"2"	"400"	"159"	"2"	"5"	"33"	"32"	"87"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"5"	"3"	"0"	"342"	"342"	"1"	"0"
"15556"	"4"	"14"	"19"	"2"	"396"	"106"	"4"	"6"	"30"	"37"	"85"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"12"	"0"	"0"	"295"	"295"	"1"	"0"
"15557"	"4"	"14"	"19"	"2"	"396"	"71"	"1"	"5"	"28"	"44"	"92"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"4"	"1"	"0"	"259"	"259"	"1"	"0"
"15558"	"4"	"14"	"19"	"2"	"400"	"83"	"1"	"15"	"29"	"40"	"88"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"18"	"4"	"0"	"297"	"297"	"1"	"0"
"15559"	"4"	"14"	"19"	"2"	"400"	"81"	"5"	"16"	"40"	"23"	"99"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"13"	"1"	"1"	"299"	"299"	"1"	"0"
"15560"	"4"	"14"	"19"	"2"	"400"	"68"	"9"	"12"	"25"	"42"	"98"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"7"	"0"	"287"	"287"	"1"	"0"
"15561"	"4"	"14"	"19"	"2"	"400"	"109"	"5"	"7"	"31"	"26"	"104"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"15"	"3"	"0"	"306"	"306"	"1"	"0"
"15562"	"4"	"14"	"19"	"2"	"396"	"84"	"3"	"16"	"27"	"39"	"110"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"4"	"4"	"0"	"303"	"303"	"1"	"0"
