"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PPT"	"C_I_P_"	"VALOR"	"VIVA"	"UNE"	"CONVERGENCIA"	"LIBRE"	"PODEMOS"	"FUERZA"	"FCN_NACION"	"UCN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9797"	"4"	"9"	"17"	"2"	"380"	"19"	"38"	"15"	"4"	"78"	"0"	"0"	"1"	"34"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"12"	"7"	"0"	"226"	"226"	"1"	"0"
"9798"	"4"	"9"	"17"	"2"	"380"	"24"	"36"	"15"	"10"	"77"	"0"	"0"	"2"	"15"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"13"	"13"	"0"	"213"	"213"	"1"	"0"
"9799"	"4"	"9"	"17"	"2"	"378"	"7"	"44"	"13"	"4"	"87"	"1"	"0"	"0"	"25"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"17"	"5"	"0"	"214"	"214"	"1"	"0"
"9800"	"4"	"9"	"17"	"2"	"380"	"15"	"43"	"17"	"11"	"75"	"0"	"0"	"1"	"26"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"19"	"7"	"0"	"224"	"224"	"1"	"0"
"9801"	"4"	"9"	"17"	"2"	"380"	"11"	"52"	"15"	"4"	"71"	"0"	"0"	"3"	"19"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"8"	"6"	"0"	"194"	"194"	"1"	"0"
"9802"	"4"	"9"	"17"	"2"	"376"	"6"	"47"	"22"	"10"	"70"	"0"	"1"	"3"	"14"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"16"	"3"	"0"	"198"	"198"	"1"	"0"
"9803"	"4"	"9"	"17"	"2"	"380"	"12"	"31"	"10"	"2"	"55"	"0"	"0"	"0"	"30"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"12"	"7"	"0"	"168"	"168"	"1"	"0"
"9804"	"4"	"9"	"17"	"2"	"380"	"8"	"38"	"5"	"3"	"62"	"0"	"1"	"0"	"12"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"12"	"5"	"0"	"153"	"153"	"1"	"0"
"9805"	"4"	"9"	"17"	"2"	"192"	"9"	"21"	"10"	"2"	"38"	"0"	"0"	"1"	"11"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"3"	"3"	"0"	"101"	"101"	"1"	"0"
"9806"	"4"	"9"	"17"	"2"	"191"	"9"	"21"	"10"	"3"	"35"	"0"	"0"	"0"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	"94"	"4"	"0"	"0"	"98"	"98"	"1"	"0"
"9807"	"4"	"9"	"17"	"2"	"380"	"1"	"30"	"33"	"6"	"57"	"0"	"1"	"4"	"4"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"18"	"14"	"0"	"186"	"186"	"1"	"0"
"9808"	"4"	"9"	"17"	"2"	"380"	"7"	"12"	"33"	"6"	"49"	"1"	"0"	"1"	"6"	"30"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"17"	"15"	"0"	"178"	"178"	"1"	"0"
"9809"	"4"	"9"	"17"	"2"	"194"	"0"	"3"	"12"	"2"	"27"	"1"	"0"	"0"	"1"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"65"	"65"	"8"	"3"	"0"	"76"	"76"	"1"	"0"
"9810"	"4"	"9"	"17"	"2"	"193"	"0"	"7"	"8"	"4"	"23"	"2"	"0"	"0"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"55"	"4"	"2"	"0"	"61"	"61"	"1"	"0"
"9811"	"4"	"9"	"17"	"2"	"376"	"4"	"34"	"27"	"39"	"78"	"1"	"3"	"3"	"5"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"12"	"4"	"0"	"222"	"222"	"1"	"0"
"9812"	"4"	"9"	"17"	"2"	"380"	"2"	"61"	"29"	"52"	"69"	"0"	"2"	"0"	"1"	"9"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"15"	"4"	"0"	"257"	"257"	"1"	"0"
"9813"	"4"	"9"	"17"	"2"	"380"	"2"	"40"	"48"	"37"	"70"	"0"	"1"	"1"	"1"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"12"	"7"	"0"	"231"	"231"	"1"	"0"
"9814"	"4"	"9"	"17"	"2"	"375"	"4"	"62"	"27"	"41"	"102"	"1"	"1"	"0"	"4"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"11"	"1"	"0"	"273"	"273"	"1"	"0"
"9815"	"4"	"9"	"17"	"2"	"380"	"5"	"51"	"50"	"24"	"70"	"0"	"0"	"1"	"1"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"19"	"7"	"0"	"242"	"242"	"1"	"0"
"9816"	"4"	"9"	"17"	"2"	"380"	"4"	"48"	"54"	"30"	"77"	"3"	"0"	"0"	"1"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"12"	"10"	"0"	"251"	"251"	"1"	"0"
"9817"	"4"	"9"	"17"	"2"	"376"	"6"	"45"	"31"	"33"	"68"	"3"	"3"	"2"	"1"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"15"	"6"	"0"	"229"	"229"	"1"	"0"
"9818"	"4"	"9"	"17"	"2"	"380"	"2"	"37"	"39"	"34"	"64"	"1"	"0"	"0"	"1"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"3"	"2"	"0"	"195"	"195"	"1"	"0"
"9819"	"4"	"9"	"17"	"2"	"377"	"1"	"35"	"42"	"52"	"72"	"3"	"0"	"0"	"3"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"5"	"3"	"0"	"231"	"231"	"1"	"0"
