"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PPT"	"C_I_P_"	"VALOR"	"VIVA"	"UNE"	"CONVERGENCIA"	"LIBRE"	"PODEMOS"	"FUERZA"	"FCN_NACION"	"UCN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9845"	"4"	"9"	"17"	"2"	"376"	"1"	"33"	"8"	"2"	"113"	"0"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"20"	"9"	"0"	"192"	"192"	"1"	"0"
"9846"	"4"	"9"	"17"	"2"	"380"	"2"	"33"	"9"	"1"	"107"	"3"	"7"	"0"	"2"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"16"	"6"	"0"	"205"	"205"	"1"	"0"
"9847"	"4"	"9"	"17"	"2"	"380"	"0"	"44"	"12"	"6"	"106"	"3"	"3"	"0"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"12"	"2"	"0"	"197"	"197"	"1"	"0"
"9848"	"4"	"9"	"17"	"2"	"300"	"0"	"30"	"10"	"0"	"91"	"2"	"3"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"7"	"6"	"0"	"153"	"153"	"1"	"0"
"9849"	"4"	"9"	"17"	"2"	"299"	"1"	"28"	"5"	"0"	"69"	"0"	"7"	"1"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"2"	"3"	"0"	"126"	"126"	"1"	"0"
"9850"	"4"	"9"	"17"	"2"	"600"	"2"	"10"	"12"	"5"	"61"	"0"	"0"	"0"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"2"	"10"	"0"	"111"	"111"	"1"	"0"
"9851"	"4"	"9"	"17"	"2"	"600"	"1"	"20"	"19"	"9"	"74"	"0"	"0"	"3"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"6"	"6"	"0"	"147"	"147"	"1"	"0"
"9852"	"4"	"9"	"17"	"2"	"600"	"1"	"27"	"14"	"18"	"69"	"4"	"1"	"0"	"2"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"8"	"5"	"0"	"160"	"160"	"1"	"0"
"9853"	"4"	"9"	"17"	"2"	"596"	"2"	"17"	"11"	"10"	"49"	"1"	"0"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"5"	"2"	"0"	"105"	"105"	"1"	"0"
"9854"	"4"	"9"	"17"	"2"	"600"	"6"	"15"	"21"	"7"	"45"	"0"	"0"	"1"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"9"	"1"	"0"	"114"	"114"	"1"	"0"
"9855"	"4"	"9"	"17"	"2"	"548"	"0"	"11"	"12"	"7"	"44"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"2"	"8"	"0"	"89"	"89"	"1"	"0"
"9856"	"4"	"9"	"17"	"2"	"548"	"1"	"11"	"5"	"6"	"26"	"1"	"1"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"57"	"57"	"4"	"2"	"0"	"63"	"63"	"1"	"0"
