"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"BIEN"	"PPT"	"FUERZA"	"URNG_MAIZ"	"CREO"	"SEMILLA"	"VALOR"	"PODEMOS"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9704"	"4"	"9"	"14"	"2"	"380"	"78"	"26"	"15"	"48"	"2"	"20"	"18"	"21"	"32"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"6"	"2"	"0"	"281"	"281"	"1"	"0"
"9705"	"4"	"9"	"14"	"2"	"380"	"85"	"42"	"16"	"39"	"1"	"13"	"11"	"17"	"32"	"10"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"4"	"3"	"0"	"276"	"276"	"1"	"0"
"9706"	"4"	"9"	"14"	"2"	"380"	"61"	"50"	"12"	"44"	"4"	"11"	"24"	"12"	"23"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"3"	"2"	"0"	"252"	"252"	"1"	"0"
"9707"	"4"	"9"	"14"	"2"	"378"	"56"	"35"	"26"	"53"	"1"	"14"	"24"	"18"	"24"	"10"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"4"	"5"	"0"	"277"	"277"	"1"	"0"
"9708"	"4"	"9"	"14"	"2"	"381"	"70"	"38"	"12"	"35"	"1"	"15"	"17"	"13"	"27"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"6"	"3"	"0"	"246"	"246"	"1"	"0"
"9709"	"4"	"9"	"14"	"2"	"265"	"54"	"34"	"14"	"35"	"1"	"10"	"17"	"9"	"22"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"1"	"2"	"0"	"203"	"203"	"1"	"0"
"9710"	"4"	"9"	"14"	"2"	"264"	"42"	"23"	"10"	"42"	"1"	"13"	"11"	"13"	"19"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"2"	"2"	"0"	"187"	"187"	"1"	"0"
"9711"	"4"	"9"	"14"	"2"	"378"	"43"	"56"	"14"	"38"	"21"	"17"	"10"	"39"	"17"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"7"	"0"	"276"	"276"	"1"	"0"
"9712"	"4"	"9"	"14"	"2"	"376"	"35"	"70"	"8"	"40"	"10"	"20"	"12"	"36"	"23"	"4"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"13"	"14"	"0"	"295"	"295"	"1"	"0"
"9713"	"4"	"9"	"14"	"2"	"376"	"44"	"56"	"7"	"45"	"11"	"12"	"11"	"50"	"17"	"8"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"5"	"4"	"0"	"273"	"273"	"1"	"0"
