"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"PC"	"PODEMOS"	"SEMILLA"	"URNG_MAIZ"	"_ATS_"	"SUD"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7988"	"4"	"7"	"1"	"2"	"275"	"0"	"1"	"0"	"0"	"15"	"101"	"159"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"17"	"6"	"1"	"299"	"299"	"1"	"0"
"7989"	"4"	"7"	"1"	"2"	"376"	"1"	"0"	"0"	"0"	"16"	"141"	"136"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"13"	"5"	"0"	"312"	"312"	"1"	"0"
"7990"	"4"	"7"	"1"	"2"	"376"	"0"	"0"	"2"	"0"	"23"	"106"	"125"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"19"	"2"	"0"	"277"	"277"	"1"	"0"
"7991"	"4"	"7"	"1"	"2"	"377"	"2"	"2"	"1"	"0"	"75"	"76"	"114"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"23"	"3"	"0"	"296"	"296"	"1"	"0"
"7992"	"4"	"7"	"1"	"2"	"380"	"2"	"2"	"1"	"2"	"53"	"87"	"123"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"23"	"1"	"86"	"294"	"294"	"1"	"0"
"7993"	"4"	"7"	"1"	"2"	"380"	"2"	"0"	"0"	"0"	"22"	"75"	"133"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"10"	"2"	"0"	"244"	"244"	"1"	"1"
"7994"	"4"	"7"	"1"	"2"	"380"	"1"	"0"	"0"	"0"	"15"	"90"	"136"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"2"	"0"	"0"	"244"	"244"	"1"	"0"
"7995"	"4"	"7"	"1"	"2"	"234"	"0"	"0"	"0"	"0"	"14"	"65"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"4"	"2"	"0"	"153"	"153"	"1"	"0"
"7996"	"4"	"7"	"1"	"2"	"233"	"0"	"0"	"0"	"0"	"9"	"63"	"97"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"3"	"3"	"0"	"175"	"175"	"1"	"0"
"7997"	"4"	"7"	"1"	"2"	"597"	"4"	"1"	"6"	"2"	"102"	"18"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"3"	"2"	"0"	"211"	"211"	"1"	"0"
"7998"	"4"	"7"	"1"	"2"	"594"	"2"	"1"	"7"	"2"	"154"	"14"	"72"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"8"	"1"	"0"	"261"	"261"	"1"	"0"
"7999"	"4"	"7"	"1"	"2"	"600"	"2"	"0"	"9"	"2"	"115"	"15"	"80"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"24"	"4"	"0"	"251"	"251"	"1"	"0"
"8000"	"4"	"7"	"1"	"2"	"600"	"3"	"0"	"13"	"4"	"116"	"22"	"99"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"14"	"6"	"0"	"277"	"277"	"1"	"0"
"8001"	"4"	"7"	"1"	"2"	"600"	"3"	"1"	"21"	"2"	"102"	"11"	"82"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"15"	"3"	"0"	"240"	"240"	"1"	"0"
"8002"	"4"	"7"	"1"	"2"	"497"	"4"	"0"	"20"	"6"	"68"	"13"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"6"	"1"	"0"	"184"	"184"	"1"	"0"
"8003"	"4"	"7"	"1"	"2"	"497"	"0"	"2"	"6"	"0"	"53"	"12"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"6"	"2"	"0"	"127"	"127"	"1"	"0"
