"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"CCM"	"FCN_NACION"	"BIEN"	"VAMOS"	"UCN"	"UNE"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20159"	"4"	"21"	"6"	"2"	"400"	"16"	"113"	"24"	"19"	"9"	"48"	"75"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"4"	"4"	"0"	"312"	"312"	"1"	"0"
"20160"	"4"	"21"	"6"	"2"	"400"	"18"	"97"	"12"	"32"	"5"	"40"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"19"	"4"	"0"	"291"	"291"	"1"	"0"
"20161"	"4"	"21"	"6"	"2"	"400"	"15"	"89"	"21"	"26"	"4"	"43"	"83"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"10"	"4"	"0"	"295"	"295"	"1"	"0"
"20162"	"4"	"21"	"6"	"2"	"404"	"12"	"98"	"24"	"22"	"7"	"24"	"92"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"21"	"4"	"0"	"304"	"304"	"1"	"0"
"20163"	"4"	"21"	"6"	"2"	"400"	"26"	"107"	"11"	"17"	"6"	"37"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"26"	"7"	"0"	"286"	"286"	"1"	"0"
"20164"	"4"	"21"	"6"	"2"	"410"	"12"	"101"	"15"	"24"	"9"	"31"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"20"	"6"	"0"	"287"	"287"	"1"	"0"
"20165"	"4"	"21"	"6"	"2"	"400"	"22"	"93"	"12"	"19"	"6"	"44"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"14"	"7"	"0"	"260"	"260"	"1"	"0"
"20166"	"4"	"21"	"6"	"2"	"400"	"19"	"102"	"24"	"34"	"6"	"42"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"7"	"3"	"0"	"295"	"295"	"1"	"0"
"20167"	"4"	"21"	"6"	"2"	"400"	"42"	"102"	"21"	"22"	"7"	"47"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"4"	"1"	"0"	"305"	"305"	"1"	"0"
"20168"	"4"	"21"	"6"	"2"	"400"	"20"	"111"	"12"	"27"	"9"	"30"	"62"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"4"	"0"	"283"	"283"	"1"	"1"
"20169"	"4"	"21"	"6"	"2"	"409"	"25"	"90"	"8"	"31"	"5"	"49"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"10"	"4"	"0"	"281"	"281"	"1"	"0"
"20170"	"4"	"21"	"6"	"2"	"400"	"39"	"97"	"21"	"40"	"6"	"55"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"2"	"2"	"0"	"325"	"325"	"1"	"0"
"20171"	"4"	"21"	"6"	"2"	"359"	"27"	"93"	"12"	"21"	"1"	"49"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"1"	"0"	"270"	"270"	"1"	"0"
"20172"	"4"	"21"	"6"	"2"	"357"	"13"	"83"	"8"	"15"	"4"	"40"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"7"	"5"	"0"	"209"	"209"	"1"	"0"
"20173"	"4"	"21"	"6"	"2"	"604"	"19"	"78"	"13"	"19"	"7"	"21"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"6"	"4"	"0"	"205"	"205"	"1"	"2"
"20174"	"4"	"21"	"6"	"2"	"546"	"12"	"64"	"6"	"13"	"4"	"24"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"9"	"3"	"0"	"161"	"161"	"1"	"0"
"20175"	"4"	"21"	"6"	"2"	"545"	"3"	"8"	"4"	"3"	"2"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"34"	"34"	"1"	"2"	"0"	"37"	"37"	"1"	"0"
