"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"BIEN"	"CONVERGENCIA"	"CREO"	"UNIONISTA"	"MLP"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17864"	"4"	"17"	"8"	"2"	"394"	"106"	"12"	"106"	"1"	"15"	"2"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"3"	"1"	"0"	"268"	"268"	"1"	"0"
"17865"	"4"	"17"	"8"	"2"	"240"	"74"	"7"	"67"	"2"	"11"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"0"	"0"	"0"	"173"	"173"	"1"	"0"
"17866"	"4"	"17"	"8"	"2"	"243"	"56"	"6"	"52"	"0"	"9"	"1"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"2"	"2"	"0"	"142"	"142"	"1"	"0"
"17867"	"4"	"17"	"8"	"2"	"398"	"102"	"11"	"80"	"1"	"17"	"2"	"8"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"19"	"6"	"0"	"259"	"259"	"1"	"0"
"17868"	"4"	"17"	"8"	"2"	"400"	"117"	"12"	"77"	"0"	"17"	"1"	"6"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"18"	"8"	"0"	"272"	"272"	"1"	"0"
"17869"	"4"	"17"	"8"	"2"	"400"	"105"	"21"	"75"	"2"	"15"	"1"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"4"	"0"	"252"	"252"	"1"	"0"
"17870"	"4"	"17"	"8"	"2"	"397"	"81"	"12"	"70"	"1"	"13"	"3"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"9"	"4"	"0"	"212"	"212"	"1"	"0"
"17871"	"4"	"17"	"8"	"2"	"400"	"78"	"10"	"84"	"2"	"12"	"1"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"211"	"12"	"8"	"0"	"231"	"231"	"0"	"0"
"17872"	"4"	"17"	"8"	"2"	"400"	"91"	"17"	"72"	"2"	"13"	"5"	"8"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"14"	"7"	"0"	"250"	"250"	"1"	"0"
"17873"	"4"	"17"	"8"	"2"	"400"	"76"	"7"	"74"	"2"	"11"	"2"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"21"	"6"	"0"	"209"	"209"	"1"	"0"
"17874"	"4"	"17"	"8"	"2"	"347"	"68"	"8"	"86"	"0"	"8"	"4"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"8"	"4"	"0"	"195"	"195"	"1"	"0"
"17875"	"4"	"17"	"8"	"2"	"346"	"83"	"9"	"79"	"1"	"23"	"0"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"6"	"5"	"0"	"225"	"225"	"1"	"0"
"17876"	"4"	"17"	"8"	"2"	"380"	"71"	"25"	"16"	"18"	"31"	"9"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"19"	"6"	"0"	"214"	"214"	"1"	"0"
"17877"	"4"	"17"	"8"	"2"	"379"	"61"	"25"	"28"	"15"	"29"	"5"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"15"	"8"	"0"	"203"	"203"	"1"	"0"
"17878"	"4"	"17"	"8"	"2"	"226"	"26"	"16"	"16"	"10"	"7"	"4"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"89"	"89"	"6"	"4"	"0"	"99"	"99"	"1"	"0"
"17879"	"4"	"17"	"8"	"2"	"226"	"33"	"10"	"10"	"8"	"16"	"5"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"2"	"3"	"0"	"103"	"103"	"1"	"0"
"17880"	"4"	"17"	"8"	"2"	"380"	"79"	"21"	"35"	"3"	"31"	"2"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"11"	"13"	"0"	"214"	"214"	"1"	"0"
"17881"	"4"	"17"	"8"	"2"	"380"	"85"	"22"	"30"	"1"	"34"	"2"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"12"	"20"	"0"	"228"	"228"	"1"	"0"
"17882"	"4"	"17"	"8"	"2"	"382"	"102"	"30"	"20"	"2"	"38"	"1"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"8"	"13"	"0"	"233"	"233"	"1"	"0"
"17883"	"4"	"17"	"8"	"2"	"377"	"47"	"21"	"43"	"1"	"23"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"6"	"10"	"0"	"166"	"166"	"1"	"0"
"17884"	"4"	"17"	"8"	"2"	"380"	"66"	"23"	"30"	"5"	"33"	"1"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"7"	"7"	"0"	"193"	"193"	"1"	"0"
"17885"	"4"	"17"	"8"	"2"	"376"	"73"	"10"	"20"	"1"	"26"	"3"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"11"	"15"	"0"	"173"	"173"	"1"	"0"
"17886"	"4"	"17"	"8"	"2"	"375"	"51"	"17"	"49"	"0"	"30"	"8"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"7"	"6"	"0"	"184"	"184"	"1"	"0"
"17887"	"4"	"17"	"8"	"2"	"600"	"27"	"5"	"34"	"0"	"4"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"3"	"13"	"0"	"97"	"97"	"1"	"0"
"17888"	"4"	"17"	"8"	"2"	"344"	"19"	"3"	"18"	"0"	"3"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"53"	"53"	"3"	"4"	"0"	"60"	"60"	"1"	"0"
"17889"	"4"	"17"	"8"	"2"	"346"	"5"	"4"	"14"	"0"	"7"	"1"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"40"	"40"	"2"	"3"	"0"	"45"	"45"	"1"	"0"
