"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PODEMOS"	"FUERZA"	"UCN"	"MLP"	"SEMILLA"	"CREO"	"BIEN"	"LIBRE"	"UNIONISTA"	"PC"	"PHG"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7204"	"4"	"5"	"13"	"2"	"377"	"84"	"8"	"7"	"115"	"2"	"0"	"1"	"1"	"2"	"1"	"5"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"11"	"3"	"0"	"249"	"249"	"1"	"0"
"7205"	"4"	"5"	"13"	"2"	"370"	"81"	"4"	"6"	"113"	"1"	"1"	"0"	"4"	"2"	"1"	"1"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"14"	"7"	"0"	"244"	"244"	"1"	"0"
"7206"	"4"	"5"	"13"	"2"	"374"	"81"	"7"	"4"	"123"	"1"	"1"	"0"	"2"	"1"	"1"	"1"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"5"	"0"	"252"	"252"	"1"	"0"
"7207"	"4"	"5"	"13"	"2"	"247"	"67"	"2"	"4"	"66"	"1"	"0"	"0"	"2"	"0"	"1"	"4"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"19"	"4"	"0"	"177"	"177"	"1"	"0"
"7208"	"4"	"5"	"13"	"2"	"246"	"68"	"5"	"1"	"95"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"6"	"2"	"0"	"187"	"187"	"1"	"0"
"7209"	"4"	"5"	"13"	"2"	"380"	"108"	"10"	"17"	"43"	"2"	"4"	"0"	"9"	"5"	"1"	"0"	"12"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"19"	"10"	"0"	"244"	"244"	"1"	"0"
"7210"	"4"	"5"	"13"	"2"	"374"	"126"	"6"	"12"	"55"	"1"	"9"	"1"	"8"	"0"	"3"	"1"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"15"	"6"	"0"	"259"	"259"	"1"	"0"
"7211"	"4"	"5"	"13"	"2"	"380"	"114"	"2"	"15"	"54"	"0"	"11"	"0"	"5"	"4"	"6"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"12"	"5"	"0"	"238"	"238"	"1"	"0"
"7212"	"4"	"5"	"13"	"2"	"373"	"125"	"3"	"10"	"53"	"3"	"6"	"0"	"5"	"6"	"1"	"0"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"18"	"7"	"0"	"251"	"251"	"1"	"0"
"7213"	"4"	"5"	"13"	"2"	"374"	"124"	"7"	"6"	"45"	"7"	"6"	"0"	"11"	"2"	"1"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"8"	"13"	"0"	"243"	"243"	"1"	"0"
"7214"	"4"	"5"	"13"	"2"	"244"	"71"	"2"	"10"	"24"	"2"	"1"	"0"	"2"	"0"	"4"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"18"	"7"	"0"	"152"	"152"	"1"	"0"
"7215"	"4"	"5"	"13"	"2"	"247"	"60"	"2"	"12"	"53"	"0"	"3"	"1"	"9"	"0"	"3"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"7"	"2"	"0"	"161"	"161"	"1"	"0"
"7216"	"4"	"5"	"13"	"2"	"371"	"142"	"3"	"5"	"47"	"5"	"0"	"0"	"4"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"9"	"4"	"0"	"224"	"224"	"1"	"0"
"7217"	"4"	"5"	"13"	"2"	"371"	"133"	"3"	"16"	"50"	"3"	"3"	"0"	"5"	"3"	"2"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"9"	"6"	"0"	"240"	"240"	"1"	"0"
"7218"	"4"	"5"	"13"	"2"	"373"	"126"	"3"	"8"	"49"	"3"	"2"	"0"	"3"	"3"	"2"	"2"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"12"	"9"	"0"	"233"	"233"	"1"	"0"
"7219"	"4"	"5"	"13"	"2"	"374"	"132"	"7"	"8"	"39"	"0"	"1"	"0"	"3"	"1"	"2"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"8"	"1"	"0"	"212"	"212"	"1"	"0"
"7220"	"4"	"5"	"13"	"2"	"374"	"152"	"4"	"5"	"40"	"2"	"3"	"0"	"2"	"0"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"12"	"2"	"0"	"228"	"228"	"1"	"0"
"7221"	"4"	"5"	"13"	"2"	"373"	"147"	"3"	"7"	"38"	"0"	"3"	"2"	"4"	"5"	"4"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"17"	"5"	"0"	"243"	"243"	"1"	"0"
"7222"	"4"	"5"	"13"	"2"	"380"	"145"	"3"	"3"	"30"	"4"	"3"	"1"	"0"	"5"	"2"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"16"	"5"	"0"	"222"	"222"	"1"	"0"
"7223"	"4"	"5"	"13"	"2"	"374"	"144"	"8"	"5"	"35"	"2"	"2"	"0"	"1"	"0"	"6"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"15"	"5"	"0"	"231"	"231"	"1"	"0"
"7224"	"4"	"5"	"13"	"2"	"218"	"79"	"1"	"1"	"27"	"1"	"0"	"0"	"4"	"0"	"1"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"6"	"4"	"0"	"134"	"134"	"1"	"0"
"7225"	"4"	"5"	"13"	"2"	"218"	"86"	"4"	"4"	"24"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"2"	"3"	"0"	"134"	"134"	"1"	"0"
"7226"	"4"	"5"	"13"	"2"	"379"	"150"	"3"	"5"	"41"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"10"	"8"	"0"	"233"	"233"	"1"	"0"
"7227"	"4"	"5"	"13"	"2"	"374"	"157"	"4"	"6"	"26"	"2"	"0"	"0"	"2"	"3"	"1"	"1"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"8"	"3"	"0"	"224"	"224"	"1"	"0"
"7228"	"4"	"5"	"13"	"2"	"380"	"117"	"0"	"2"	"44"	"1"	"1"	"0"	"2"	"2"	"0"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"3"	"5"	"10"	"194"	"194"	"1"	"0"
"7229"	"4"	"5"	"13"	"2"	"375"	"137"	"0"	"3"	"18"	"0"	"1"	"1"	"3"	"2"	"1"	"2"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"16"	"4"	"0"	"205"	"205"	"1"	"0"
