"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"MLP"	"UCN"	"SEMILLA"	"VALOR"	"AVANZA"	"UNIONISTA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20023"	"4"	"21"	"2"	"2"	"377"	"3"	"47"	"9"	"40"	"50"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"15"	"12"	"0"	"185"	"185"	"1"	"0"
"20024"	"4"	"21"	"2"	"2"	"396"	"23"	"124"	"0"	"18"	"75"	"7"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"24"	"8"	"0"	"286"	"286"	"1"	"0"
"20025"	"4"	"21"	"2"	"2"	"395"	"25"	"119"	"2"	"13"	"80"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"15"	"13"	"0"	"275"	"275"	"1"	"0"
"20026"	"4"	"21"	"2"	"2"	"400"	"38"	"124"	"0"	"11"	"74"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"18"	"6"	"0"	"276"	"276"	"1"	"0"
"20027"	"4"	"21"	"2"	"2"	"403"	"36"	"112"	"1"	"14"	"62"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"7"	"3"	"0"	"248"	"248"	"1"	"0"
"20028"	"4"	"21"	"2"	"2"	"213"	"15"	"42"	"1"	"5"	"33"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"104"	"104"	"7"	"2"	"0"	"113"	"113"	"1"	"0"
"20029"	"4"	"21"	"2"	"2"	"213"	"14"	"60"	"1"	"9"	"40"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"3"	"4"	"0"	"136"	"136"	"1"	"0"
"20030"	"4"	"21"	"2"	"2"	"396"	"32"	"46"	"7"	"20"	"80"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"30"	"8"	"0"	"229"	"229"	"1"	"0"
"20031"	"4"	"21"	"2"	"2"	"400"	"27"	"46"	"4"	"40"	"90"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"35"	"10"	"0"	"258"	"258"	"1"	"0"
"20032"	"4"	"21"	"2"	"2"	"400"	"43"	"70"	"4"	"40"	"54"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"26"	"5"	"153"	"247"	"247"	"1"	"0"
"20033"	"4"	"21"	"2"	"2"	"400"	"42"	"56"	"4"	"32"	"104"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"27"	"10"	"0"	"0"	"280"	"0"	"0"
"20034"	"4"	"21"	"2"	"2"	"400"	"33"	"55"	"3"	"37"	"75"	"4"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"28"	"12"	"0"	"252"	"252"	"1"	"0"
"20035"	"4"	"21"	"2"	"2"	"396"	"28"	"56"	"4"	"22"	"83"	"5"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"29"	"10"	"0"	"239"	"239"	"1"	"0"
"20036"	"4"	"21"	"2"	"2"	"395"	"28"	"46"	"5"	"26"	"71"	"5"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"22"	"5"	"0"	"210"	"210"	"1"	"0"
"20037"	"4"	"21"	"2"	"2"	"395"	"43"	"36"	"4"	"7"	"69"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"163"	"14"	"7"	"191"	"204"	"184"	"0"	"0"
"20038"	"4"	"21"	"2"	"2"	"397"	"36"	"38"	"9"	"32"	"66"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"18"	"14"	"0"	"218"	"216"	"0"	"0"
"20039"	"4"	"21"	"2"	"2"	"218"	"36"	"38"	"0"	"21"	"41"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"10"	"1"	"1"	"153"	"152"	"0"	"0"
"20040"	"4"	"21"	"2"	"2"	"218"	"19"	"28"	"1"	"25"	"47"	"3"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"10"	"7"	"0"	"143"	"143"	"1"	"0"
"20041"	"4"	"21"	"2"	"2"	"600"	"31"	"58"	"13"	"16"	"32"	"9"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"23"	"5"	"0"	"189"	"189"	"1"	"0"
"20042"	"4"	"21"	"2"	"2"	"458"	"19"	"37"	"9"	"15"	"34"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"6"	"7"	"0"	"135"	"135"	"1"	"0"
"20043"	"4"	"21"	"2"	"2"	"457"	"6"	"23"	"2"	"8"	"26"	"5"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"73"	"73"	"9"	"0"	"0"	"82"	"82"	"1"	"0"
