"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"TODOS"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6173"	"4"	"4"	"7"	"2"	"399"	"14"	"163"	"102"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"4"	"1"	"0"	"290"	"290"	"1"	"0"
"6174"	"4"	"4"	"7"	"2"	"397"	"9"	"183"	"118"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"3"	"71"	"0"	"397"	"397"	"1"	"0"
"6175"	"4"	"4"	"7"	"2"	"224"	"5"	"82"	"66"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"1"	"0"	"0"	"164"	"164"	"1"	"0"
"6176"	"4"	"4"	"7"	"2"	"223"	"4"	"61"	"69"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"4"	"2"	"0"	"144"	"144"	"1"	"0"
"6177"	"4"	"4"	"7"	"2"	"397"	"10"	"146"	"112"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"5"	"0"	"287"	"287"	"1"	"0"
"6178"	"4"	"4"	"7"	"2"	"395"	"11"	"149"	"97"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"3"	"2"	"5"	"274"	"274"	"1"	"0"
"6179"	"4"	"4"	"7"	"2"	"397"	"17"	"135"	"121"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"11"	"5"	"0"	"297"	"297"	"1"	"0"
"6180"	"4"	"4"	"7"	"2"	"400"	"12"	"132"	"103"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"5"	"0"	"275"	"275"	"1"	"0"
"6181"	"4"	"4"	"7"	"2"	"400"	"11"	"156"	"115"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"14"	"7"	"91"	"309"	"309"	"1"	"0"
"6182"	"4"	"4"	"7"	"2"	"400"	"9"	"157"	"106"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"10"	"3"	"0"	"296"	"296"	"1"	"0"
"6183"	"4"	"4"	"7"	"2"	"400"	"18"	"172"	"99"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"13"	"3"	"0"	"316"	"316"	"1"	"0"
"6184"	"4"	"4"	"7"	"2"	"400"	"8"	"140"	"105"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"14"	"4"	"1"	"280"	"280"	"1"	"0"
"6185"	"4"	"4"	"7"	"2"	"400"	"12"	"152"	"100"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"13"	"4"	"1"	"288"	"288"	"1"	"0"
"6186"	"4"	"4"	"7"	"2"	"400"	"18"	"151"	"77"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"3"	"1"	"0"	"259"	"259"	"1"	"0"
"6187"	"4"	"4"	"7"	"2"	"400"	"12"	"146"	"95"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"3"	"3"	"0"	"268"	"268"	"1"	"0"
"6188"	"4"	"4"	"7"	"2"	"400"	"15"	"148"	"78"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"7"	"2"	"0"	"265"	"265"	"1"	"0"
"6189"	"4"	"4"	"7"	"2"	"400"	"10"	"130"	"102"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"2"	"5"	"12"	"260"	"260"	"1"	"0"
