"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"EL_GALLO"	"TODOS"	"MANO"	"AL_RESCATE_DE_ZACAPA"	"VALOR"	"WINAQ"	"UNE"	"UCN"	"R_19_PAZ"	"VIVA"	"VICTORIA"	"CONVERGENCIA"	"VAMOS"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18861"	"4"	"19"	"1"	"2"	"396"	"16"	"0"	"13"	"36"	"69"	"7"	"0"	"26"	"15"	"47"	"7"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"14"	"3"	"0"	"266"	"266"	"1"	"0"
"18862"	"4"	"19"	"1"	"2"	"396"	"19"	"3"	"21"	"42"	"65"	"13"	"2"	"18"	"14"	"45"	"6"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"18"	"0"	"0"	"273"	"273"	"1"	"0"
"18863"	"4"	"19"	"1"	"2"	"401"	"20"	"4"	"29"	"39"	"44"	"22"	"3"	"25"	"14"	"38"	"11"	"7"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"20"	"1"	"0"	"287"	"287"	"1"	"0"
"18864"	"4"	"19"	"1"	"2"	"400"	"15"	"2"	"13"	"46"	"66"	"8"	"4"	"26"	"7"	"48"	"4"	"1"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"12"	"2"	"14"	"264"	"264"	"1"	"0"
"18865"	"4"	"19"	"1"	"2"	"396"	"11"	"1"	"16"	"32"	"70"	"10"	"1"	"30"	"13"	"52"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"4"	"1"	"1"	"249"	"249"	"1"	"0"
"18866"	"4"	"19"	"1"	"2"	"397"	"18"	"3"	"19"	"27"	"54"	"6"	"4"	"33"	"10"	"56"	"2"	"3"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"8"	"1"	"0"	"260"	"260"	"1"	"0"
"18867"	"4"	"19"	"1"	"2"	"396"	"24"	"0"	"25"	"35"	"49"	"11"	"1"	"28"	"8"	"42"	"3"	"9"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"10"	"0"	"0"	"258"	"258"	"1"	"0"
"18868"	"4"	"19"	"1"	"2"	"396"	"12"	"2"	"15"	"42"	"69"	"13"	"0"	"17"	"6"	"59"	"4"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"8"	"1"	"0"	"258"	"258"	"1"	"0"
"18869"	"4"	"19"	"1"	"2"	"274"	"10"	"2"	"13"	"29"	"48"	"9"	"1"	"16"	"8"	"23"	"4"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"6"	"0"	"0"	"175"	"175"	"1"	"0"
"18870"	"4"	"19"	"1"	"2"	"273"	"10"	"3"	"11"	"32"	"38"	"11"	"1"	"22"	"6"	"46"	"0"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"6"	"1"	"0"	"196"	"196"	"1"	"0"
"18871"	"4"	"19"	"1"	"2"	"380"	"5"	"16"	"38"	"28"	"24"	"1"	"1"	"11"	"3"	"94"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"20"	"4"	"0"	"250"	"250"	"1"	"0"
"18872"	"4"	"19"	"1"	"2"	"374"	"8"	"24"	"60"	"20"	"30"	"5"	"3"	"11"	"3"	"67"	"4"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"19"	"3"	"0"	"260"	"260"	"1"	"0"
"18873"	"4"	"19"	"1"	"2"	"376"	"4"	"13"	"51"	"24"	"39"	"3"	"2"	"13"	"4"	"67"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"13"	"0"	"0"	"238"	"238"	"1"	"0"
"18874"	"4"	"19"	"1"	"2"	"348"	"4"	"9"	"40"	"23"	"20"	"3"	"0"	"8"	"0"	"92"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"20"	"0"	"1"	"227"	"227"	"1"	"0"
"18875"	"4"	"19"	"1"	"2"	"349"	"0"	"19"	"26"	"12"	"24"	"1"	"0"	"7"	"1"	"92"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"13"	"5"	"0"	"204"	"204"	"1"	"0"
"18876"	"4"	"19"	"1"	"2"	"376"	"7"	"1"	"8"	"31"	"57"	"3"	"40"	"15"	"6"	"44"	"4"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"24"	"2"	"0"	"251"	"251"	"1"	"0"
"18877"	"4"	"19"	"1"	"2"	"331"	"3"	"0"	"8"	"24"	"37"	"2"	"35"	"13"	"5"	"29"	"3"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"16"	"2"	"0"	"189"	"189"	"1"	"0"
"18878"	"4"	"19"	"1"	"2"	"331"	"7"	"1"	"10"	"16"	"40"	"1"	"37"	"18"	"3"	"36"	"3"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"9"	"2"	"0"	"192"	"192"	"1"	"0"
"18879"	"4"	"19"	"1"	"2"	"380"	"1"	"0"	"1"	"17"	"12"	"1"	"1"	"27"	"51"	"61"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"36"	"7"	"0"	"221"	"221"	"1"	"0"
"18880"	"4"	"19"	"1"	"2"	"376"	"1"	"0"	"1"	"11"	"12"	"1"	"4"	"32"	"50"	"72"	"2"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"46"	"7"	"0"	"245"	"245"	"1"	"0"
"18881"	"4"	"19"	"1"	"2"	"352"	"1"	"0"	"3"	"10"	"11"	"1"	"1"	"23"	"46"	"46"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"35"	"5"	"0"	"184"	"184"	"1"	"0"
"18882"	"4"	"19"	"1"	"2"	"351"	"2"	"0"	"4"	"11"	"13"	"0"	"2"	"19"	"59"	"33"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"29"	"6"	"0"	"181"	"181"	"1"	"0"
"18883"	"4"	"19"	"1"	"2"	"600"	"7"	"1"	"10"	"17"	"42"	"4"	"1"	"21"	"13"	"27"	"8"	"3"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"8"	"2"	"1"	"172"	"172"	"1"	"0"
"18884"	"4"	"19"	"1"	"2"	"600"	"11"	"6"	"13"	"30"	"43"	"5"	"2"	"9"	"13"	"30"	"8"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"13"	"0"	"0"	"189"	"189"	"1"	"0"
"18885"	"4"	"19"	"1"	"2"	"600"	"8"	"3"	"17"	"28"	"41"	"10"	"2"	"16"	"10"	"34"	"5"	"3"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"5"	"2"	"405"	"195"	"195"	"1"	"0"
"18886"	"4"	"19"	"1"	"2"	"600"	"20"	"1"	"23"	"36"	"43"	"12"	"3"	"17"	"8"	"32"	"7"	"0"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"13"	"1"	"0"	"223"	"223"	"1"	"0"
"18887"	"4"	"19"	"1"	"2"	"600"	"15"	"2"	"13"	"25"	"35"	"13"	"2"	"16"	"11"	"35"	"4"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"3"	"0"	"0"	"184"	"184"	"1"	"0"
"18888"	"4"	"19"	"1"	"2"	"600"	"7"	"3"	"7"	"12"	"34"	"4"	"3"	"17"	"8"	"26"	"4"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"9"	"2"	"0"	"142"	"142"	"1"	"1"
"18889"	"4"	"19"	"1"	"2"	"526"	"8"	"0"	"5"	"11"	"22"	"5"	"1"	"7"	"4"	"12"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"5"	"3"	"8"	"87"	"87"	"1"	"0"
"18890"	"4"	"19"	"1"	"2"	"525"	"2"	"1"	"5"	"4"	"16"	"1"	"0"	"3"	"3"	"6"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"47"	"47"	"1"	"0"	"0"	"48"	"48"	"1"	"0"
