"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"CONVERGENCIA"	"UCN"	"EG"	"SEMILLA"	"UNE"	"FCN_NACION"	"CREO"	"FUERZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2424"	"4"	"1"	"7"	"1"	"376"	"5"	"0"	"2"	"37"	"21"	"6"	"36"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"7"	"9"	"0"	"131"	"131"	"1"	"0"
"2425"	"4"	"1"	"7"	"1"	"376"	"14"	"1"	"0"	"47"	"18"	"4"	"36"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"13"	"7"	"0"	"150"	"150"	"1"	"0"
"2426"	"4"	"1"	"7"	"1"	"207"	"4"	"1"	"0"	"15"	"19"	"4"	"19"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"65"	"65"	"2"	"2"	"0"	"69"	"69"	"1"	"0"
"2427"	"4"	"1"	"7"	"2"	"206"	"8"	"3"	"0"	"20"	"13"	"4"	"21"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"1"	"3"	"0"	"76"	"76"	"1"	"0"
"2428"	"4"	"1"	"7"	"2"	"375"	"30"	"6"	"5"	"12"	"32"	"8"	"74"	"17"	"32"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"9"	"4"	"0"	"233"	"233"	"1"	"0"
"2429"	"4"	"1"	"7"	"2"	"380"	"36"	"4"	"1"	"18"	"27"	"5"	"89"	"8"	"30"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"7"	"9"	"0"	"237"	"237"	"1"	"0"
"2430"	"4"	"1"	"7"	"2"	"374"	"18"	"7"	"0"	"17"	"22"	"9"	"98"	"15"	"33"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"10"	"3"	"0"	"234"	"234"	"1"	"0"
"2431"	"4"	"1"	"7"	"2"	"377"	"14"	"3"	"5"	"16"	"34"	"5"	"83"	"11"	"29"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"18"	"6"	"0"	"230"	"230"	"1"	"0"
"2432"	"4"	"1"	"7"	"2"	"380"	"23"	"1"	"2"	"25"	"31"	"6"	"85"	"17"	"32"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"7"	"1"	"0"	"234"	"234"	"1"	"0"
"2433"	"4"	"1"	"7"	"2"	"376"	"22"	"4"	"6"	"22"	"23"	"4"	"72"	"10"	"38"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"14"	"2"	"0"	"221"	"221"	"1"	"0"
