"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"CREO"	"WINAQ"	"UCN"	"PAN"	"UNIONISTA"	"MLP"	"FCN_NACION"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7852"	"4"	"6"	"14"	"2"	"267"	"124"	"11"	"2"	"2"	"28"	"5"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"3"	"1"	"0"	"184"	"184"	"1"	"0"
"7853"	"4"	"6"	"14"	"2"	"267"	"98"	"13"	"4"	"1"	"20"	"2"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"1"	"0"	"0"	"144"	"144"	"1"	"0"
"7854"	"4"	"6"	"14"	"2"	"376"	"109"	"30"	"3"	"3"	"48"	"3"	"13"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"16"	"4"	"0"	"234"	"234"	"1"	"0"
"7855"	"4"	"6"	"14"	"2"	"374"	"131"	"32"	"5"	"0"	"34"	"4"	"12"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"9"	"4"	"3"	"235"	"235"	"1"	"0"
"7856"	"4"	"6"	"14"	"2"	"376"	"113"	"39"	"3"	"0"	"38"	"4"	"6"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"10"	"5"	"0"	"222"	"222"	"1"	"0"
"7857"	"4"	"6"	"14"	"2"	"380"	"107"	"31"	"3"	"0"	"43"	"4"	"7"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"8"	"9"	"0"	"214"	"214"	"1"	"0"
"7858"	"4"	"6"	"14"	"2"	"197"	"58"	"18"	"6"	"1"	"14"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"3"	"3"	"0"	"109"	"109"	"1"	"0"
"7859"	"4"	"6"	"14"	"2"	"196"	"73"	"15"	"1"	"1"	"18"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"0"	"1"	"0"	"116"	"116"	"1"	"0"
"7860"	"4"	"6"	"14"	"2"	"375"	"127"	"8"	"2"	"1"	"43"	"3"	"8"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"10"	"8"	"0"	"218"	"218"	"1"	"0"
"7861"	"4"	"6"	"14"	"2"	"376"	"121"	"10"	"4"	"2"	"39"	"0"	"5"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"19"	"4"	"0"	"232"	"232"	"1"	"0"
"7862"	"4"	"6"	"14"	"2"	"380"	"132"	"19"	"0"	"3"	"48"	"1"	"2"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"17"	"2"	"0"	"239"	"239"	"1"	"0"
