"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"VALOR"	"CREO"	"PHG"	"SEMILLA"	"CCS"	"FCN_NACION"	"UNIDOS"	"PC"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10519"	"4"	"10"	"8"	"2"	"289"	"61"	"70"	"12"	"2"	"22"	"35"	"22"	"2"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"3"	"0"	"0"	"242"	"242"	"1"	"0"
"10520"	"4"	"10"	"8"	"2"	"287"	"68"	"44"	"13"	"1"	"15"	"31"	"18"	"2"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"2"	"0"	"80"	"207"	"207"	"1"	"0"
"10521"	"4"	"10"	"8"	"2"	"395"	"101"	"68"	"5"	"0"	"13"	"58"	"5"	"2"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"11"	"6"	"0"	"285"	"285"	"1"	"0"
"10522"	"4"	"10"	"8"	"2"	"396"	"113"	"66"	"3"	"3"	"13"	"40"	"5"	"1"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"10"	"4"	"0"	"272"	"272"	"1"	"0"
"10523"	"4"	"10"	"8"	"2"	"400"	"126"	"58"	"3"	"1"	"11"	"28"	"7"	"1"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"5"	"0"	"274"	"274"	"1"	"0"
"10524"	"4"	"10"	"8"	"2"	"400"	"121"	"74"	"5"	"2"	"14"	"43"	"4"	"2"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"4"	"0"	"290"	"290"	"1"	"0"
"10525"	"4"	"10"	"8"	"2"	"396"	"129"	"40"	"8"	"1"	"16"	"50"	"2"	"1"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"2"	"0"	"282"	"282"	"1"	"0"
"10526"	"4"	"10"	"8"	"2"	"396"	"127"	"55"	"3"	"3"	"23"	"32"	"6"	"4"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"8"	"8"	"0"	"291"	"291"	"1"	"0"
"10527"	"4"	"10"	"8"	"2"	"398"	"100"	"57"	"3"	"5"	"13"	"62"	"11"	"1"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"4"	"3"	"0"	"277"	"277"	"1"	"0"
"10528"	"4"	"10"	"8"	"2"	"396"	"111"	"54"	"13"	"3"	"12"	"41"	"17"	"1"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"6"	"7"	"0"	"284"	"284"	"1"	"0"
"10529"	"4"	"10"	"8"	"2"	"400"	"119"	"51"	"3"	"3"	"7"	"38"	"7"	"3"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"13"	"5"	"0"	"268"	"268"	"1"	"0"
"10530"	"4"	"10"	"8"	"2"	"326"	"97"	"37"	"5"	"0"	"8"	"48"	"13"	"0"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"1"	"1"	"0"	"229"	"229"	"1"	"0"
"10531"	"4"	"10"	"8"	"2"	"326"	"91"	"46"	"11"	"1"	"8"	"38"	"5"	"4"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"4"	"2"	"0"	"231"	"231"	"1"	"0"
"10532"	"4"	"10"	"8"	"2"	"600"	"99"	"58"	"12"	"2"	"25"	"28"	"17"	"3"	"0"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"14"	"7"	"0"	"293"	"293"	"1"	"0"
"10533"	"4"	"10"	"8"	"2"	"601"	"72"	"57"	"10"	"2"	"15"	"43"	"15"	"8"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"6"	"5"	"0"	"254"	"254"	"1"	"0"
