"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"UNE"	"FUERZA"	"FCN_NACION"	"LIBRE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14095"	"4"	"13"	"22"	"2"	"380"	"2"	"28"	"67"	"10"	"49"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"6"	"2"	"0"	"168"	"168"	"1"	"0"
"14096"	"4"	"13"	"22"	"2"	"380"	"3"	"24"	"87"	"5"	"64"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"5"	"14"	"0"	"203"	"203"	"1"	"0"
"14097"	"4"	"13"	"22"	"2"	"268"	"2"	"12"	"36"	"5"	"35"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"0"	"6"	"0"	"98"	"98"	"1"	"0"
"14098"	"4"	"13"	"22"	"2"	"268"	"0"	"19"	"55"	"7"	"41"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"1"	"9"	"0"	"133"	"133"	"1"	"0"
"14099"	"4"	"13"	"22"	"2"	"380"	"3"	"75"	"70"	"7"	"76"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"6"	"9"	"0"	"249"	"249"	"1"	"0"
"14100"	"4"	"13"	"22"	"2"	"380"	"0"	"73"	"59"	"9"	"93"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"3"	"14"	"0"	"252"	"252"	"1"	"0"
"14101"	"4"	"13"	"22"	"2"	"352"	"3"	"67"	"58"	"8"	"61"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"4"	"6"	"0"	"210"	"210"	"1"	"0"
"14102"	"4"	"13"	"22"	"2"	"197"	"0"	"35"	"30"	"9"	"37"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"2"	"4"	"0"	"118"	"118"	"1"	"0"
"14103"	"4"	"13"	"22"	"2"	"196"	"2"	"39"	"30"	"3"	"53"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"0"	"1"	"0"	"129"	"129"	"1"	"0"
"14104"	"4"	"13"	"22"	"2"	"352"	"8"	"62"	"61"	"1"	"61"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"196"	"11"	"12"	"0"	"218"	"219"	"0"	"0"
"14105"	"4"	"13"	"22"	"2"	"352"	"0"	"53"	"56"	"7"	"78"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"7"	"5"	"0"	"209"	"209"	"1"	"0"
"14106"	"4"	"13"	"22"	"2"	"359"	"32"	"76"	"40"	"8"	"50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"6"	"11"	"0"	"224"	"224"	"1"	"0"
"14107"	"4"	"13"	"22"	"2"	"284"	"15"	"34"	"43"	"3"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"7"	"5"	"1"	"143"	"143"	"1"	"0"
"14108"	"4"	"13"	"22"	"2"	"283"	"13"	"33"	"46"	"3"	"39"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"7"	"9"	"0"	"151"	"151"	"1"	"0"
"14109"	"4"	"13"	"22"	"2"	"458"	"1"	"12"	"6"	"2"	"27"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"52"	"52"	"0"	"1"	"0"	"53"	"53"	"1"	"0"
