"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EG"	"UNE"	"TODOS"	"FUERZA"	"COMCICH"	"VALOR"	"CONVERGENCIA"	"UNIONISTA"	"PHG"	"FCN_NACION"	"PC"	"BIEN"	"MLP"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8613"	"4"	"8"	"1"	"2"	"380"	"8"	"0"	"108"	"65"	"2"	"0"	"1"	"1"	"0"	"1"	"3"	"0"	"4"	"4"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"22"	"8"	"0"	"234"	"234"	"1"	"0"
"8614"	"4"	"8"	"1"	"2"	"380"	"4"	"1"	"139"	"31"	"5"	"2"	"0"	"1"	"0"	"4"	"4"	"0"	"0"	"5"	"4"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"9"	"4"	"0"	"221"	"221"	"1"	"0"
"8615"	"4"	"8"	"1"	"2"	"348"	"3"	"2"	"109"	"31"	"3"	"2"	"2"	"2"	"1"	"3"	"3"	"1"	"2"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"12"	"11"	"0"	"194"	"194"	"1"	"0"
"8616"	"4"	"8"	"1"	"2"	"348"	"4"	"2"	"123"	"18"	"4"	"3"	"0"	"0"	"0"	"1"	"7"	"0"	"3"	"7"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"6"	"3"	"0"	"189"	"189"	"1"	"0"
"8617"	"4"	"8"	"1"	"2"	"380"	"9"	"1"	"71"	"39"	"2"	"1"	"2"	"7"	"3"	"9"	"4"	"1"	"6"	"7"	"1"	"1"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"0"	"8"	"8"	"180"	"180"	"1"	"0"
"8618"	"4"	"8"	"1"	"2"	"394"	"9"	"3"	"73"	"61"	"5"	"3"	"2"	"2"	"0"	"9"	"4"	"0"	"2"	"6"	"3"	"3"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"16"	"10"	"0"	"224"	"224"	"1"	"0"
"8619"	"4"	"8"	"1"	"2"	"380"	"11"	"1"	"77"	"43"	"3"	"4"	"2"	"1"	"1"	"6"	"9"	"0"	"4"	"4"	"2"	"1"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"21"	"8"	"0"	"210"	"210"	"1"	"0"
"8620"	"4"	"8"	"1"	"2"	"380"	"8"	"3"	"60"	"47"	"4"	"1"	"1"	"1"	"0"	"5"	"4"	"1"	"0"	"8"	"6"	"3"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"8"	"6"	"0"	"177"	"177"	"1"	"0"
"8621"	"4"	"8"	"1"	"2"	"277"	"2"	"1"	"50"	"26"	"3"	"2"	"3"	"3"	"1"	"6"	"4"	"1"	"3"	"8"	"7"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"9"	"4"	"0"	"140"	"140"	"1"	"0"
"8622"	"4"	"8"	"1"	"2"	"275"	"8"	"0"	"44"	"32"	"2"	"2"	"1"	"3"	"0"	"7"	"2"	"0"	"1"	"5"	"2"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"1"	"7"	"0"	"121"	"121"	"1"	"0"
"8623"	"4"	"8"	"1"	"2"	"380"	"10"	"0"	"174"	"4"	"6"	"2"	"0"	"0"	"1"	"2"	"1"	"0"	"5"	"1"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"21"	"20"	"0"	"252"	"252"	"1"	"0"
"8624"	"4"	"8"	"1"	"2"	"380"	"20"	"1"	"186"	"1"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"9"	"39"	"0"	"266"	"266"	"1"	"0"
"8625"	"4"	"8"	"1"	"2"	"196"	"11"	"1"	"73"	"4"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"8"	"14"	"0"	"122"	"122"	"1"	"0"
"8626"	"4"	"8"	"1"	"2"	"197"	"10"	"0"	"67"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"83"	"83"	"2"	"5"	"0"	"90"	"90"	"1"	"0"
"8627"	"4"	"8"	"1"	"2"	"380"	"2"	"6"	"110"	"17"	"17"	"2"	"2"	"1"	"3"	"0"	"39"	"1"	"3"	"3"	"4"	"6"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"17"	"20"	"0"	"259"	"259"	"1"	"0"
"8628"	"4"	"8"	"1"	"2"	"380"	"4"	"12"	"101"	"20"	"9"	"7"	"2"	"2"	"2"	"3"	"26"	"1"	"2"	"5"	"3"	"4"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"26"	"8"	"0"	"245"	"245"	"1"	"0"
