"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EG"	"UNE"	"TODOS"	"FUERZA"	"COMCICH"	"VALOR"	"CONVERGENCIA"	"UNIONISTA"	"PHG"	"FCN_NACION"	"PC"	"BIEN"	"MLP"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8500"	"4"	"8"	"1"	"2"	"400"	"29"	"5"	"85"	"46"	"13"	"11"	"6"	"5"	"12"	"9"	"2"	"4"	"8"	"7"	"19"	"2"	"5"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"10"	"3"	"0"	"307"	"307"	"1"	"0"
"8501"	"4"	"8"	"1"	"2"	"400"	"20"	"5"	"77"	"46"	"14"	"16"	"4"	"8"	"1"	"15"	"0"	"4"	"3"	"6"	"10"	"13"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"18"	"7"	"0"	"280"	"280"	"1"	"0"
"8502"	"4"	"8"	"1"	"2"	"400"	"19"	"3"	"88"	"44"	"12"	"17"	"4"	"7"	"4"	"9"	"2"	"2"	"5"	"10"	"10"	"4"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"4"	"0"	"271"	"271"	"1"	"0"
"8503"	"4"	"8"	"1"	"2"	"400"	"26"	"3"	"81"	"39"	"16"	"17"	"3"	"6"	"3"	"14"	"6"	"5"	"5"	"7"	"8"	"5"	"9"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"6"	"0"	"286"	"286"	"1"	"0"
"8504"	"4"	"8"	"1"	"2"	"400"	"23"	"3"	"84"	"64"	"8"	"10"	"4"	"6"	"7"	"9"	"1"	"2"	"6"	"9"	"9"	"4"	"6"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"12"	"4"	"0"	"298"	"298"	"1"	"0"
"8505"	"4"	"8"	"1"	"2"	"400"	"31"	"5"	"71"	"65"	"9"	"18"	"5"	"1"	"8"	"2"	"5"	"1"	"1"	"6"	"10"	"6"	"6"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"11"	"0"	"291"	"291"	"1"	"0"
"8506"	"4"	"8"	"1"	"2"	"397"	"14"	"3"	"91"	"57"	"12"	"21"	"4"	"4"	"10"	"4"	"8"	"1"	"4"	"9"	"11"	"2"	"6"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"17"	"4"	"21"	"305"	"305"	"1"	"0"
"8507"	"4"	"8"	"1"	"2"	"400"	"25"	"3"	"81"	"47"	"18"	"23"	"3"	"4"	"2"	"10"	"1"	"4"	"5"	"5"	"12"	"6"	"9"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"12"	"6"	"0"	"301"	"301"	"1"	"0"
"8508"	"4"	"8"	"1"	"2"	"400"	"26"	"3"	"96"	"40"	"15"	"16"	"7"	"5"	"5"	"11"	"4"	"3"	"7"	"8"	"11"	"4"	"9"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"10"	"7"	"0"	"303"	"303"	"1"	"0"
"8509"	"4"	"8"	"1"	"2"	"396"	"32"	"2"	"83"	"41"	"20"	"24"	"4"	"11"	"7"	"15"	"2"	"4"	"4"	"7"	"13"	"4"	"9"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"14"	"1"	"4"	"323"	"323"	"1"	"0"
"8510"	"4"	"8"	"1"	"2"	"400"	"34"	"0"	"90"	"34"	"14"	"16"	"2"	"1"	"3"	"8"	"4"	"1"	"4"	"3"	"14"	"3"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"12"	"1"	"0"	"270"	"270"	"1"	"0"
"8511"	"4"	"8"	"1"	"2"	"400"	"24"	"1"	"76"	"45"	"18"	"17"	"2"	"3"	"2"	"13"	"3"	"1"	"3"	"3"	"14"	"5"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"8"	"4"	"0"	"257"	"257"	"1"	"0"
"8512"	"4"	"8"	"1"	"2"	"398"	"33"	"2"	"77"	"43"	"21"	"14"	"7"	"3"	"2"	"20"	"5"	"8"	"3"	"1"	"12"	"4"	"3"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"7"	"1"	"1"	"284"	"284"	"1"	"0"
"8513"	"4"	"8"	"1"	"2"	"400"	"21"	"2"	"89"	"39"	"16"	"15"	"6"	"4"	"2"	"18"	"2"	"5"	"6"	"4"	"14"	"2"	"6"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"9"	"3"	"0"	"283"	"283"	"1"	"0"
"8514"	"4"	"8"	"1"	"2"	"400"	"32"	"3"	"83"	"44"	"17"	"19"	"8"	"2"	"5"	"18"	"1"	"12"	"6"	"6"	"17"	"3"	"6"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"9"	"2"	"0"	"311"	"311"	"1"	"0"
"8515"	"4"	"8"	"1"	"2"	"400"	"38"	"3"	"59"	"45"	"17"	"16"	"0"	"3"	"7"	"18"	"5"	"9"	"5"	"5"	"14"	"3"	"8"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"9"	"5"	"0"	"292"	"292"	"1"	"0"
"8516"	"4"	"8"	"1"	"2"	"400"	"32"	"6"	"86"	"56"	"13"	"17"	"3"	"3"	"4"	"16"	"4"	"0"	"2"	"4"	"11"	"4"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"13"	"1"	"0"	"303"	"303"	"1"	"0"
"8517"	"4"	"8"	"1"	"2"	"396"	"28"	"5"	"78"	"57"	"16"	"21"	"5"	"6"	"3"	"10"	"2"	"4"	"2"	"4"	"12"	"5"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"15"	"2"	"0"	"296"	"296"	"1"	"0"
"8518"	"4"	"8"	"1"	"2"	"395"	"29"	"2"	"72"	"54"	"15"	"16"	"7"	"1"	"2"	"8"	"2"	"1"	"7"	"3"	"10"	"3"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"11"	"3"	"0"	"265"	"265"	"1"	"0"
"8519"	"4"	"8"	"1"	"2"	"400"	"26"	"1"	"76"	"42"	"11"	"15"	"6"	"4"	"4"	"8"	"1"	"2"	"4"	"3"	"13"	"2"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"20"	"13"	"0"	"267"	"267"	"1"	"0"
"8520"	"4"	"8"	"1"	"2"	"399"	"23"	"3"	"90"	"35"	"11"	"22"	"4"	"6"	"3"	"10"	"7"	"4"	"3"	"3"	"15"	"1"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"4"	"0"	"273"	"273"	"1"	"0"
"8521"	"4"	"8"	"1"	"2"	"400"	"35"	"2"	"66"	"33"	"16"	"14"	"4"	"1"	"6"	"9"	"1"	"2"	"4"	"5"	"10"	"3"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"3"	"3"	"3"	"241"	"241"	"1"	"0"
"8522"	"4"	"8"	"1"	"2"	"402"	"20"	"2"	"79"	"35"	"12"	"19"	"3"	"3"	"3"	"11"	"2"	"1"	"5"	"5"	"11"	"4"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"3"	"0"	"254"	"254"	"1"	"0"
"8523"	"4"	"8"	"1"	"2"	"392"	"18"	"5"	"68"	"48"	"15"	"14"	"4"	"4"	"11"	"13"	"3"	"1"	"2"	"5"	"8"	"5"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"0"	"0"	"252"	"252"	"1"	"0"
"8524"	"4"	"8"	"1"	"2"	"390"	"17"	"4"	"66"	"46"	"16"	"5"	"2"	"5"	"4"	"13"	"3"	"0"	"5"	"4"	"17"	"5"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"6"	"2"	"0"	"236"	"236"	"1"	"0"
"8525"	"4"	"8"	"1"	"2"	"400"	"14"	"2"	"68"	"34"	"28"	"13"	"5"	"4"	"3"	"8"	"4"	"0"	"8"	"6"	"4"	"1"	"3"	"13"	"0"	"0"	"4"	"0"	"8"	"6"	"4"	"1"	"3"	"13"	"0"	"0"	"218"	"218"	"19"	"8"	"0"	"245"	"245"	"1"	"0"
"8526"	"4"	"8"	"1"	"2"	"400"	"11"	"3"	"82"	"65"	"16"	"17"	"3"	"2"	"1"	"7"	"6"	"3"	"6"	"7"	"2"	"0"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"13"	"15"	"0"	"270"	"270"	"1"	"0"
"8527"	"4"	"8"	"1"	"2"	"400"	"6"	"2"	"85"	"102"	"8"	"4"	"0"	"2"	"6"	"5"	"2"	"2"	"0"	"4"	"1"	"1"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"19"	"18"	"0"	"278"	"278"	"1"	"0"
"8528"	"4"	"8"	"1"	"2"	"400"	"4"	"2"	"64"	"88"	"28"	"10"	"1"	"3"	"2"	"11"	"4"	"1"	"6"	"6"	"5"	"5"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"4"	"8"	"0"	"273"	"273"	"1"	"0"
"8529"	"4"	"8"	"1"	"2"	"400"	"15"	"1"	"60"	"56"	"41"	"6"	"2"	"1"	"3"	"8"	"3"	"1"	"10"	"6"	"2"	"5"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"13"	"5"	"18"	"254"	"254"	"1"	"0"
"8530"	"4"	"8"	"1"	"2"	"400"	"13"	"4"	"53"	"30"	"82"	"15"	"1"	"0"	"1"	"12"	"5"	"0"	"2"	"7"	"5"	"5"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"20"	"14"	"0"	"290"	"290"	"1"	"0"
"8531"	"4"	"8"	"1"	"2"	"436"	"12"	"1"	"65"	"51"	"55"	"6"	"3"	"4"	"3"	"5"	"7"	"3"	"0"	"8"	"2"	"2"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"24"	"6"	"0"	"275"	"275"	"1"	"0"
"8532"	"4"	"8"	"1"	"2"	"400"	"9"	"3"	"33"	"117"	"6"	"13"	"2"	"2"	"0"	"10"	"4"	"2"	"17"	"4"	"1"	"2"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"13"	"0"	"268"	"268"	"1"	"0"
"8533"	"4"	"8"	"1"	"2"	"418"	"11"	"2"	"50"	"74"	"55"	"12"	"1"	"5"	"1"	"4"	"6"	"2"	"3"	"2"	"4"	"4"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"9"	"0"	"269"	"269"	"1"	"0"
"8534"	"4"	"8"	"1"	"2"	"400"	"18"	"1"	"58"	"34"	"43"	"7"	"1"	"3"	"7"	"8"	"3"	"3"	"1"	"6"	"13"	"4"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"8"	"6"	"0"	"234"	"234"	"1"	"0"
"8535"	"4"	"8"	"1"	"2"	"332"	"6"	"2"	"45"	"45"	"39"	"9"	"0"	"2"	"0"	"4"	"2"	"0"	"3"	"1"	"4"	"1"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"5"	"5"	"0"	"187"	"187"	"1"	"0"
"8536"	"4"	"8"	"1"	"2"	"331"	"3"	"3"	"36"	"35"	"49"	"11"	"0"	"3"	"1"	"3"	"3"	"2"	"3"	"6"	"3"	"3"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"3"	"4"	"7"	"178"	"178"	"1"	"0"
"8537"	"4"	"8"	"1"	"2"	"400"	"12"	"10"	"135"	"49"	"11"	"12"	"3"	"1"	"5"	"4"	"3"	"2"	"4"	"3"	"4"	"5"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"15"	"19"	"0"	"306"	"306"	"1"	"0"
"8538"	"4"	"8"	"1"	"2"	"398"	"12"	"5"	"112"	"36"	"9"	"13"	"2"	"3"	"3"	"7"	"3"	"2"	"5"	"1"	"2"	"0"	"9"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"6"	"0"	"262"	"262"	"1"	"0"
"8539"	"4"	"8"	"1"	"2"	"400"	"5"	"5"	"125"	"38"	"8"	"8"	"3"	"3"	"1"	"7"	"5"	"0"	"2"	"6"	"1"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"16"	"12"	"0"	"263"	"263"	"1"	"0"
"8540"	"4"	"8"	"1"	"2"	"395"	"2"	"3"	"115"	"33"	"3"	"7"	"5"	"4"	"1"	"8"	"6"	"1"	"5"	"7"	"5"	"4"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"19"	"11"	"0"	"261"	"261"	"1"	"0"
"8541"	"4"	"8"	"1"	"2"	"400"	"5"	"3"	"111"	"45"	"7"	"13"	"10"	"2"	"1"	"12"	"3"	"3"	"4"	"2"	"7"	"3"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"12"	"9"	"0"	"269"	"269"	"1"	"0"
"8542"	"4"	"8"	"1"	"2"	"400"	"10"	"4"	"75"	"42"	"18"	"11"	"5"	"4"	"1"	"11"	"4"	"1"	"1"	"4"	"5"	"3"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"3"	"2"	"0"	"212"	"212"	"1"	"0"
"8543"	"4"	"8"	"1"	"2"	"400"	"19"	"3"	"79"	"49"	"7"	"10"	"0"	"1"	"3"	"7"	"5"	"2"	"3"	"3"	"1"	"1"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"15"	"13"	"0"	"232"	"232"	"1"	"0"
"8544"	"4"	"8"	"1"	"2"	"398"	"9"	"2"	"70"	"58"	"22"	"10"	"1"	"2"	"2"	"6"	"1"	"0"	"2"	"7"	"6"	"7"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"12"	"11"	"0"	"243"	"243"	"1"	"0"
"8545"	"4"	"8"	"1"	"2"	"400"	"9"	"1"	"68"	"46"	"13"	"11"	"1"	"5"	"2"	"1"	"3"	"1"	"3"	"4"	"6"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"9"	"5"	"0"	"198"	"198"	"1"	"0"
"8546"	"4"	"8"	"1"	"2"	"363"	"10"	"2"	"65"	"34"	"13"	"10"	"4"	"5"	"1"	"7"	"2"	"1"	"3"	"7"	"4"	"5"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"11"	"1"	"0"	"194"	"194"	"1"	"0"
"8547"	"4"	"8"	"1"	"2"	"359"	"10"	"5"	"51"	"32"	"8"	"8"	"3"	"2"	"1"	"8"	"4"	"2"	"2"	"0"	"5"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"6"	"5"	"5"	"162"	"162"	"1"	"0"
"8548"	"4"	"8"	"1"	"2"	"400"	"6"	"7"	"78"	"37"	"15"	"18"	"6"	"7"	"3"	"6"	"7"	"1"	"2"	"4"	"3"	"4"	"9"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"15"	"4"	"0"	"256"	"256"	"1"	"0"
"8549"	"4"	"8"	"1"	"2"	"400"	"1"	"2"	"95"	"37"	"9"	"4"	"2"	"2"	"3"	"2"	"14"	"1"	"2"	"4"	"6"	"3"	"2"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"17"	"11"	"0"	"238"	"238"	"1"	"0"
"8550"	"4"	"8"	"1"	"2"	"400"	"7"	"1"	"89"	"31"	"6"	"15"	"3"	"2"	"0"	"13"	"9"	"1"	"3"	"3"	"2"	"1"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"25"	"19"	"0"	"243"	"243"	"1"	"0"
"8551"	"4"	"8"	"1"	"2"	"400"	"16"	"0"	"60"	"45"	"8"	"14"	"2"	"4"	"0"	"9"	"1"	"3"	"9"	"7"	"4"	"10"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"14"	"11"	"0"	"237"	"237"	"1"	"0"
"8552"	"4"	"8"	"1"	"2"	"401"	"15"	"2"	"71"	"49"	"13"	"28"	"3"	"6"	"2"	"9"	"5"	"3"	"8"	"2"	"3"	"1"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"15"	"10"	"0"	"266"	"266"	"1"	"0"
"8553"	"4"	"8"	"1"	"2"	"398"	"10"	"2"	"85"	"28"	"23"	"21"	"4"	"4"	"0"	"7"	"7"	"2"	"1"	"8"	"3"	"5"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"17"	"16"	"0"	"256"	"256"	"1"	"0"
"8554"	"4"	"8"	"1"	"2"	"400"	"18"	"4"	"52"	"31"	"11"	"10"	"11"	"5"	"1"	"4"	"9"	"2"	"3"	"3"	"5"	"5"	"1"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"19"	"18"	"0"	"255"	"255"	"1"	"0"
"8555"	"4"	"8"	"1"	"2"	"397"	"17"	"3"	"76"	"36"	"14"	"24"	"1"	"2"	"2"	"3"	"10"	"0"	"4"	"4"	"5"	"3"	"3"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"13"	"6"	"0"	"267"	"267"	"1"	"0"
"8556"	"4"	"8"	"1"	"2"	"400"	"19"	"1"	"65"	"36"	"18"	"20"	"1"	"3"	"3"	"6"	"4"	"2"	"1"	"2"	"7"	"7"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"8"	"5"	"0"	"219"	"219"	"1"	"0"
"8557"	"4"	"8"	"1"	"2"	"400"	"10"	"1"	"70"	"40"	"14"	"19"	"4"	"1"	"2"	"2"	"5"	"3"	"0"	"9"	"6"	"2"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"9"	"10"	"0"	"225"	"225"	"1"	"0"
"8558"	"4"	"8"	"1"	"2"	"396"	"16"	"5"	"68"	"49"	"8"	"27"	"1"	"2"	"1"	"8"	"8"	"0"	"3"	"3"	"6"	"2"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"25"	"9"	"0"	"257"	"257"	"1"	"0"
"8559"	"4"	"8"	"1"	"2"	"400"	"17"	"4"	"57"	"27"	"2"	"30"	"4"	"2"	"1"	"11"	"10"	"0"	"1"	"3"	"3"	"3"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"42"	"16"	"0"	"249"	"249"	"1"	"0"
"8560"	"4"	"8"	"1"	"2"	"400"	"15"	"5"	"66"	"52"	"15"	"42"	"3"	"3"	"3"	"4"	"8"	"1"	"1"	"4"	"3"	"1"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"19"	"13"	"0"	"272"	"272"	"1"	"0"
"8561"	"4"	"8"	"1"	"2"	"400"	"13"	"2"	"53"	"58"	"9"	"25"	"4"	"6"	"5"	"4"	"8"	"0"	"4"	"0"	"6"	"3"	"2"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"27"	"3"	"0"	"258"	"258"	"1"	"0"
"8562"	"4"	"8"	"1"	"2"	"396"	"13"	"1"	"71"	"40"	"17"	"28"	"3"	"3"	"1"	"10"	"5"	"3"	"3"	"3"	"9"	"3"	"4"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"15"	"6"	"0"	"255"	"255"	"1"	"0"
"8563"	"4"	"8"	"1"	"2"	"400"	"17"	"0"	"71"	"48"	"14"	"17"	"2"	"1"	"7"	"0"	"11"	"8"	"5"	"4"	"5"	"3"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"5"	"6"	"0"	"242"	"242"	"1"	"0"
"8564"	"4"	"8"	"1"	"2"	"392"	"15"	"2"	"73"	"39"	"6"	"25"	"3"	"2"	"2"	"8"	"8"	"1"	"6"	"5"	"4"	"2"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"7"	"9"	"0"	"237"	"237"	"1"	"0"
"8565"	"4"	"8"	"1"	"2"	"400"	"17"	"9"	"72"	"36"	"15"	"16"	"9"	"3"	"3"	"7"	"7"	"4"	"2"	"3"	"5"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"11"	"3"	"167"	"233"	"233"	"1"	"0"
"8566"	"4"	"8"	"1"	"2"	"334"	"17"	"3"	"62"	"30"	"13"	"16"	"4"	"2"	"0"	"7"	"5"	"3"	"2"	"4"	"4"	"2"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"1"	"0"	"0"	"191"	"191"	"1"	"0"
"8567"	"4"	"8"	"1"	"2"	"333"	"9"	"1"	"51"	"15"	"13"	"10"	"3"	"3"	"0"	"2"	"6"	"2"	"3"	"6"	"0"	"2"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"2"	"1"	"0"	"150"	"150"	"1"	"0"
"8568"	"4"	"8"	"1"	"2"	"400"	"4"	"1"	"79"	"47"	"51"	"11"	"1"	"7"	"1"	"4"	"2"	"0"	"4"	"5"	"0"	"1"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"22"	"15"	"0"	"269"	"269"	"1"	"0"
"8569"	"4"	"8"	"1"	"2"	"400"	"7"	"1"	"88"	"28"	"60"	"14"	"2"	"5"	"4"	"5"	"11"	"0"	"3"	"9"	"5"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"14"	"14"	"0"	"280"	"279"	"0"	"1"
"8570"	"4"	"8"	"1"	"2"	"400"	"11"	"1"	"102"	"28"	"17"	"12"	"5"	"3"	"2"	"8"	"6"	"3"	"3"	"5"	"2"	"2"	"21"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"8"	"0"	"254"	"254"	"1"	"0"
"8571"	"4"	"8"	"1"	"2"	"398"	"5"	"5"	"103"	"38"	"8"	"8"	"2"	"4"	"1"	"2"	"3"	"9"	"5"	"4"	"2"	"2"	"18"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"228"	"26"	"21"	"0"	"275"	"275"	"0"	"0"
"8572"	"4"	"8"	"1"	"2"	"400"	"7"	"7"	"62"	"56"	"17"	"12"	"4"	"9"	"2"	"5"	"11"	"2"	"11"	"5"	"3"	"3"	"9"	"10"	"0"	"0"	"11"	"2"	"11"	"5"	"3"	"3"	"9"	"10"	"0"	"0"	"235"	"235"	"27"	"8"	"0"	"270"	"270"	"1"	"0"
"8573"	"4"	"8"	"1"	"2"	"400"	"9"	"4"	"69"	"60"	"25"	"9"	"13"	"0"	"2"	"4"	"1"	"5"	"4"	"2"	"7"	"3"	"6"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"236"	"14"	"14"	"0"	"265"	"264"	"0"	"0"
"8574"	"4"	"8"	"1"	"2"	"416"	"9"	"5"	"75"	"34"	"46"	"11"	"2"	"2"	"1"	"3"	"5"	"5"	"4"	"6"	"7"	"5"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"6"	"5"	"0"	"242"	"242"	"1"	"0"
