"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"UNE"	"VAMOS"	"PHG"	"PODEMOS"	"MLP"	"WINAQ"	"TODOS"	"SEMILLA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16074"	"4"	"15"	"8"	"2"	"279"	"46"	"59"	"12"	"2"	"14"	"26"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"9"	"4"	"0"	"174"	"174"	"1"	"0"
"16075"	"4"	"15"	"8"	"2"	"376"	"39"	"100"	"8"	"26"	"17"	"3"	"14"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"21"	"3"	"0"	"242"	"242"	"1"	"0"
"16076"	"4"	"15"	"8"	"2"	"380"	"39"	"101"	"3"	"11"	"39"	"8"	"9"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"35"	"8"	"0"	"259"	"259"	"1"	"0"
"16077"	"4"	"15"	"8"	"2"	"380"	"41"	"105"	"8"	"19"	"62"	"6"	"9"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"24"	"1"	"0"	"280"	"280"	"1"	"0"
"16078"	"4"	"15"	"8"	"2"	"376"	"36"	"94"	"3"	"20"	"33"	"5"	"12"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"15"	"3"	"0"	"231"	"231"	"1"	"0"
"16079"	"4"	"15"	"8"	"2"	"268"	"25"	"51"	"3"	"10"	"23"	"1"	"9"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"11"	"8"	"0"	"150"	"150"	"1"	"0"
"16080"	"4"	"15"	"8"	"2"	"263"	"13"	"51"	"7"	"9"	"37"	"2"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"10"	"0"	"0"	"140"	"140"	"1"	"0"
"16081"	"4"	"15"	"8"	"2"	"375"	"41"	"96"	"45"	"9"	"48"	"1"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"30"	"3"	"0"	"281"	"281"	"1"	"0"
"16082"	"4"	"15"	"8"	"2"	"376"	"57"	"92"	"47"	"9"	"27"	"1"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"28"	"2"	"0"	"271"	"271"	"1"	"0"
"16083"	"4"	"15"	"8"	"2"	"374"	"33"	"68"	"84"	"13"	"40"	"3"	"5"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"36"	"2"	"0"	"293"	"293"	"1"	"0"
"16084"	"4"	"15"	"8"	"2"	"376"	"42"	"81"	"38"	"14"	"51"	"0"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"20"	"14"	"0"	"267"	"267"	"1"	"0"
"16085"	"4"	"15"	"8"	"2"	"302"	"34"	"79"	"33"	"4"	"43"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"19"	"3"	"0"	"218"	"218"	"1"	"0"
"16086"	"4"	"15"	"8"	"2"	"302"	"46"	"58"	"52"	"6"	"35"	"0"	"6"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"23"	"3"	"0"	"236"	"236"	"1"	"0"
"16087"	"4"	"15"	"8"	"2"	"380"	"34"	"95"	"31"	"21"	"38"	"2"	"39"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"9"	"24"	"0"	"297"	"297"	"1"	"0"
"16088"	"4"	"15"	"8"	"2"	"376"	"50"	"107"	"48"	"13"	"27"	"0"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"34"	"6"	"0"	"298"	"298"	"1"	"0"
"16089"	"4"	"15"	"8"	"2"	"363"	"37"	"116"	"28"	"10"	"26"	"8"	"14"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"20"	"4"	"0"	"265"	"265"	"1"	"0"
"16090"	"4"	"15"	"8"	"2"	"363"	"46"	"95"	"32"	"15"	"28"	"3"	"20"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"20"	"6"	"0"	"268"	"268"	"1"	"0"
"16091"	"4"	"15"	"8"	"2"	"374"	"32"	"110"	"11"	"23"	"70"	"2"	"10"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"42"	"14"	"0"	"325"	"325"	"1"	"0"
"16092"	"4"	"15"	"8"	"2"	"376"	"49"	"88"	"6"	"38"	"69"	"2"	"17"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"25"	"4"	"0"	"302"	"302"	"1"	"0"
"16093"	"4"	"15"	"8"	"2"	"377"	"31"	"116"	"4"	"50"	"52"	"2"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"19"	"6"	"0"	"291"	"291"	"1"	"2"
"16094"	"4"	"15"	"8"	"2"	"253"	"18"	"75"	"5"	"28"	"37"	"0"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"14"	"4"	"0"	"188"	"188"	"1"	"0"
"16095"	"4"	"15"	"8"	"2"	"252"	"31"	"56"	"1"	"34"	"46"	"1"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"15"	"1"	"0"	"195"	"195"	"1"	"0"
"16096"	"4"	"15"	"8"	"2"	"380"	"18"	"155"	"10"	"7"	"7"	"4"	"15"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"20"	"9"	"0"	"251"	"251"	"1"	"0"
"16097"	"4"	"15"	"8"	"2"	"380"	"8"	"134"	"4"	"7"	"9"	"7"	"26"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"21"	"8"	"0"	"233"	"233"	"1"	"0"
"16098"	"4"	"15"	"8"	"2"	"380"	"14"	"136"	"1"	"5"	"11"	"2"	"18"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"16"	"10"	"0"	"217"	"217"	"1"	"0"
"16099"	"4"	"15"	"8"	"2"	"265"	"12"	"104"	"5"	"3"	"2"	"4"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"11"	"3"	"0"	"152"	"152"	"1"	"0"
"16100"	"4"	"15"	"8"	"2"	"264"	"12"	"95"	"2"	"1"	"6"	"2"	"4"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"6"	"6"	"0"	"140"	"140"	"1"	"0"
"16101"	"4"	"15"	"8"	"2"	"378"	"64"	"116"	"20"	"16"	"28"	"23"	"2"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"19"	"9"	"0"	"310"	"310"	"1"	"0"
"16102"	"4"	"15"	"8"	"2"	"396"	"51"	"138"	"12"	"16"	"34"	"18"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"30"	"6"	"0"	"314"	"314"	"1"	"0"
"16103"	"4"	"15"	"8"	"2"	"376"	"60"	"135"	"20"	"14"	"45"	"15"	"2"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"23"	"8"	"0"	"329"	"329"	"1"	"0"
"16104"	"4"	"15"	"8"	"2"	"380"	"59"	"102"	"28"	"10"	"40"	"18"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"9"	"5"	"0"	"282"	"282"	"1"	"0"
"16105"	"4"	"15"	"8"	"2"	"223"	"41"	"83"	"14"	"6"	"18"	"5"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"7"	"3"	"3"	"185"	"185"	"1"	"0"
"16106"	"4"	"15"	"8"	"2"	"222"	"35"	"59"	"8"	"9"	"24"	"12"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"3"	"3"	"2"	"160"	"160"	"1"	"0"
"16107"	"4"	"15"	"8"	"2"	"308"	"19"	"36"	"6"	"5"	"5"	"3"	"1"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"9"	"2"	"0"	"101"	"101"	"1"	"0"
"16108"	"4"	"15"	"8"	"2"	"308"	"19"	"21"	"5"	"2"	"7"	"1"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"2"	"2"	"0"	"68"	"68"	"1"	"0"
