"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"SEMILLA"	"FCN_NACION"	"URNG_MAIZ"	"LIBRE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14029"	"4"	"13"	"20"	"2"	"400"	"143"	"104"	"11"	"39"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"12"	"8"	"0"	"326"	"326"	"1"	"0"
"14030"	"4"	"13"	"20"	"2"	"400"	"139"	"93"	"17"	"45"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"9"	"6"	"1"	"310"	"310"	"1"	"0"
"14031"	"4"	"13"	"20"	"2"	"400"	"150"	"66"	"15"	"36"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"3"	"4"	"1"	"280"	"280"	"1"	"0"
"14032"	"4"	"13"	"20"	"2"	"396"	"107"	"90"	"11"	"56"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"7"	"2"	"0"	"282"	"282"	"1"	"0"
"14033"	"4"	"13"	"20"	"2"	"400"	"127"	"62"	"16"	"52"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"6"	"0"	"0"	"272"	"272"	"1"	"0"
"14034"	"4"	"13"	"20"	"2"	"310"	"109"	"70"	"19"	"42"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"0"	"4"	"0"	"252"	"252"	"1"	"0"
"14035"	"4"	"13"	"20"	"2"	"309"	"100"	"69"	"10"	"32"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"0"	"3"	"0"	"222"	"222"	"1"	"0"
"14036"	"4"	"13"	"20"	"2"	"376"	"52"	"104"	"63"	"26"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"6"	"13"	"0"	"275"	"275"	"1"	"0"
"14037"	"4"	"13"	"20"	"2"	"377"	"43"	"122"	"66"	"38"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"7"	"16"	"0"	"299"	"299"	"1"	"0"
"14038"	"4"	"13"	"20"	"2"	"380"	"60"	"130"	"43"	"56"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"3"	"11"	"0"	"306"	"306"	"1"	"0"
