"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"VICTORIA"	"UNE"	"FCN_NACION"	"VIVA"	"CONVERGENCIA"	"CREO"	"WINAQ"	"UNIONISTA"	"FUERZA"	"LIBRE"	"PPT"	"PHG"	"BIEN"	"UCN"	"MLP"	"PC"	"VALOR"	"SEMILLA"	"EG"	"UNIDOS"	"PAN"	"URNG_MAIZ"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11786"	"3"	"12"	"6"	"2"	"358"	"4"	"3"	"2"	"22"	"4"	"3"	"0"	"8"	"4"	"0"	"9"	"0"	"2"	"2"	"49"	"4"	"6"	"0"	"3"	"7"	"18"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"6"	"19"	"0"	"183"	"183"	"1"	"0"
"11787"	"3"	"12"	"6"	"2"	"341"	"8"	"1"	"0"	"56"	"1"	"0"	"0"	"17"	"6"	"0"	"5"	"0"	"0"	"0"	"57"	"1"	"7"	"4"	"2"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"15"	"32"	"0"	"231"	"231"	"1"	"0"
"11788"	"3"	"12"	"6"	"2"	"340"	"6"	"1"	"1"	"39"	"0"	"3"	"1"	"13"	"2"	"0"	"5"	"0"	"1"	"0"	"50"	"1"	"5"	"6"	"0"	"2"	"10"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"13"	"20"	"0"	"181"	"181"	"1"	"0"
"11789"	"3"	"12"	"6"	"2"	"380"	"3"	"0"	"0"	"43"	"4"	"0"	"1"	"10"	"4"	"0"	"43"	"0"	"1"	"1"	"31"	"1"	"2"	"2"	"7"	"3"	"31"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"31"	"43"	"0"	"264"	"264"	"1"	"0"
"11790"	"3"	"12"	"6"	"2"	"380"	"6"	"1"	"0"	"38"	"3"	"0"	"1"	"12"	"0"	"0"	"39"	"0"	"1"	"1"	"28"	"0"	"5"	"4"	"4"	"3"	"19"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"23"	"30"	"0"	"220"	"220"	"1"	"0"
"11791"	"3"	"12"	"6"	"2"	"334"	"3"	"1"	"0"	"25"	"2"	"0"	"1"	"21"	"1"	"1"	"15"	"0"	"0"	"0"	"31"	"1"	"3"	"5"	"2"	"5"	"24"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"24"	"20"	"0"	"186"	"186"	"1"	"0"
"11792"	"3"	"12"	"6"	"2"	"334"	"1"	"0"	"0"	"19"	"0"	"0"	"0"	"15"	"2"	"1"	"26"	"1"	"2"	"0"	"34"	"1"	"3"	"3"	"2"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"6"	"12"	"0"	"139"	"139"	"1"	"0"
"11793"	"3"	"12"	"6"	"2"	"380"	"5"	"0"	"0"	"29"	"1"	"0"	"2"	"41"	"0"	"0"	"4"	"0"	"0"	"2"	"14"	"0"	"4"	"1"	"2"	"1"	"7"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"20"	"34"	"0"	"177"	"177"	"1"	"0"
"11794"	"3"	"12"	"6"	"2"	"380"	"2"	"1"	"1"	"25"	"2"	"2"	"4"	"44"	"0"	"0"	"4"	"0"	"1"	"0"	"21"	"0"	"0"	"5"	"0"	"1"	"10"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"33"	"38"	"0"	"203"	"203"	"1"	"0"
"11795"	"3"	"12"	"6"	"2"	"380"	"0"	"1"	"0"	"57"	"4"	"2"	"0"	"64"	"0"	"1"	"3"	"0"	"0"	"5"	"26"	"0"	"4"	"2"	"3"	"2"	"6"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"18"	"21"	"0"	"221"	"221"	"1"	"0"
"11796"	"3"	"12"	"6"	"2"	"380"	"3"	"1"	"0"	"28"	"0"	"0"	"0"	"44"	"2"	"2"	"4"	"1"	"0"	"0"	"10"	"0"	"1"	"3"	"0"	"0"	"22"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"124"	"14"	"25"	"0"	"164"	"163"	"0"	"0"
"11797"	"3"	"12"	"6"	"2"	"380"	"3"	"1"	"1"	"21"	"0"	"1"	"0"	"40"	"3"	"3"	"2"	"0"	"0"	"0"	"15"	"4"	"2"	"0"	"0"	"0"	"10"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"112"	"13"	"16"	"0"	"140"	"141"	"0"	"0"
"11798"	"3"	"12"	"6"	"2"	"260"	"1"	"0"	"0"	"17"	"0"	"0"	"0"	"36"	"1"	"0"	"3"	"0"	"0"	"0"	"10"	"0"	"4"	"3"	"2"	"1"	"8"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"89"	"89"	"6"	"16"	"0"	"111"	"111"	"1"	"0"
"11799"	"3"	"12"	"6"	"2"	"259"	"0"	"1"	"1"	"20"	"0"	"0"	"2"	"42"	"1"	"0"	"2"	"0"	"1"	"0"	"10"	"0"	"2"	"1"	"1"	"1"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"7"	"13"	"0"	"117"	"117"	"1"	"0"
"11800"	"3"	"12"	"6"	"2"	"380"	"50"	"2"	"4"	"26"	"3"	"0"	"0"	"5"	"1"	"1"	"4"	"1"	"0"	"2"	"36"	"3"	"10"	"3"	"3"	"4"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"21"	"36"	"0"	"229"	"229"	"1"	"0"
"11801"	"3"	"12"	"6"	"2"	"380"	"44"	"1"	"3"	"35"	"1"	"0"	"0"	"3"	"4"	"0"	"3"	"1"	"0"	"2"	"24"	"0"	"12"	"1"	"1"	"4"	"12"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"17"	"48"	"0"	"219"	"219"	"1"	"0"
"11802"	"3"	"12"	"6"	"2"	"380"	"45"	"0"	"3"	"41"	"3"	"0"	"0"	"7"	"1"	"0"	"3"	"1"	"0"	"0"	"40"	"0"	"3"	"1"	"3"	"7"	"8"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"23"	"33"	"0"	"227"	"227"	"1"	"0"
"11803"	"3"	"12"	"6"	"2"	"382"	"39"	"1"	"0"	"39"	"3"	"0"	"0"	"14"	"5"	"0"	"10"	"3"	"0"	"0"	"35"	"1"	"8"	"0"	"2"	"3"	"14"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"26"	"29"	"1"	"238"	"237"	"0"	"0"
"11804"	"3"	"12"	"6"	"2"	"380"	"63"	"0"	"3"	"21"	"0"	"1"	"1"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"30"	"0"	"2"	"1"	"1"	"1"	"8"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"18"	"22"	"0"	"179"	"179"	"1"	"0"
"11805"	"3"	"12"	"6"	"2"	"380"	"33"	"1"	"3"	"23"	"3"	"1"	"1"	"5"	"2"	"1"	"1"	"1"	"0"	"0"	"23"	"0"	"4"	"3"	"2"	"3"	"8"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"17"	"19"	"0"	"158"	"158"	"1"	"0"
"11806"	"3"	"12"	"6"	"2"	"337"	"26"	"2"	"3"	"28"	"1"	"0"	"0"	"7"	"2"	"3"	"5"	"1"	"0"	"2"	"29"	"3"	"6"	"3"	"0"	"5"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"12"	"15"	"0"	"162"	"162"	"1"	"0"
"11807"	"3"	"12"	"6"	"2"	"337"	"28"	"0"	"4"	"7"	"0"	"0"	"0"	"4"	"3"	"0"	"8"	"0"	"0"	"1"	"25"	"0"	"3"	"0"	"0"	"3"	"10"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"6"	"17"	"0"	"124"	"124"	"1"	"0"
"11808"	"3"	"12"	"6"	"2"	"380"	"7"	"1"	"0"	"17"	"1"	"0"	"1"	"18"	"3"	"2"	"7"	"1"	"0"	"1"	"29"	"0"	"23"	"5"	"4"	"0"	"34"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"28"	"27"	"0"	"212"	"212"	"1"	"0"
"11809"	"3"	"12"	"6"	"2"	"380"	"4"	"0"	"0"	"32"	"1"	"0"	"1"	"27"	"1"	"0"	"5"	"1"	"0"	"2"	"37"	"0"	"22"	"2"	"3"	"2"	"23"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"25"	"25"	"0"	"218"	"218"	"1"	"0"
"11810"	"3"	"12"	"6"	"2"	"381"	"8"	"0"	"0"	"23"	"0"	"0"	"0"	"5"	"0"	"0"	"10"	"0"	"0"	"0"	"46"	"0"	"16"	"2"	"0"	"1"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"48"	"36"	"0"	"231"	"231"	"1"	"0"
"11811"	"3"	"12"	"6"	"2"	"380"	"5"	"0"	"2"	"25"	"0"	"0"	"0"	"5"	"2"	"1"	"7"	"1"	"0"	"0"	"38"	"1"	"11"	"6"	"0"	"0"	"63"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"173"	"30"	"38"	"0"	"247"	"241"	"0"	"0"
"11812"	"3"	"12"	"6"	"2"	"380"	"5"	"0"	"1"	"23"	"2"	"0"	"2"	"3"	"0"	"1"	"10"	"0"	"0"	"0"	"42"	"2"	"18"	"3"	"2"	"1"	"53"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"32"	"32"	"0"	"240"	"240"	"1"	"0"
"11813"	"3"	"12"	"6"	"2"	"380"	"3"	"0"	"2"	"20"	"1"	"0"	"0"	"3"	"0"	"0"	"4"	"0"	"1"	"0"	"30"	"1"	"15"	"2"	"0"	"0"	"46"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"13"	"24"	"0"	"171"	"171"	"1"	"0"
"11814"	"3"	"12"	"6"	"2"	"380"	"10"	"0"	"1"	"20"	"3"	"2"	"1"	"15"	"0"	"26"	"6"	"0"	"0"	"0"	"26"	"1"	"15"	"2"	"3"	"1"	"46"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"183"	"12"	"28"	"183"	"197"	"223"	"0"	"0"
"11815"	"3"	"12"	"6"	"2"	"323"	"5"	"2"	"1"	"11"	"2"	"2"	"0"	"6"	"0"	"3"	"2"	"1"	"2"	"1"	"19"	"0"	"11"	"3"	"0"	"1"	"28"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"17"	"26"	"0"	"144"	"144"	"1"	"0"
"11816"	"3"	"12"	"6"	"2"	"323"	"2"	"0"	"1"	"18"	"0"	"0"	"0"	"4"	"0"	"1"	"3"	"0"	"0"	"0"	"36"	"0"	"14"	"4"	"1"	"0"	"33"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"13"	"17"	"0"	"150"	"150"	"1"	"0"
"11817"	"3"	"12"	"6"	"2"	"380"	"14"	"3"	"2"	"51"	"2"	"0"	"0"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"34"	"0"	"9"	"3"	"2"	"3"	"5"	"8"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"27"	"29"	"0"	"204"	"204"	"1"	"0"
"11818"	"3"	"12"	"6"	"2"	"380"	"22"	"0"	"4"	"47"	"2"	"2"	"0"	"4"	"3"	"4"	"8"	"0"	"0"	"0"	"29"	"0"	"14"	"1"	"3"	"3"	"7"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"159"	"27"	"21"	"0"	"208"	"207"	"0"	"0"
"11819"	"3"	"12"	"6"	"2"	"380"	"31"	"0"	"3"	"89"	"0"	"2"	"3"	"3"	"1"	"2"	"0"	"0"	"2"	"0"	"32"	"0"	"14"	"2"	"0"	"4"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"0"	"30"	"0"	"231"	"231"	"1"	"0"
"11820"	"3"	"12"	"6"	"2"	"0"	"16"	"2"	"8"	"74"	"5"	"0"	"1"	"5"	"9"	"2"	"6"	"0"	"0"	"2"	"22"	"2"	"11"	"3"	"3"	"1"	"12"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"21"	"24"	"0"	"233"	"233"	"1"	"0"
"11821"	"3"	"12"	"6"	"2"	"380"	"27"	"0"	"4"	"46"	"3"	"0"	"0"	"5"	"5"	"2"	"1"	"2"	"0"	"0"	"40"	"1"	"8"	"2"	"2"	"0"	"14"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"170"	"24"	"44"	"0"	"239"	"238"	"0"	"0"
"11822"	"3"	"12"	"6"	"2"	"380"	"19"	"0"	"8"	"64"	"4"	"2"	"1"	"3"	"5"	"1"	"5"	"0"	"1"	"0"	"37"	"2"	"2"	"1"	"1"	"2"	"11"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"30"	"20"	"0"	"226"	"226"	"1"	"0"
"11823"	"3"	"12"	"6"	"2"	"380"	"13"	"0"	"6"	"31"	"5"	"2"	"1"	"3"	"5"	"2"	"1"	"0"	"1"	"1"	"30"	"0"	"4"	"1"	"2"	"4"	"8"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"9"	"13"	"0"	"149"	"149"	"1"	"0"
"11824"	"3"	"12"	"6"	"2"	"380"	"20"	"1"	"5"	"41"	"3"	"1"	"0"	"1"	"6"	"1"	"7"	"0"	"1"	"0"	"33"	"2"	"11"	"2"	"1"	"2"	"8"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"13"	"18"	"0"	"184"	"184"	"1"	"0"
"11825"	"3"	"12"	"6"	"2"	"266"	"3"	"1"	"3"	"19"	"3"	"1"	"0"	"1"	"2"	"0"	"4"	"0"	"1"	"0"	"16"	"0"	"6"	"1"	"1"	"1"	"5"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"74"	"74"	"11"	"13"	"0"	"98"	"98"	"1"	"0"
"11826"	"3"	"12"	"6"	"2"	"266"	"12"	"0"	"3"	"27"	"0"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"18"	"1"	"3"	"0"	"0"	"3"	"5"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"1"	"9"	"0"	"91"	"91"	"1"	"0"
"11827"	"3"	"12"	"6"	"2"	"380"	"3"	"0"	"1"	"33"	"0"	"2"	"2"	"21"	"2"	"0"	"7"	"0"	"0"	"1"	"24"	"10"	"23"	"5"	"13"	"2"	"10"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"163"	"31"	"42"	"0"	"226"	"236"	"0"	"0"
"11828"	"3"	"12"	"6"	"2"	"380"	"3"	"1"	"0"	"25"	"1"	"0"	"0"	"13"	"2"	"2"	"6"	"0"	"0"	"0"	"46"	"4"	"21"	"1"	"5"	"0"	"8"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"140"	"24"	"41"	"0"	"206"	"205"	"0"	"0"
"11829"	"3"	"12"	"6"	"2"	"380"	"1"	"0"	"0"	"20"	"1"	"0"	"7"	"25"	"1"	"3"	"8"	"0"	"1"	"0"	"36"	"4"	"24"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"17"	"18"	"0"	"171"	"171"	"1"	"0"
"11830"	"3"	"12"	"6"	"2"	"231"	"4"	"0"	"0"	"13"	"0"	"0"	"1"	"10"	"0"	"1"	"3"	"0"	"0"	"1"	"25"	"1"	"15"	"1"	"6"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"7"	"18"	"1"	"112"	"112"	"1"	"0"
"11831"	"3"	"12"	"6"	"2"	"228"	"1"	"0"	"2"	"17"	"0"	"0"	"1"	"7"	"1"	"0"	"4"	"0"	"0"	"0"	"35"	"2"	"13"	"1"	"4"	"1"	"8"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"5"	"16"	"0"	"121"	"121"	"1"	"0"
"11832"	"3"	"12"	"6"	"2"	"380"	"21"	"2"	"2"	"40"	"4"	"0"	"3"	"4"	"1"	"0"	"4"	"1"	"0"	"4"	"22"	"0"	"5"	"4"	"4"	"2"	"52"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"35"	"28"	"0"	"241"	"241"	"1"	"0"
"11833"	"3"	"12"	"6"	"2"	"380"	"26"	"1"	"5"	"37"	"3"	"1"	"0"	"2"	"2"	"0"	"7"	"1"	"0"	"2"	"15"	"1"	"4"	"2"	"3"	"2"	"24"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"28"	"31"	"0"	"200"	"200"	"1"	"0"
"11834"	"3"	"12"	"6"	"2"	"238"	"17"	"0"	"0"	"14"	"2"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"10"	"3"	"3"	"1"	"6"	"2"	"18"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"85"	"85"	"5"	"23"	"0"	"113"	"113"	"1"	"0"
"11835"	"3"	"12"	"6"	"2"	"238"	"12"	"1"	"1"	"9"	"0"	"0"	"9"	"5"	"1"	"0"	"4"	"0"	"0"	"0"	"4"	"2"	"2"	"1"	"3"	"2"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"60"	"60"	"10"	"14"	"0"	"84"	"84"	"1"	"0"
"11836"	"3"	"12"	"6"	"2"	"380"	"4"	"1"	"3"	"50"	"0"	"2"	"1"	"13"	"3"	"4"	"4"	"0"	"0"	"2"	"28"	"2"	"39"	"10"	"4"	"4"	"6"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"23"	"35"	"0"	"243"	"243"	"1"	"0"
"11837"	"3"	"12"	"6"	"2"	"380"	"21"	"0"	"0"	"58"	"5"	"0"	"0"	"14"	"3"	"1"	"7"	"1"	"2"	"0"	"26"	"2"	"26"	"10"	"2"	"1"	"6"	"6"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"21"	"18"	"0"	"238"	"237"	"0"	"0"
"11838"	"3"	"12"	"6"	"2"	"295"	"13"	"0"	"0"	"27"	"2"	"0"	"2"	"6"	"2"	"1"	"6"	"0"	"1"	"2"	"21"	"1"	"23"	"3"	"2"	"4"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"13"	"24"	"0"	"162"	"162"	"1"	"0"
"11839"	"3"	"12"	"6"	"2"	"295"	"6"	"0"	"0"	"21"	"2"	"0"	"1"	"5"	"0"	"1"	"4"	"0"	"2"	"0"	"25"	"1"	"26"	"2"	"1"	"6"	"4"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"111"	"8"	"17"	"0"	"138"	"136"	"0"	"0"
"11840"	"3"	"12"	"6"	"2"	"0"	"3"	"1"	"2"	"42"	"1"	"1"	"1"	"1"	"4"	"1"	"3"	"0"	"1"	"2"	"77"	"1"	"7"	"1"	"4"	"0"	"27"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"29"	"37"	"0"	"253"	"253"	"1"	"0"
"11841"	"3"	"12"	"6"	"2"	"0"	"4"	"0"	"1"	"41"	"1"	"1"	"0"	"2"	"1"	"0"	"8"	"0"	"0"	"2"	"91"	"1"	"5"	"0"	"1"	"2"	"40"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"26"	"30"	"0"	"260"	"260"	"1"	"0"
"11842"	"3"	"12"	"6"	"2"	"380"	"3"	"0"	"3"	"59"	"1"	"0"	"3"	"3"	"4"	"1"	"6"	"1"	"0"	"1"	"90"	"1"	"5"	"4"	"5"	"3"	"23"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"26"	"24"	"0"	"272"	"272"	"1"	"0"
"11843"	"3"	"12"	"6"	"2"	"380"	"4"	"0"	"1"	"28"	"0"	"1"	"1"	"1"	"5"	"0"	"4"	"0"	"0"	"0"	"75"	"0"	"1"	"2"	"5"	"3"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"153"	"11"	"20"	"0"	"185"	"184"	"0"	"0"
"11844"	"3"	"12"	"6"	"2"	"0"	"2"	"0"	"0"	"11"	"0"	"1"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"48"	"0"	"5"	"1"	"0"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"11"	"10"	"0"	"111"	"111"	"1"	"0"
"11845"	"3"	"12"	"6"	"2"	"194"	"1"	"1"	"0"	"23"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"55"	"0"	"1"	"0"	"1"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"5"	"3"	"0"	"111"	"111"	"1"	"0"
"11846"	"3"	"12"	"6"	"2"	"380"	"4"	"0"	"0"	"19"	"0"	"2"	"1"	"4"	"8"	"2"	"10"	"1"	"1"	"0"	"27"	"1"	"10"	"5"	"2"	"5"	"26"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"21"	"29"	"0"	"186"	"186"	"1"	"0"
"11847"	"3"	"12"	"6"	"2"	"380"	"2"	"0"	"1"	"26"	"3"	"0"	"0"	"8"	"5"	"0"	"10"	"0"	"0"	"0"	"21"	"0"	"7"	"2"	"8"	"7"	"28"	"1"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"141"	"38"	"36"	"0"	"216"	"215"	"0"	"0"
"11848"	"3"	"12"	"6"	"2"	"380"	"5"	"0"	"0"	"27"	"1"	"0"	"2"	"5"	"1"	"1"	"2"	"3"	"0"	"1"	"45"	"2"	"10"	"3"	"8"	"2"	"29"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"14"	"37"	"0"	"206"	"206"	"1"	"0"
"11849"	"3"	"12"	"6"	"2"	"381"	"0"	"1"	"0"	"20"	"1"	"1"	"1"	"5"	"4"	"0"	"5"	"1"	"0"	"0"	"22"	"0"	"7"	"1"	"2"	"5"	"20"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"16"	"21"	"0"	"137"	"137"	"1"	"0"
"11850"	"3"	"12"	"6"	"2"	"206"	"2"	"0"	"1"	"13"	"2"	"2"	"0"	"5"	"7"	"0"	"2"	"0"	"0"	"0"	"20"	"0"	"3"	"1"	"4"	"1"	"9"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"75"	"75"	"4"	"11"	"0"	"90"	"90"	"1"	"0"
"11851"	"3"	"12"	"6"	"2"	"203"	"1"	"0"	"0"	"8"	"2"	"1"	"0"	"2"	"2"	"0"	"4"	"0"	"1"	"0"	"20"	"0"	"1"	"0"	"4"	"1"	"11"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"61"	"9"	"19"	"1"	"89"	"89"	"1"	"0"
"11852"	"3"	"12"	"6"	"2"	"380"	"16"	"1"	"0"	"41"	"5"	"0"	"0"	"9"	"5"	"1"	"33"	"2"	"0"	"1"	"46"	"1"	"7"	"4"	"0"	"0"	"20"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"19"	"23"	"0"	"239"	"239"	"1"	"0"
"11853"	"3"	"12"	"6"	"2"	"380"	"20"	"0"	"1"	"38"	"5"	"0"	"0"	"6"	"2"	"0"	"14"	"0"	"1"	"7"	"47"	"0"	"2"	"1"	"2"	"4"	"17"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"16"	"34"	"0"	"222"	"222"	"1"	"0"
"11854"	"3"	"12"	"6"	"2"	"380"	"8"	"2"	"1"	"30"	"7"	"0"	"0"	"7"	"2"	"0"	"27"	"0"	"0"	"2"	"43"	"2"	"3"	"3"	"1"	"2"	"17"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"11"	"27"	"0"	"199"	"199"	"1"	"0"
"11855"	"3"	"12"	"6"	"2"	"380"	"6"	"1"	"1"	"25"	"3"	"1"	"2"	"7"	"1"	"0"	"36"	"0"	"0"	"3"	"49"	"2"	"5"	"5"	"1"	"3"	"19"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"8"	"30"	"0"	"210"	"210"	"1"	"0"
"11856"	"3"	"12"	"6"	"2"	"380"	"3"	"2"	"1"	"36"	"3"	"1"	"1"	"19"	"1"	"2"	"40"	"0"	"0"	"0"	"43"	"1"	"2"	"3"	"8"	"4"	"18"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"189"	"19"	"15"	"3"	"224"	"223"	"0"	"0"
"11857"	"3"	"12"	"6"	"2"	"380"	"6"	"2"	"0"	"29"	"3"	"0"	"0"	"15"	"2"	"1"	"36"	"0"	"0"	"0"	"55"	"0"	"3"	"3"	"1"	"1"	"14"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"21"	"33"	"0"	"229"	"229"	"1"	"0"
"11858"	"3"	"12"	"6"	"2"	"380"	"3"	"1"	"0"	"27"	"3"	"0"	"2"	"14"	"1"	"0"	"21"	"0"	"1"	"0"	"55"	"1"	"5"	"1"	"4"	"2"	"9"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"17"	"31"	"0"	"205"	"205"	"1"	"0"
"11859"	"3"	"12"	"6"	"2"	"207"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"1"	"4"	"0"	"22"	"0"	"0"	"0"	"29"	"2"	"2"	"1"	"1"	"1"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"7"	"14"	"0"	"108"	"108"	"1"	"0"
"11860"	"3"	"12"	"6"	"2"	"206"	"3"	"0"	"0"	"13"	"0"	"1"	"0"	"2"	"1"	"0"	"20"	"0"	"0"	"1"	"24"	"0"	"2"	"0"	"0"	"2"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"4"	"21"	"0"	"104"	"104"	"1"	"0"
