"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"BIEN"	"UNE"	"FCN_NACION"	"VALOR"	"MLP"	"VICTORIA"	"VIVA"	"PHG"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20213"	"4"	"21"	"7"	"2"	"380"	"10"	"2"	"44"	"62"	"17"	"47"	"20"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"13"	"9"	"0"	"228"	"228"	"1"	"0"
"20214"	"4"	"21"	"7"	"2"	"0"	"20"	"0"	"39"	"59"	"11"	"30"	"32"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"9"	"5"	"2"	"218"	"218"	"1"	"0"
"20215"	"4"	"21"	"7"	"2"	"378"	"7"	"2"	"41"	"45"	"9"	"43"	"28"	"3"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"11"	"6"	"0"	"214"	"214"	"1"	"0"
"20216"	"4"	"21"	"7"	"2"	"376"	"7"	"4"	"36"	"51"	"12"	"38"	"11"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"8"	"3"	"0"	"182"	"182"	"1"	"0"
"20217"	"4"	"21"	"7"	"2"	"229"	"1"	"1"	"19"	"27"	"4"	"14"	"15"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"88"	"88"	"7"	"3"	"0"	"99"	"98"	"0"	"0"
"20218"	"4"	"21"	"7"	"2"	"229"	"1"	"0"	"35"	"19"	"10"	"22"	"8"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"1"	"2"	"0"	"105"	"105"	"1"	"0"
"20219"	"4"	"21"	"7"	"2"	"0"	"9"	"2"	"33"	"105"	"10"	"38"	"10"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"13"	"8"	"0"	"233"	"233"	"1"	"0"
"20220"	"4"	"21"	"7"	"2"	"376"	"9"	"1"	"37"	"111"	"13"	"54"	"5"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"16"	"7"	"0"	"261"	"261"	"1"	"0"
"20221"	"4"	"21"	"7"	"2"	"374"	"11"	"0"	"29"	"126"	"14"	"26"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"9"	"4"	"0"	"234"	"234"	"1"	"0"
"20222"	"4"	"21"	"7"	"2"	"374"	"12"	"2"	"37"	"67"	"13"	"35"	"11"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"9"	"6"	"0"	"203"	"203"	"1"	"0"
"20223"	"4"	"21"	"7"	"2"	"288"	"13"	"0"	"29"	"53"	"2"	"31"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"12"	"8"	"0"	"155"	"155"	"1"	"0"
"20224"	"4"	"21"	"7"	"2"	"0"	"10"	"0"	"31"	"60"	"5"	"27"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"5"	"2"	"0"	"153"	"153"	"1"	"0"
"20225"	"4"	"21"	"7"	"2"	"375"	"13"	"9"	"3"	"55"	"4"	"39"	"28"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"38"	"5"	"0"	"201"	"201"	"1"	"0"
"20226"	"4"	"21"	"7"	"2"	"374"	"11"	"14"	"11"	"59"	"4"	"52"	"9"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"15"	"7"	"0"	"189"	"189"	"1"	"0"
"20227"	"4"	"21"	"7"	"2"	"256"	"7"	"8"	"5"	"35"	"3"	"48"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"13"	"5"	"0"	"128"	"128"	"1"	"0"
"20228"	"4"	"21"	"7"	"2"	"256"	"9"	"7"	"6"	"28"	"3"	"34"	"18"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"111"	"111"	"8"	"1"	"0"	"120"	"120"	"1"	"0"
"20229"	"4"	"21"	"7"	"2"	"600"	"7"	"4"	"45"	"64"	"4"	"33"	"9"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"12"	"3"	"0"	"196"	"186"	"0"	"0"
"20230"	"4"	"21"	"7"	"2"	"408"	"5"	"3"	"44"	"45"	"3"	"24"	"9"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"8"	"2"	"0"	"153"	"153"	"1"	"0"
"20231"	"4"	"21"	"7"	"2"	"407"	"2"	"2"	"32"	"32"	"5"	"19"	"1"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"4"	"1"	"0"	"107"	"107"	"1"	"0"
