"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"WINAQ"	"VALOR"	"UNE"	"BIEN"	"VAMOS"	"CCEA"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9765"	"4"	"9"	"16"	"2"	"400"	"9"	"60"	"116"	"114"	"15"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"4"	"4"	"0"	"333"	"333"	"1"	"0"
"9766"	"4"	"9"	"16"	"2"	"400"	"15"	"42"	"119"	"106"	"36"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"335"	"335"	"1"	"5"	"0"	"341"	"341"	"1"	"0"
"9767"	"4"	"9"	"16"	"2"	"232"	"4"	"37"	"55"	"75"	"19"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"0"	"0"	"0"	"210"	"210"	"1"	"0"
"9768"	"4"	"9"	"16"	"2"	"228"	"4"	"27"	"52"	"81"	"15"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"1"	"5"	"0"	"200"	"200"	"1"	"0"
"9769"	"4"	"9"	"16"	"2"	"0"	"5"	"61"	"79"	"136"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"7"	"7"	"0"	"313"	"313"	"1"	"0"
"9770"	"4"	"9"	"16"	"2"	"400"	"6"	"65"	"127"	"113"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"12"	"2"	"0"	"334"	"334"	"1"	"0"
"9771"	"4"	"9"	"16"	"2"	"400"	"8"	"56"	"94"	"143"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"5"	"9"	"0"	"331"	"331"	"1"	"0"
"9772"	"4"	"9"	"16"	"2"	"400"	"8"	"49"	"75"	"131"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"5"	"0"	"287"	"287"	"1"	"0"
"9773"	"4"	"9"	"16"	"2"	"318"	"5"	"45"	"71"	"111"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"6"	"3"	"0"	"250"	"250"	"1"	"0"
"9774"	"4"	"9"	"16"	"2"	"321"	"8"	"37"	"63"	"100"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"4"	"3"	"1"	"234"	"234"	"1"	"0"
"9775"	"4"	"9"	"16"	"2"	"358"	"7"	"26"	"70"	"38"	"19"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"5"	"2"	"0"	"177"	"177"	"1"	"0"
