MESA	TIPO_ELECCION	DEPTO	MUNI	ESTADO_ACTA	CANTIDAD_PAPELETAS	VAMOS	UNIONISTA	VALOR	BIEN	WINAQ	CREO	PPT	PODEMOS	EG	URNG_MAIZ	FCN_NACION	SEMILLA	AVANZA	UNE	VIVA	UNIDOS	PC	FUERZA	MLP	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	SUMATORIA	CUADRA VOTOS VALIDOS	VOTOS_VALIDOS_ACTA	VOTOS_VALIDOS	NULOS	BLANCOS	INVALIDOS	TOTAL_ACTA	TOTAL_VOTOS	ACTA_CUADRA	IMPUGNACIONES
2240	4	1	6	1	400	8	35	24	12	12	55	2	24	2	4	1	14	1	26	6	2	9	1	4	0	0	0	0	0	0	0	0	0	0	0	242	TRUE	242	242	20	2	0	264	264	1	0
2241	4	1	6	1	400	21	23	13	4	8	67	1	24	5	1	4	13	1	23	3	2	7	2	4	0	0	0	0	0	0	0	0	0	0	0	226	TRUE	226	226	11	2	0	0	239	0	0
2242	4	1	6	1	220	15	19	17	4	9	54	3	24	2	2	1	9	0	29	3	1	10	2	1	0	0	0	0	0	0	0	0	0	0	0	205	TRUE	205	205	12	3	0	220	220	1	0
2243	4	1	6	1	400	17	30	10	6	3	57	4	25	2	6	5	11	1	23	7	0	14	2	2	0	0	0	0	0	0	0	0	0	0	0	225	TRUE	225	225	10	3	0	238	238	1	0
2244	4	1	6	1	400	20	41	20	9	11	65	6	30	3	2	2	15	0	23	2	2	13	0	1	0	0	0	0	0	0	0	0	0	0	0	265	TRUE	265	265	13	0	0	278	278	1	0
2245	4	1	6	2	400	12	21	19	6	5	68	10	22	2	5	5	15	6	30	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	232	TRUE	232	232	7	4	0	243	243	1	0
2246	4	1	6	2	400	24	32	21	4	10	48	4	28	1	9	1	14	1	19	4	0	15	1	4	0	0	0	0	0	0	0	0	0	0	0	240	TRUE	240	240	17	10	0	267	267	1	0
2247	4	1	6	2	400	9	30	19	4	6	62	6	29	4	6	4	20	1	18	7	1	11	1	4	0	0	0	0	0	0	0	0	0	0	0	242	TRUE	242	242	15	3	0	260	260	1	0
2248	4	1	6	2	400	17	27	17	5	6	74	8	23	7	4	3	16	0	28	1	0	15	4	4	0	0	0	0	0	0	0	0	0	0	0	259	TRUE	259	259	17	1	0	277	277	1	0
2249	4	1	6	2	400	13	31	22	5	9	76	5	19	3	9	2	12	1	18	6	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	245	TRUE	245	245	7	3	0	255	255	1	0
2250	4	1	6	2	399	16	29	16	5	7	64	9	25	1	3	4	10	0	31	7	1	5	2	3	0	0	0	0	0	0	0	0	0	0	0	238	TRUE	238	238	15	2	0	255	255	1	0
2251	4	1	6	2	400	14	30	15	6	8	66	1	19	1	4	3	12	0	30	9	9	11	11	1	0	0	0	0	0	0	0	0	0	0	0	250	FALSE	231	250	14	1	1	246	265	0	0
2252	4	1	6	2	400	13	24	22	8	5	59	5	35	0	1	0	11	0	30	5	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	231	TRUE	231	231	12	3	0	246	246	1	0
2253	4	1	6	2	400	6	38	8	10	6	64	4	15	4	6	1	9	0	17	6	0	14	1	3	0	0	0	0	0	0	0	0	0	0	0	212	TRUE	212	212	14	2	0	228	228	1	0
2254	4	1	6	2	400	11	36	8	4	9	49	10	37	0	3	2	11	0	16	7	0	17	1	2	0	0	0	0	0	0	0	0	0	0	0	223	TRUE	223	223	12	1	0	236	236	1	0
2255	4	1	6	2	400	11	27	18	1	9	41	5	21	3	3	2	7	0	17	5	0	11	2	1	0	0	0	0	0	0	0	0	0	0	0	184	TRUE	184	184	10	1	0	195	195	1	0
2256	4	1	6	2	400	20	19	15	4	2	63	3	18	2	0	1	11	0	21	4	0	11	3	4	0	0	0	0	0	0	0	0	0	0	0	201	TRUE	201	201	7	0	0	208	208	1	0
2257	4	1	6	2	400	15	26	22	4	11	53	6	24	1	3	6	12	1	18	3	0	18	2	3	0	0	0	0	0	0	0	0	0	0	0	228	TRUE	228	228	8	1	0	237	237	1	0
2258	4	1	6	2	310	5	21	25	3	4	52	1	31	2	1	4	5	0	13	3	1	14	1	1	0	0	0	0	0	0	0	0	0	0	0	187	TRUE	187	187	8	0	0	195	195	1	0
2259	4	1	6	2	308	7	19	9	3	3	33	3	20	2	6	1	3	1	18	3	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	139	TRUE	139	139	6	0	0	145	145	1	0
2260	4	1	6	2	409	15	15	19	17	2	48	0	28	3	6	5	6	0	32	7	1	14	0	4	0	0	0	0	0	0	0	0	0	0	0	222	TRUE	222	222	27	0	0	249	249	1	0
2261	4	1	6	2	396	17	20	23	14	2	39	0	29	2	5	5	9	0	29	7	1	18	0	4	0	0	0	0	0	0	0	0	0	0	0	224	TRUE	224	224	25	147	0	396	396	1	0
2262	4	1	6	2	400	25	13	21	13	4	39	0	31	3	4	7	15	2	31	5	0	19	0	4	0	0	0	0	0	0	0	0	0	0	0	236	TRUE	236	236	10	5	0	251	251	1	0
2263	4	1	6	2	400	26	19	19	13	7	41	0	26	4	6	3	14	2	24	8	1	27	1	3	0	0	0	0	0	0	0	0	0	0	0	244	FALSE	245	244	14	0	0	259	258	0	0
2264	4	1	6	2	400	22	23	13	12	5	40	2	32	1	7	3	11	0	43	12	0	17	1	4	0	0	0	0	0	0	0	0	0	0	0	248	TRUE	248	248	25	3	0	276	276	1	0
2265	4	1	6	2	400	23	12	22	10	1	39	0	18	5	6	3	10	1	41	5	0	20	0	4	0	0	0	0	0	0	0	0	0	0	0	220	TRUE	220	220	18	3	0	241	241	1	0
2266	4	1	6	2	400	21	16	26	10	6	48	1	15	2	3	9	16	0	25	5	0	29	0	6	0	0	0	0	0	0	0	0	0	0	0	238	FALSE	237	238	16	3	0	256	257	0	0
2267	4	1	6	2	400	10	10	20	7	3	23	2	33	1	5	2	15	0	33	6	0	22	2	8	0	0	0	0	0	0	0	0	0	0	0	202	TRUE	202	202	13	2	0	217	217	1	0
2268	4	1	6	2	400	21	19	25	8	9	29	0	36	1	2	0	20	0	26	2	0	17	0	3	0	0	0	0	0	0	0	0	0	0	0	218	TRUE	218	218	8	2	0	228	228	1	0
2269	4	1	6	2	400	19	16	19	6	3	24	3	26	3	5	3	12	0	24	8	1	21	1	4	0	0	0	0	0	0	0	0	0	0	0	198	TRUE	198	198	10	1	0	209	209	1	0
2270	4	1	6	2	395	23	17	26	10	6	34	0	24	5	4	5	16	0	35	3	1	24	2	5	0	0	0	0	0	0	0	0	0	0	0	240	TRUE	240	240	12	1	0	253	253	1	0
2271	4	1	6	2	397	30	15	18	7	7	39	1	38	0	5	1	10	1	26	13	0	25	2	3	0	0	0	0	0	0	0	0	0	0	0	241	TRUE	241	241	14	3	0	258	258	1	0
2272	4	1	6	2	400	20	15	35	11	5	44	3	26	2	3	3	8	2	30	5	1	19	1	4	0	0	0	0	0	0	0	0	0	0	0	237	TRUE	237	237	9	0	0	246	246	1	0
2273	4	1	6	2	400	17	13	19	7	3	39	3	30	2	4	6	16	0	26	8	1	35	0	5	0	0	0	0	0	0	0	0	0	0	0	234	TRUE	234	234	11	7	0	252	252	1	0
2274	4	1	6	2	397	15	21	22	10	7	40	3	25	0	3	5	15	1	38	7	1	27	1	3	0	0	0	0	0	0	0	0	0	0	0	244	TRUE	244	244	13	138	0	395	395	1	0
2275	4	1	6	2	397	24	13	23	9	9	44	3	23	4	2	3	12	0	30	11	0	20	2	5	0	0	0	0	0	0	0	0	0	0	0	237	FALSE	229	237	10	2	1	241	249	0	0
2276	4	1	6	2	400	8	21	11	12	3	31	1	21	3	3	8	14	0	49	4	2	22	2	4	0	0	0	0	0	0	0	0	0	0	0	219	TRUE	219	219	17	2	0	238	238	1	0
2277	4	1	6	2	398	15	19	17	11	2	42	0	34	3	6	6	10	0	34	9	0	15	2	3	0	0	0	0	0	0	0	0	0	0	0	228	TRUE	228	228	19	3	0	250	250	1	0
2278	4	1	6	2	393	20	13	22	13	6	38	1	24	6	6	3	10	0	34	2	0	22	1	2	0	0	0	0	0	0	0	0	0	0	0	223	TRUE	223	223	15	2	0	240	240	1	0
2279	4	1	6	2	400	16	15	14	12	3	44	2	24	0	2	8	8	0	31	5	1	26	0	3	0	0	0	0	0	0	0	0	0	0	0	214	FALSE	216	214	19	2	0	237	235	0	0
2280	4	1	6	2	344	22	23	19	10	3	41	0	20	1	5	6	13	1	23	8	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	200	FALSE	220	200	11	0	220	231	211	0	0
2281	4	1	6	1	400	14	13	23	6	2	37	0	29	4	3	3	10	2	44	4	1	13	0	3	0	0	0	0	0	0	0	0	0	0	0	211	TRUE	211	211	15	0	0	226	226	1	0
2282	4	1	6	1	400	20	18	21	10	3	27	2	19	2	3	4	7	0	36	5	1	14	1	2	0	0	0	0	0	0	0	0	0	0	0	195	TRUE	195	195	8	4	0	207	207	1	0
2283	4	1	6	2	394	9	23	19	10	3	29	0	29	3	0	5	20	0	31	5	1	14	1	2	0	0	0	0	0	0	0	0	0	0	0	204	FALSE	195	204	8	3	0	206	215	0	0
2284	4	1	6	2	392	16	19	20	7	3	29	1	22	1	4	4	6	0	30	6	0	17	1	1	0	0	0	0	0	0	0	0	0	0	0	187	TRUE	187	187	9	3	0	199	199	1	0
2285	4	1	6	2	400	12	19	33	11	6	46	3	46	3	1	4	19	4	23	4	0	22	0	4	0	0	0	0	0	0	0	0	0	0	0	260	FALSE	257	260	3	2	0	262	265	0	0
2286	4	1	6	2	341	8	15	37	8	4	37	0	31	0	2	3	13	0	31	3	0	18	2	2	0	0	0	0	0	0	0	0	0	0	0	214	TRUE	214	214	4	1	0	219	219	1	0
2287	4	1	6	2	339	9	14	12	4	1	26	1	12	0	2	2	13	0	19	7	1	14	0	1	0	0	0	0	0	0	0	0	0	0	0	138	TRUE	138	138	6	1	7	145	145	1	0
2288	4	1	6	1	399	18	10	20	19	2	51	1	26	6	2	3	10	0	14	2	1	61	1	2	0	0	0	0	0	0	0	0	0	0	0	249	TRUE	249	249	7	4	0	260	260	1	0
2289	4	1	6	1	400	19	15	22	14	2	30	0	38	4	1	2	6	1	21	6	1	55	2	5	0	0	0	0	0	0	0	0	0	0	0	244	TRUE	244	244	12	5	0	261	261	1	0
2290	4	1	6	1	400	19	19	20	8	2	42	2	29	6	1	1	10	1	21	8	2	45	0	4	0	0	0	0	0	0	0	0	0	0	0	240	FALSE	259	240	17	2	0	278	259	0	0
2291	4	1	6	1	400	15	17	15	8	3	49	1	26	6	2	1	14	1	21	4	1	44	1	6	0	0	0	0	0	0	0	0	0	0	0	235	TRUE	235	235	13	6	0	0	254	0	0
2292	4	1	6	1	397	12	13	23	12	2	46	0	18	4	3	2	5	2	16	4	0	58	0	5	0	0	0	0	0	0	0	0	0	0	0	225	TRUE	225	225	7	2	0	235	234	0	0
2293	4	1	6	1	397	12	23	18	9	0	45	0	23	3	1	1	11	0	22	45	0	51	1	6	0	0	0	0	0	0	0	0	0	0	0	271	FALSE	231	271	14	1	0	246	286	0	0
2294	4	1	6	1	399	14	14	17	11	2	37	1	22	1	3	2	4	1	23	4	0	48	5	5	0	0	0	0	0	0	0	0	0	0	0	214	TRUE	214	214	9	3	0	226	226	1	0
2295	4	1	6	1	400	10	13	18	13	4	48	3	27	6	2	2	14	0	18	3	0	45	1	3	0	0	0	0	0	0	0	0	0	0	0	230	TRUE	230	230	12	7	0	249	249	1	0
2296	4	1	6	1	400	18	16	16	19	1	47	0	27	6	2	5	10	1	19	2	1	54	5	8	0	0	0	0	0	0	0	0	0	0	0	257	TRUE	257	257	19	4	120	280	280	1	0
2297	4	1	6	1	400	18	24	8	12	0	44	2	16	4	1	3	8	0	24	6	0	45	2	2	0	0	0	0	0	0	0	0	0	0	0	219	FALSE	255	219	6	6	0	255	231	0	0
2298	4	1	6	1	397	13	19	10	9	3	41	1	38	5	3	0	10	1	14	4	0	54	2	4	0	0	10	1	14	4	0	54	2	4	0	231	TRUE	231	231	10	4	0	245	245	1	0
2299	4	1	6	1	395	10	11	10	9	3	43	0	43	7	1	5	5	0	16	3	81	49	2	2	0	0	0	0	0	0	0	0	0	0	0	300	FALSE	220	300	7	2	0	229	309	0	0
2300	4	1	6	1	400	12	13	12	10	2	39	0	28	4	0	2	12	2	28	3	0	40	0	3	0	0	0	0	0	0	0	0	0	0	0	210	TRUE	210	210	5	3	0	218	218	1	1
2301	4	1	6	1	313	8	14	20	6	2	33	0	32	2	4	0	4	0	17	4	0	42	2	2	0	0	0	0	0	0	0	0	0	0	0	192	TRUE	192	192	7	115	0	199	314	0	0
2302	4	1	6	1	310	3	10	15	8	1	23	0	24	5	3	4	3	0	11	2	0	34	2	3	0	0	0	0	0	0	0	0	0	0	0	151	TRUE	151	151	3	0	0	154	154	1	0
2303	4	1	6	2	400	16	29	14	5	1	25	6	5	3	2	2	9	1	34	10	1	24	0	6	0	0	0	0	0	0	0	0	0	0	0	193	FALSE	212	193	14	5	0	212	212	0	0
2304	4	1	6	2	397	10	44	13	6	2	34	5	19	3	7	0	8	1	26	8	1	23	2	6	0	0	0	0	0	0	0	0	0	0	0	218	TRUE	218	218	8	2	0	228	228	1	0
2305	4	1	6	2	396	18	37	18	4	4	31	4	20	4	8	2	3	0	42	8	1	22	1	7	0	0	0	0	0	0	0	0	0	0	0	234	TRUE	234	234	13	5	0	252	252	1	0
2306	4	1	6	1	392	18	24	12	3	6	30	4	17	3	5	0	10	2	29	10	2	32	4	9	0	0	0	0	0	0	0	0	0	0	0	220	TRUE	220	220	23	3	0	246	246	1	0
2307	4	1	6	1	392	11	22	13	6	0	36	2	18	2	7	4	11	2	25	11	1	19	3	3	0	0	0	0	0	0	0	0	0	0	0	196	TRUE	196	196	10	5	0	211	211	1	0
2308	4	1	6	1	396	16	25	18	10	6	49	5	9	3	6	5	6	4	30	7	2	31	2	7	0	0	0	0	0	0	0	0	0	0	0	241	TRUE	241	241	10	3	0	254	254	1	0
2309	4	1	6	1	393	11	25	19	6	0	27	2	29	3	5	4	5	0	23	3	0	16	0	8	0	4	5	0	23	3	0	16	0	8	0	186	TRUE	186	186	8	2	0	196	196	1	0
2310	4	1	6	1	400	9	38	17	6	2	35	2	15	3	2	3	9	0	20	4	1	37	0	6	0	0	0	0	0	0	0	0	0	0	0	209	TRUE	209	209	17	2	0	228	228	1	0
2311	4	1	6	1	395	12	32	15	6	1	39	4	22	1	2	3	6	0	24	7	0	26	2	8	0	0	0	0	0	0	0	0	0	0	0	210	TRUE	210	210	9	6	0	225	225	1	0
2312	4	1	6	1	397	9	19	17	8	5	34	7	20	2	2	3	7	0	28	7	0	16	1	5	0	0	0	0	0	0	0	0	0	0	0	190	TRUE	190	190	9	4	0	203	203	1	0
2313	4	1	6	1	394	6	26	11	6	2	44	1	25	1	2	2	13	0	29	11	1	29	1	2	0	2	13	0	29	11	1	29	1	2	0	212	TRUE	212	212	13	5	0	230	230	1	0
2314	4	1	6	1	393	15	26	15	8	1	33	1	16	2	5	3	14	1	17	8	0	26	0	3	0	0	0	0	0	0	0	0	0	0	0	194	TRUE	194	194	11	4	0	209	209	1	0
2315	4	1	6	1	394	10	21	13	7	4	46	2	15	6	4	4	5	1	24	10	1	21	3	5	0	0	0	0	0	0	0	0	0	0	0	202	TRUE	202	202	13	3	0	218	218	1	0
2316	4	1	6	1	395	3	33	7	10	6	31	0	20	1	3	1	5	1	42	12	0	26	2	11	0	1	5	1	42	12	0	26	2	11	0	214	TRUE	214	214	13	4	0	231	231	1	0
2317	4	1	6	1	398	11	37	10	7	1	41	2	19	2	5	2	3	0	28	7	2	27	2	9	0	0	0	0	0	0	0	0	0	0	0	215	TRUE	215	215	12	7	0	234	234	1	0
2318	4	1	6	1	400	11	36	8	4	5	33	7	18	1	3	3	16	0	31	9	1	28	1	5	0	0	0	0	0	0	0	0	0	0	0	220	TRUE	220	220	10	0	0	230	230	1	0
2319	4	1	6	1	394	8	30	16	7	4	38	4	15	2	4	6	9	0	19	3	0	21	1	6	0	6	9	0	19	3	0	21	1	6	0	193	TRUE	193	193	18	3	0	214	214	1	0
2320	4	1	6	1	396	12	30	8	6	2	35	3	24	6	1	5	8	2	28	5	3	23	3	7	0	5	8	2	28	5	3	23	3	7	0	211	TRUE	211	211	13	1	0	225	225	1	0
2321	4	1	6	1	398	9	39	5	7	2	24	4	10	1	2	2	9	1	28	7	1	23	0	2	0	2	9	1	28	7	1	23	0	2	0	176	TRUE	176	176	11	6	0	193	193	1	0
2322	4	1	6	1	400	13	27	8	6	4	34	3	7	1	5	2	10	0	26	3	0	18	2	8	0	2	10	0	26	3	0	18	2	8	0	177	TRUE	177	177	15	2	0	194	194	1	0
2323	4	1	6	1	400	6	23	9	1	7	36	2	22	4	2	2	10	0	26	4	0	23	2	8	0	0	0	0	0	0	0	0	0	0	0	187	TRUE	187	187	11	3	0	201	201	1	1
2324	4	1	6	1	354	13	23	12	5	5	40	0	30	0	1	1	11	0	22	5	2	21	1	13	0	1	11	0	22	5	2	21	1	13	0	205	TRUE	205	205	3	1	4	209	209	1	0
2325	4	1	6	1	350	4	14	10	4	5	29	2	7	3	2	2	5	0	17	3	0	16	2	12	0	2	5	0	17	3	0	16	2	12	0	137	TRUE	137	137	7	1	0	145	145	1	0
2326	4	1	6	2	400	19	51	7	6	3	8	0	38	1	3	5	0	0	77	2	2	15	1	2	0	0	0	0	0	0	0	0	0	0	0	240	TRUE	240	240	15	5	0	260	260	1	0
2327	4	1	6	2	398	20	54	8	12	1	8	1	32	1	1	2	1	3	62	6	0	18	2	3	0	0	0	0	0	0	0	0	0	0	0	235	TRUE	235	235	17	2	0	254	254	1	0
2328	4	1	6	2	401	11	68	6	15	5	5	0	26	3	3	5	2	2	71	7	0	8	1	4	0	0	0	0	0	0	0	0	0	0	0	242	TRUE	242	242	18	4	0	364	264	0	0
2329	4	1	6	2	400	23	52	10	10	1	3	0	43	4	1	2	0	1	79	4	1	16	0	2	0	0	0	0	0	0	0	0	0	0	0	252	TRUE	252	252	15	6	0	273	273	1	0
2330	4	1	6	2	400	15	41	9	11	3	8	0	35	3	3	5	0	1	66	7	0	13	2	7	0	0	0	0	0	0	0	0	0	0	0	229	TRUE	229	229	20	5	0	254	254	1	0
2331	4	1	6	2	396	15	50	7	7	2	12	0	30	1	2	6	3	1	47	9	0	17	2	14	0	0	0	0	0	0	0	0	0	0	0	225	TRUE	225	225	7	1	0	233	233	1	0
2332	4	1	6	2	423	20	41	8	5	0	8	1	36	2	6	1	2	0	47	7	0	15	1	7	0	0	0	0	0	0	0	0	0	0	0	207	TRUE	207	207	13	0	0	220	220	1	0
2333	4	1	6	2	399	17	41	12	9	5	6	0	25	3	1	2	0	0	77	7	0	12	1	2	0	0	0	0	0	0	0	0	0	0	0	220	TRUE	220	220	16	3	0	239	239	1	0
2334	4	1	6	2	400	10	41	7	5	3	6	0	43	2	5	2	0	2	61	9	0	22	1	8	0	0	0	0	0	0	0	0	0	0	0	227	TRUE	227	227	6	1	0	234	234	1	0
2335	4	1	6	2	397	19	43	6	10	1	6	0	31	2	3	3	0	3	71	5	1	17	5	7	0	0	0	0	0	0	0	0	0	0	0	233	TRUE	233	233	14	1	0	248	248	1	0
2336	4	1	6	2	400	19	40	10	11	1	6	1	28	0	7	2	1	0	64	7	2	22	2	5	0	0	0	0	0	0	0	0	0	0	0	228	TRUE	228	228	13	6	0	247	247	1	0
2337	4	1	6	2	400	19	41	6	16	1	5	0	28	2	4	5	2	1	91	6	2	18	1	8	0	0	0	0	0	0	0	0	0	0	0	256	TRUE	256	256	24	2	0	282	282	1	0
2338	4	1	6	2	400	12	57	4	14	4	9	1	28	1	3	2	1	0	79	3	3	10	0	6	0	0	0	0	0	0	0	0	0	0	0	237	TRUE	237	237	11	10	0	258	258	1	0
2339	4	1	6	2	398	13	47	10	9	2	6	0	31	0	3	2	2	1	87	10	1	16	0	6	0	0	0	0	0	0	0	0	0	0	0	246	TRUE	246	246	14	3	135	263	263	1	0
2340	4	1	6	2	400	16	48	6	11	4	10	0	46	0	4	3	1	1	50	11	1	6	1	7	0	0	0	0	0	0	0	0	0	0	0	226	TRUE	226	226	16	7	0	249	249	1	0
2341	4	1	6	2	394	15	51	6	10	0	8	0	35	3	3	4	2	0	65	4	0	11	2	3	0	0	0	0	0	0	0	0	0	0	0	222	TRUE	222	222	18	2	0	242	242	1	0
2342	4	1	6	1	400	12	43	8	8	1	7	0	41	0	1	1	2	0	63	2	3	10	1	3	0	0	0	0	0	0	0	0	0	0	0	206	TRUE	206	206	21	5	0	232	232	1	0
2343	4	1	6	1	0	18	49	10	9	4	3	0	39	3	3	4	0	0	61	6	0	10	0	4	0	0	0	0	0	0	0	0	0	0	0	223	TRUE	223	223	0	0	0	0	223	0	0
2344	4	1	6	1	400	14	39	8	12	1	9	0	49	1	1	3	1	2	59	4	0	20	1	5	0	0	0	0	0	0	0	0	0	0	0	229	TRUE	229	229	10	1	0	0	240	0	0
2345	4	1	6	2	235	7	32	6	3	2	4	0	16	3	0	2	0	0	30	4	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	125	TRUE	125	125	4	0	0	129	129	1	0
