MESA	TIPO_ELECCION	DEPTO	MUNI	ESTADO_ACTA	CANTIDAD_PAPELETAS	VAMOS	UNIONISTA	VALOR	BIEN	WINAQ	CREO	PPT	PODEMOS	EG	URNG_MAIZ	FCN_NACION	SEMILLA	AVANZA	UNE	VIVA	UNIDOS	PC	FUERZA	MLP	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	SUMATORIA	CUADRA VOTOS VALIDOS	VOTOS_VALIDOS_ACTA	VOTOS_VALIDOS	NULOS	BLANCOS	INVALIDOS	TOTAL_ACTA	TOTAL_VOTOS	ACTA_CUADRA	IMPUGNACIONES
2210	4	1	6	2	380	11	16	1	16	4	7	0	19	58	1	10	1	0	10	0	0	74	2	4	0	0	0	0	0	0	0	0	0	0	0	234	TRUE	234	234	17	0	0	251	251	1	0
2211	4	1	6	2	374	6	21	1	13	3	6	0	17	51	3	8	3	0	13	1	1	66	0	5	0	0	0	0	0	0	0	0	0	0	0	218	TRUE	218	218	7	1	0	226	226	1	0
2212	4	1	6	2	374	7	24	2	10	4	6	1	20	51	3	11	0	2	12	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	234	TRUE	234	234	7	5	0	246	246	1	0
2213	4	1	6	2	374	11	15	0	11	2	5	3	15	47	1	5	1	0	19	2	1	93	2	0	0	0	0	0	0	0	0	0	0	0	0	233	TRUE	233	233	13	7	0	253	253	1	0
2214	4	1	6	2	373	7	15	2	16	1	6	0	22	51	2	11	3	0	10	1	0	68	2	4	0	0	0	0	0	0	0	0	0	0	0	221	TRUE	221	221	10	4	0	235	235	1	0
2215	4	1	6	2	380	8	25	1	12	4	4	0	15	37	0	10	0	0	23	1	1	82	1	1	0	0	0	0	0	0	0	0	0	0	0	225	TRUE	225	225	21	11	0	257	257	1	0
2216	4	1	6	2	376	13	21	4	11	3	5	2	25	37	3	4	1	3	11	2	1	70	1	2	0	0	0	0	0	0	0	0	0	0	0	219	TRUE	219	219	17	4	0	240	240	1	0
2217	4	1	6	2	371	5	25	2	13	6	8	0	16	45	0	3	0	0	19	2	0	61	1	1	0	0	0	0	0	0	0	0	0	0	0	207	TRUE	207	207	17	7	0	231	231	1	0
2218	4	1	6	2	291	5	14	1	5	2	5	1	8	35	0	2	0	0	6	1	0	56	1	1	0	0	0	0	0	0	0	0	0	0	0	143	TRUE	143	143	8	2	0	153	153	1	0
2219	4	1	6	2	291	6	12	1	6	0	2	0	17	33	2	3	0	0	4	1	0	62	0	4	0	0	0	0	0	0	0	0	0	0	0	153	TRUE	153	153	3	4	0	160	160	1	0
2220	4	1	6	1	398	16	27	25	17	10	37	4	21	4	5	2	21	0	20	3	1	11	3	3	0	2	21	0	20	3	1	11	3	3	0	230	TRUE	230	230	18	3	0	251	251	1	0
2221	4	1	6	1	400	18	28	17	17	4	48	3	12	4	7	3	31	0	21	13	0	12	1	4	0	3	31	0	21	13	0	12	1	4	0	243	TRUE	243	243	15	1	0	259	259	1	0
2222	4	1	6	1	400	23	19	18	15	4	64	3	26	8	6	0	19	1	22	6	0	17	2	5	0	0	0	0	0	0	0	0	0	0	0	258	TRUE	258	258	16	1	0	275	275	1	0
2223	4	1	6	1	400	19	28	16	8	3	54	3	20	5	5	3	25	1	17	7	0	21	2	5	0	3	25	1	17	7	0	21	2	5	0	242	TRUE	242	242	15	2	0	259	259	1	0
2224	4	1	6	1	394	16	10	27	18	6	58	2	24	3	5	3	21	1	12	3	1	14	3	6	0	0	0	0	0	0	0	0	0	0	0	233	TRUE	233	233	16	1	0	250	250	1	0
2225	4	1	6	1	400	19	20	23	10	8	51	4	21	4	7	2	19	0	16	3	1	18	3	4	0	2	19	0	16	3	1	18	3	4	0	233	TRUE	233	233	13	3	0	249	249	1	0
2226	4	1	6	1	400	20	17	19	11	7	68	0	24	3	3	2	28	0	14	10	0	12	0	1	0	2	28	0	14	10	0	12	0	1	0	239	TRUE	239	239	10	2	0	251	251	1	0
2227	4	1	6	1	398	22	26	17	21	9	60	3	25	5	8	3	18	1	14	6	2	6	3	5	0	3	18	1	14	6	2	6	3	5	0	254	TRUE	254	254	15	0	0	269	269	1	0
2228	4	1	6	1	394	15	30	22	16	7	65	0	24	5	4	2	21	2	16	5	0	15	2	4	0	0	0	0	0	0	0	0	0	0	0	255	TRUE	255	255	8	1	0	264	264	1	0
2229	4	1	6	1	400	13	28	21	17	7	51	3	23	5	3	2	9	0	20	5	2	13	4	4	0	2	9	0	20	5	2	13	4	4	0	230	TRUE	230	230	9	3	0	242	242	1	0
2230	4	1	6	1	400	16	16	16	19	6	62	5	34	4	4	2	14	0	19	4	0	8	0	2	0	2	14	0	19	4	0	8	0	2	0	231	TRUE	231	231	17	2	0	250	250	1	0
2231	4	1	6	1	400	10	20	17	13	5	50	1	25	2	2	3	15	0	21	6	1	10	3	5	0	0	0	0	0	0	0	0	0	0	0	209	TRUE	209	209	11	0	0	220	220	1	0
2232	4	1	6	2	388	10	21	23	12	8	39	3	27	4	3	3	20	0	14	6	0	10	1	2	0	0	0	0	0	0	0	0	0	0	0	206	TRUE	206	206	8	3	1	217	217	1	1
2233	4	1	6	1	394	12	24	21	9	4	56	1	34	4	7	2	20	0	10	3	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	225	TRUE	225	225	3	1	0	229	229	1	0
2234	4	1	6	2	393	23	23	24	11	7	49	3	21	0	8	2	12	0	22	7	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	216	FALSE	240	216	12	0	0	252	228	0	0
2235	4	1	6	2	400	9	22	18	5	6	54	4	18	3	4	4	13	2	28	5	0	12	3	3	0	0	0	0	0	0	0	0	0	0	0	213	TRUE	213	213	14	2	2	229	229	1	0
2236	4	1	6	2	400	21	24	16	9	4	66	7	16	4	5	2	13	0	29	6	1	15	1	8	0	0	0	0	0	0	0	0	0	0	0	247	TRUE	247	247	16	0	137	263	263	1	0
2237	4	1	6	1	400	11	27	11	3	9	57	6	14	5	6	5	11	2	28	11	2	19	1	6	0	5	11	2	28	11	2	19	1	6	0	234	TRUE	234	234	14	2	0	250	250	1	0
2238	4	1	6	1	395	11	34	18	3	11	54	5	22	6	5	0	11	0	28	5	1	8	3	2	0	0	0	0	0	0	0	0	0	0	0	227	TRUE	227	227	22	2	0	251	251	1	0
2239	4	1	6	1	400	15	24	13	3	9	68	1	22	2	4	1	14	1	30	9	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	226	TRUE	226	226	11	1	0	238	238	1	0
