"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"EG"	"CREO"	"FCN_NACION"	"CONVERGENCIA"	"TODOS"	"PODEMOS"	"VIVA"	"LIBRE"	"UCN"	"PHG"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13812"	"4"	"13"	"15"	"2"	"376"	"0"	"107"	"9"	"113"	"0"	"3"	"0"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"9"	"6"	"0"	"253"	"253"	"1"	"0"
"13813"	"4"	"13"	"15"	"2"	"374"	"2"	"79"	"15"	"124"	"0"	"2"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"4"	"4"	"0"	"235"	"235"	"1"	"0"
"13814"	"4"	"13"	"15"	"2"	"274"	"0"	"59"	"9"	"76"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"2"	"3"	"0"	"153"	"153"	"1"	"0"
"13815"	"4"	"13"	"15"	"2"	"274"	"0"	"59"	"13"	"89"	"0"	"3"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"0"	"5"	"0"	"173"	"173"	"1"	"0"
"13816"	"4"	"13"	"15"	"2"	"376"	"4"	"30"	"86"	"50"	"1"	"5"	"2"	"0"	"2"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"19"	"17"	"0"	"220"	"220"	"1"	"0"
"13817"	"4"	"13"	"15"	"2"	"377"	"2"	"24"	"116"	"31"	"2"	"7"	"1"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"14"	"3"	"0"	"207"	"207"	"1"	"0"
"13818"	"4"	"13"	"15"	"2"	"375"	"11"	"25"	"89"	"67"	"0"	"4"	"3"	"3"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"15"	"13"	"0"	"236"	"236"	"1"	"0"
"13819"	"4"	"13"	"15"	"2"	"376"	"7"	"38"	"83"	"49"	"2"	"2"	"2"	"2"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"6"	"13"	"0"	"213"	"213"	"1"	"0"
"13820"	"4"	"13"	"15"	"2"	"376"	"6"	"17"	"72"	"51"	"0"	"1"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"6"	"4"	"0"	"163"	"163"	"1"	"0"
"13821"	"4"	"13"	"15"	"2"	"339"	"1"	"13"	"74"	"33"	"0"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"6"	"4"	"0"	"136"	"136"	"1"	"0"
"13822"	"4"	"13"	"15"	"2"	"339"	"2"	"14"	"72"	"55"	"0"	"3"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"2"	"1"	"0"	"156"	"156"	"1"	"0"
"13823"	"4"	"13"	"15"	"2"	"373"	"1"	"13"	"3"	"33"	"0"	"2"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"55"	"5"	"2"	"0"	"62"	"62"	"1"	"0"
"13824"	"4"	"13"	"15"	"2"	"372"	"0"	"9"	"3"	"9"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"23"	"2"	"1"	"0"	"26"	"26"	"1"	"0"
