"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MLP"	"EL_CACAO"	"PC"	"UNE"	"EG"	"TODOS"	"UNIONISTA"	"UCN"	"PHG"	"VALOR"	"CREO"	"VAMOS"	"SEMILLA"	"VICTORIA"	"UNIDOS"	"FCN_NACION"	"PODEMOS"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10726"	"4"	"10"	"13"	"2"	"378"	"10"	"7"	"2"	"44"	"3"	"13"	"6"	"93"	"0"	"0"	"0"	"13"	"1"	"22"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"12"	"11"	"0"	"247"	"247"	"1"	"0"
"10727"	"4"	"10"	"13"	"2"	"376"	"9"	"19"	"4"	"18"	"1"	"14"	"3"	"45"	"1"	"1"	"1"	"15"	"0"	"32"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"172"	"24"	"8"	"1"	"234"	"204"	"0"	"0"
"10728"	"4"	"10"	"13"	"2"	"289"	"5"	"5"	"0"	"38"	"1"	"11"	"0"	"63"	"0"	"0"	"0"	"11"	"0"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"19"	"13"	"0"	"180"	"180"	"1"	"0"
"10729"	"4"	"10"	"13"	"2"	"288"	"14"	"16"	"2"	"45"	"0"	"9"	"0"	"49"	"0"	"1"	"0"	"11"	"1"	"28"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"3"	"4"	"1"	"190"	"189"	"0"	"0"
"10730"	"4"	"10"	"13"	"2"	"380"	"5"	"6"	"5"	"82"	"2"	"38"	"6"	"14"	"4"	"3"	"2"	"14"	"2"	"24"	"4"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"13"	"9"	"0"	"242"	"242"	"1"	"0"
"10731"	"4"	"10"	"13"	"2"	"380"	"3"	"4"	"4"	"92"	"0"	"32"	"2"	"20"	"1"	"1"	"2"	"10"	"3"	"35"	"4"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"7"	"0"	"255"	"255"	"1"	"0"
"10732"	"4"	"10"	"13"	"2"	"376"	"7"	"6"	"4"	"68"	"1"	"36"	"1"	"14"	"2"	"1"	"1"	"19"	"6"	"23"	"1"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"15"	"8"	"0"	"228"	"228"	"1"	"0"
"10733"	"4"	"10"	"13"	"2"	"376"	"4"	"2"	"3"	"72"	"1"	"28"	"2"	"11"	"0"	"0"	"2"	"21"	"2"	"20"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"24"	"8"	"0"	"213"	"213"	"1"	"0"
"10734"	"4"	"10"	"13"	"2"	"207"	"4"	"4"	"0"	"40"	"2"	"22"	"0"	"12"	"1"	"0"	"0"	"14"	"0"	"14"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"6"	"6"	"0"	"137"	"137"	"1"	"0"
"10735"	"4"	"10"	"13"	"2"	"207"	"2"	"2"	"1"	"42"	"1"	"30"	"0"	"5"	"2"	"1"	"0"	"12"	"0"	"19"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"9"	"4"	"0"	"137"	"137"	"1"	"0"
"10736"	"4"	"10"	"13"	"2"	"600"	"4"	"15"	"2"	"29"	"5"	"21"	"4"	"43"	"1"	"6"	"0"	"28"	"2"	"9"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"9"	"2"	"0"	"191"	"191"	"1"	"0"
"10737"	"4"	"10"	"13"	"2"	"600"	"4"	"13"	"3"	"37"	"3"	"23"	"3"	"46"	"2"	"1"	"0"	"38"	"2"	"11"	"1"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"8"	"7"	"0"	"221"	"221"	"1"	"0"
"10738"	"4"	"10"	"13"	"2"	"319"	"1"	"6"	"1"	"23"	"0"	"14"	"4"	"17"	"2"	"2"	"0"	"27"	"1"	"5"	"3"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"7"	"3"	"0"	"125"	"125"	"1"	"0"
"10739"	"4"	"10"	"13"	"2"	"319"	"4"	"3"	"1"	"20"	"0"	"12"	"1"	"19"	"0"	"0"	"1"	"13"	"0"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"81"	"10"	"0"	"0"	"91"	"91"	"1"	"0"
