"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"VAMOS"	"TODOS"	"UNE"	"FUERZA"	"EG"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13978"	"4"	"13"	"19"	"2"	"400"	"11"	"235"	"6"	"7"	"29"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"11"	"13"	"0"	"322"	"322"	"1"	"0"
"13979"	"4"	"13"	"19"	"2"	"400"	"13"	"180"	"4"	"10"	"51"	"4"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"16"	"8"	"0"	"296"	"296"	"1"	"0"
"13980"	"4"	"13"	"19"	"2"	"400"	"7"	"97"	"7"	"16"	"158"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"12"	"8"	"0"	"313"	"313"	"1"	"0"
"13981"	"4"	"13"	"19"	"2"	"400"	"13"	"126"	"3"	"12"	"83"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"10"	"8"	"0"	"259"	"259"	"1"	"0"
"13982"	"4"	"13"	"19"	"2"	"400"	"26"	"132"	"6"	"12"	"79"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"26"	"14"	"0"	"306"	"306"	"1"	"0"
"13983"	"4"	"13"	"19"	"2"	"400"	"13"	"80"	"7"	"9"	"155"	"3"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"10"	"8"	"0"	"292"	"292"	"1"	"0"
"13984"	"4"	"13"	"19"	"2"	"400"	"31"	"156"	"6"	"19"	"43"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"13"	"11"	"0"	"285"	"285"	"1"	"0"
"13985"	"4"	"13"	"19"	"2"	"400"	"16"	"130"	"6"	"13"	"60"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"14"	"8"	"0"	"251"	"251"	"1"	"0"
"13986"	"4"	"13"	"19"	"2"	"259"	"16"	"82"	"2"	"1"	"56"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"4"	"6"	"0"	"169"	"169"	"1"	"0"
"13987"	"4"	"13"	"19"	"2"	"262"	"16"	"68"	"5"	"10"	"59"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"3"	"4"	"0"	"169"	"169"	"1"	"0"
