"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"FUERZA"	"PHG"	"SEMILLA"	"CONVERGENCIA"	"CREO"	"VIVA"	"UNIONISTA"	"BIEN"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17666"	"4"	"17"	"4"	"2"	"239"	"11"	"58"	"2"	"6"	"2"	"0"	"24"	"5"	"0"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"0"	"0"	"0"	"172"	"172"	"1"	"0"
"17667"	"4"	"17"	"4"	"2"	"242"	"9"	"44"	"0"	"5"	"2"	"2"	"24"	"5"	"0"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"1"	"5"	"0"	"162"	"162"	"1"	"0"
"17668"	"4"	"17"	"4"	"2"	"380"	"100"	"17"	"4"	"2"	"2"	"2"	"18"	"8"	"1"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"16"	"6"	"0"	"208"	"208"	"1"	"0"
"17669"	"4"	"17"	"4"	"2"	"376"	"83"	"21"	"10"	"3"	"4"	"1"	"12"	"15"	"1"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"12"	"7"	"0"	"199"	"199"	"1"	"0"
"17670"	"4"	"17"	"4"	"2"	"380"	"128"	"24"	"2"	"5"	"1"	"1"	"8"	"21"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"5"	"5"	"0"	"235"	"235"	"1"	"0"
"17671"	"4"	"17"	"4"	"2"	"380"	"132"	"21"	"1"	"8"	"2"	"2"	"11"	"20"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"3"	"6"	"0"	"231"	"231"	"1"	"0"
"17672"	"4"	"17"	"4"	"2"	"380"	"111"	"19"	"6"	"4"	"1"	"0"	"7"	"16"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"10"	"7"	"0"	"205"	"205"	"1"	"0"
"17673"	"4"	"17"	"4"	"2"	"379"	"107"	"15"	"6"	"5"	"1"	"2"	"12"	"10"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"15"	"7"	"0"	"205"	"205"	"1"	"0"
"17674"	"4"	"17"	"4"	"2"	"376"	"108"	"22"	"4"	"2"	"2"	"0"	"18"	"12"	"0"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"13"	"5"	"0"	"226"	"226"	"1"	"0"
"17675"	"4"	"17"	"4"	"2"	"379"	"86"	"22"	"1"	"6"	"0"	"0"	"12"	"8"	"0"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"9"	"6"	"0"	"178"	"178"	"1"	"0"
"17676"	"4"	"17"	"4"	"2"	"380"	"97"	"21"	"6"	"3"	"1"	"0"	"8"	"13"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"8"	"6"	"0"	"187"	"187"	"1"	"0"
"17677"	"4"	"17"	"4"	"2"	"380"	"121"	"16"	"3"	"0"	"1"	"2"	"8"	"15"	"0"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"8"	"7"	"0"	"207"	"207"	"1"	"0"
"17678"	"4"	"17"	"4"	"2"	"194"	"64"	"17"	"7"	"2"	"1"	"1"	"3"	"13"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"2"	"2"	"0"	"126"	"126"	"1"	"0"
"17679"	"4"	"17"	"4"	"2"	"193"	"49"	"15"	"0"	"2"	"0"	"0"	"4"	"2"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"84"	"84"	"4"	"2"	"0"	"90"	"90"	"1"	"0"
"17680"	"4"	"17"	"4"	"2"	"380"	"6"	"18"	"0"	"20"	"1"	"42"	"20"	"1"	"6"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"137"	"137"	"9"	"8"	"0"	"154"	"154"	"1"	"0"
