"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"CONVERGENCIA"	"PHG"	"VIVA"	"PPT"	"SEMILLA"	"BIEN"	"PC"	"MLP"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8817"	"4"	"8"	"4"	"2"	"380"	"1"	"162"	"9"	"1"	"55"	"7"	"0"	"8"	"31"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"11"	"13"	"0"	"309"	"309"	"1"	"0"
"8818"	"4"	"8"	"4"	"2"	"374"	"2"	"165"	"16"	"0"	"41"	"13"	"1"	"8"	"40"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"17"	"11"	"0"	"319"	"319"	"1"	"0"
"8819"	"4"	"8"	"4"	"2"	"380"	"0"	"121"	"22"	"3"	"77"	"11"	"2"	"7"	"46"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"11"	"6"	"0"	"312"	"312"	"1"	"0"
"8820"	"4"	"8"	"4"	"2"	"375"	"1"	"136"	"11"	"0"	"51"	"9"	"1"	"6"	"58"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"4"	"9"	"0"	"289"	"289"	"1"	"0"
"8821"	"4"	"8"	"4"	"2"	"373"	"0"	"136"	"12"	"1"	"64"	"11"	"0"	"5"	"52"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"13"	"3"	"0"	"302"	"302"	"1"	"0"
"8822"	"4"	"8"	"4"	"2"	"222"	"1"	"78"	"9"	"0"	"35"	"4"	"0"	"9"	"38"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"0"	"3"	"0"	"182"	"182"	"1"	"0"
"8823"	"4"	"8"	"4"	"2"	"224"	"2"	"75"	"5"	"1"	"38"	"11"	"1"	"4"	"35"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"3"	"1"	"0"	"184"	"184"	"1"	"0"
"8824"	"4"	"8"	"4"	"2"	"400"	"2"	"44"	"79"	"6"	"36"	"12"	"8"	"8"	"40"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"4"	"0"	"272"	"272"	"1"	"0"
"8825"	"4"	"8"	"4"	"2"	"400"	"3"	"56"	"57"	"11"	"29"	"10"	"10"	"3"	"57"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"25"	"17"	"0"	"300"	"300"	"1"	"0"
"8826"	"4"	"8"	"4"	"2"	"398"	"1"	"65"	"72"	"12"	"26"	"21"	"9"	"5"	"55"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"17"	"10"	"0"	"310"	"310"	"1"	"1"
"8827"	"4"	"8"	"4"	"2"	"397"	"2"	"60"	"69"	"6"	"28"	"13"	"10"	"7"	"56"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"12"	"13"	"0"	"295"	"295"	"1"	"0"
"8828"	"4"	"8"	"4"	"2"	"371"	"3"	"40"	"67"	"2"	"24"	"17"	"10"	"11"	"43"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"9"	"7"	"0"	"246"	"246"	"1"	"0"
"8829"	"4"	"8"	"4"	"2"	"233"	"0"	"34"	"37"	"6"	"20"	"7"	"4"	"2"	"37"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"5"	"3"	"0"	"159"	"159"	"1"	"0"
"8830"	"4"	"8"	"4"	"2"	"232"	"2"	"33"	"33"	"7"	"25"	"8"	"7"	"3"	"34"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"1"	"5"	"0"	"162"	"162"	"1"	"0"
"8831"	"4"	"8"	"4"	"2"	"584"	"3"	"36"	"15"	"3"	"59"	"5"	"1"	"17"	"23"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"10"	"9"	"0"	"188"	"188"	"1"	"0"
