"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"COCIMI"	"UNE"	"SEMILLA"	"PAN"	"PHG"	"VALOR"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20564"	"4"	"22"	"5"	"2"	"400"	"1"	"109"	"63"	"28"	"4"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"9"	"2"	"0"	"227"	"227"	"1"	"0"
"20565"	"4"	"22"	"5"	"2"	"400"	"5"	"103"	"57"	"29"	"2"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"16"	"4"	"0"	"227"	"227"	"1"	"0"
"20566"	"4"	"22"	"5"	"2"	"400"	"6"	"107"	"75"	"23"	"3"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"15"	"5"	"0"	"247"	"247"	"1"	"0"
"20567"	"4"	"22"	"5"	"2"	"400"	"7"	"73"	"61"	"25"	"2"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"22"	"7"	"0"	"214"	"214"	"1"	"0"
"20568"	"4"	"22"	"5"	"2"	"309"	"2"	"81"	"42"	"34"	"1"	"17"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"3"	"3"	"0"	"186"	"186"	"1"	"0"
"20569"	"4"	"22"	"5"	"2"	"308"	"1"	"93"	"37"	"50"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"2"	"0"	"0"	"196"	"196"	"1"	"0"
"20570"	"4"	"22"	"5"	"2"	"400"	"13"	"83"	"97"	"7"	"2"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"21"	"8"	"0"	"253"	"253"	"1"	"0"
"20571"	"4"	"22"	"5"	"2"	"400"	"9"	"83"	"99"	"4"	"2"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"18"	"6"	"0"	"233"	"233"	"1"	"0"
"20572"	"4"	"22"	"5"	"2"	"400"	"10"	"68"	"113"	"8"	"3"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"9"	"3"	"0"	"232"	"232"	"1"	"1"
"20573"	"4"	"22"	"5"	"2"	"400"	"4"	"81"	"112"	"6"	"1"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"11"	"6"	"0"	"233"	"233"	"1"	"0"
