"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"FUERZA"	"UNE"	"TODOS"	"PC"	"MLP"	"PAN"	"VAMOS"	"PHG"	"UNIDOS"	"EG"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14994"	"4"	"14"	"9"	"2"	"400"	"17"	"2"	"39"	"69"	"22"	"4"	"6"	"1"	"29"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"7"	"1"	"0"	"216"	"216"	"1"	"0"
"14995"	"4"	"14"	"9"	"2"	"400"	"29"	"3"	"47"	"57"	"22"	"5"	"9"	"9"	"28"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"9"	"4"	"0"	"236"	"236"	"1"	"0"
"14996"	"4"	"14"	"9"	"2"	"400"	"18"	"1"	"46"	"77"	"30"	"4"	"5"	"7"	"25"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"6"	"8"	"0"	"239"	"239"	"1"	"0"
"14997"	"4"	"14"	"9"	"2"	"390"	"31"	"4"	"47"	"80"	"18"	"4"	"5"	"3"	"24"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"2"	"0"	"242"	"242"	"1"	"0"
"14998"	"4"	"14"	"9"	"2"	"235"	"19"	"0"	"30"	"54"	"21"	"1"	"8"	"2"	"16"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"4"	"4"	"0"	"166"	"166"	"1"	"0"
"14999"	"4"	"14"	"9"	"2"	"235"	"16"	"1"	"24"	"54"	"14"	"2"	"5"	"5"	"23"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"4"	"2"	"0"	"155"	"155"	"1"	"0"
"15000"	"4"	"14"	"9"	"2"	"380"	"42"	"2"	"10"	"50"	"66"	"5"	"2"	"3"	"28"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"21"	"15"	"0"	"254"	"254"	"1"	"0"
"15001"	"4"	"14"	"9"	"2"	"380"	"48"	"6"	"26"	"39"	"63"	"4"	"0"	"5"	"20"	"2"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"20"	"23"	"0"	"293"	"293"	"1"	"0"
"15002"	"4"	"14"	"9"	"2"	"380"	"55"	"5"	"12"	"51"	"66"	"4"	"1"	"5"	"30"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"22"	"17"	"0"	"271"	"271"	"1"	"0"
"15003"	"4"	"14"	"9"	"2"	"380"	"29"	"0"	"8"	"56"	"79"	"1"	"2"	"4"	"64"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"22"	"16"	"4"	"288"	"288"	"1"	"0"
"15004"	"4"	"14"	"9"	"2"	"380"	"27"	"1"	"11"	"32"	"83"	"4"	"1"	"0"	"58"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"26"	"17"	"0"	"271"	"271"	"1"	"0"
"15005"	"4"	"14"	"9"	"2"	"379"	"34"	"1"	"8"	"35"	"72"	"3"	"2"	"2"	"33"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"9"	"8"	"0"	"224"	"224"	"1"	"0"
"15006"	"4"	"14"	"9"	"2"	"379"	"33"	"1"	"9"	"30"	"67"	"5"	"2"	"2"	"37"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"19"	"5"	"0"	"220"	"220"	"1"	"0"
"15007"	"4"	"14"	"9"	"2"	"368"	"24"	"1"	"4"	"43"	"54"	"7"	"1"	"0"	"39"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"18"	"15"	"0"	"215"	"215"	"1"	"0"
"15008"	"4"	"14"	"9"	"2"	"367"	"32"	"1"	"8"	"47"	"64"	"4"	"0"	"1"	"38"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"10"	"6"	"0"	"223"	"223"	"1"	"0"
"15009"	"4"	"14"	"9"	"2"	"380"	"27"	"8"	"33"	"81"	"15"	"3"	"1"	"4"	"61"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"34"	"0"	"0"	"269"	"269"	"1"	"0"
"15010"	"4"	"14"	"9"	"2"	"380"	"18"	"9"	"27"	"91"	"13"	"5"	"1"	"3"	"89"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"18"	"6"	"0"	"281"	"281"	"1"	"0"
"15011"	"4"	"14"	"9"	"2"	"380"	"10"	"1"	"12"	"102"	"26"	"0"	"3"	"2"	"98"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"20"	"10"	"0"	"286"	"286"	"1"	"0"
"15012"	"4"	"14"	"9"	"2"	"380"	"13"	"5"	"34"	"84"	"30"	"3"	"6"	"2"	"59"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"25"	"2"	"0"	"265"	"265"	"1"	"0"
"15013"	"4"	"14"	"9"	"2"	"380"	"19"	"10"	"39"	"77"	"29"	"2"	"3"	"5"	"63"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"19"	"14"	"0"	"283"	"283"	"1"	"0"
"15014"	"4"	"14"	"9"	"2"	"380"	"12"	"7"	"14"	"90"	"27"	"2"	"2"	"5"	"85"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"35"	"0"	"0"	"280"	"280"	"1"	"0"
"15015"	"4"	"14"	"9"	"2"	"380"	"15"	"3"	"23"	"107"	"13"	"2"	"3"	"5"	"60"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"9"	"7"	"16"	"252"	"252"	"1"	"0"
"15016"	"4"	"14"	"9"	"2"	"377"	"20"	"5"	"22"	"72"	"13"	"0"	"2"	"5"	"72"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"19"	"12"	"0"	"247"	"247"	"1"	"0"
"15017"	"4"	"14"	"9"	"2"	"380"	"15"	"5"	"15"	"83"	"7"	"4"	"1"	"1"	"67"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"16"	"6"	"0"	"227"	"227"	"1"	"0"
"15018"	"4"	"14"	"9"	"2"	"380"	"14"	"5"	"24"	"84"	"15"	"2"	"3"	"1"	"65"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"17"	"15"	"0"	"249"	"247"	"0"	"0"
"15019"	"4"	"14"	"9"	"2"	"380"	"7"	"4"	"21"	"60"	"11"	"2"	"1"	"3"	"57"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"5"	"2"	"104"	"176"	"176"	"1"	"0"
"15020"	"4"	"14"	"9"	"1"	"380"	"13"	"1"	"5"	"55"	"19"	"0"	"3"	"0"	"60"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"12"	"7"	"0"	"181"	"181"	"1"	"0"
"15021"	"4"	"14"	"9"	"2"	"522"	"15"	"0"	"26"	"46"	"14"	"4"	"15"	"0"	"26"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"23"	"14"	"335"	"187"	"187"	"1"	"0"
"15022"	"4"	"14"	"9"	"2"	"521"	"8"	"1"	"14"	"37"	"8"	"5"	"7"	"0"	"11"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"101"	"6"	"9"	"0"	"116"	"116"	"1"	"0"
