"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"WINAQ"	"VAMOS"	"UNIONISTA"	"PAN"	"CONVERGENCIA"	"UNIDOS"	"VICTORIA"	"VALOR"	"VIVA"	"FUERZA"	"UCN"	"EG"	"PHG"	"AVANZA"	"PC"	"CREO"	"MLP"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4674"	"3"	"2"	"1"	"2"	"400"	"5"	"20"	"15"	"19"	"23"	"2"	"4"	"3"	"3"	"23"	"9"	"3"	"1"	"9"	"18"	"3"	"14"	"6"	"9"	"1"	"7"	"64"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"34"	"3"	"0"	"303"	"303"	"1"	"0"
"4675"	"3"	"2"	"1"	"2"	"400"	"12"	"15"	"15"	"25"	"21"	"5"	"4"	"1"	"2"	"24"	"9"	"2"	"3"	"5"	"10"	"3"	"13"	"6"	"11"	"1"	"7"	"50"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"34"	"9"	"0"	"290"	"290"	"1"	"0"
"4676"	"3"	"2"	"1"	"2"	"401"	"10"	"13"	"12"	"34"	"19"	"5"	"7"	"1"	"5"	"30"	"14"	"4"	"0"	"2"	"9"	"1"	"10"	"16"	"11"	"2"	"6"	"50"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"37"	"9"	"0"	"310"	"310"	"1"	"0"
"4677"	"3"	"2"	"1"	"2"	"400"	"5"	"21"	"11"	"22"	"24"	"3"	"3"	"2"	"5"	"23"	"16"	"3"	"1"	"4"	"11"	"2"	"8"	"8"	"7"	"1"	"12"	"57"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"37"	"2"	"0"	"290"	"290"	"1"	"0"
"4678"	"3"	"2"	"1"	"2"	"401"	"9"	"20"	"25"	"36"	"25"	"7"	"3"	"1"	"7"	"17"	"10"	"2"	"0"	"10"	"13"	"2"	"10"	"14"	"10"	"5"	"14"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"36"	"1"	"0"	"324"	"324"	"1"	"0"
"4679"	"3"	"2"	"1"	"2"	"400"	"8"	"18"	"14"	"27"	"26"	"4"	"0"	"1"	"2"	"15"	"11"	"9"	"1"	"7"	"13"	"1"	"13"	"7"	"6"	"1"	"7"	"44"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"44"	"5"	"7"	"287"	"287"	"1"	"0"
"4680"	"3"	"2"	"1"	"2"	"403"	"4"	"20"	"15"	"24"	"22"	"6"	"2"	"5"	"4"	"21"	"10"	"4"	"0"	"4"	"9"	"3"	"12"	"11"	"10"	"1"	"10"	"61"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"39"	"4"	"0"	"302"	"302"	"1"	"0"
"4681"	"3"	"2"	"1"	"2"	"400"	"6"	"11"	"17"	"31"	"26"	"8"	"7"	"0"	"6"	"14"	"8"	"8"	"1"	"11"	"10"	"0"	"7"	"12"	"6"	"2"	"8"	"64"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"35"	"2"	"0"	"306"	"306"	"1"	"0"
"4682"	"3"	"2"	"1"	"2"	"400"	"12"	"15"	"14"	"38"	"27"	"10"	"3"	"1"	"7"	"26"	"12"	"3"	"0"	"12"	"11"	"0"	"14"	"13"	"6"	"4"	"7"	"37"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"36"	"5"	"0"	"317"	"317"	"1"	"0"
"4683"	"3"	"2"	"1"	"2"	"400"	"9"	"19"	"15"	"37"	"24"	"6"	"2"	"2"	"3"	"14"	"10"	"6"	"2"	"7"	"14"	"1"	"7"	"11"	"8"	"2"	"3"	"48"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"62"	"3"	"0"	"316"	"316"	"1"	"0"
"4684"	"3"	"2"	"1"	"2"	"398"	"9"	"8"	"8"	"37"	"30"	"8"	"2"	"0"	"3"	"21"	"17"	"6"	"2"	"10"	"12"	"2"	"14"	"20"	"9"	"6"	"9"	"39"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"41"	"3"	"0"	"317"	"317"	"1"	"0"
"4685"	"3"	"2"	"1"	"2"	"400"	"9"	"11"	"10"	"38"	"24"	"9"	"3"	"3"	"3"	"19"	"12"	"2"	"1"	"4"	"14"	"2"	"10"	"11"	"8"	"2"	"13"	"44"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"27"	"8"	"0"	"289"	"289"	"1"	"0"
"4686"	"3"	"2"	"1"	"2"	"397"	"8"	"19"	"12"	"30"	"23"	"10"	"3"	"2"	"2"	"26"	"15"	"1"	"2"	"5"	"7"	"2"	"7"	"14"	"7"	"1"	"13"	"41"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"43"	"3"	"0"	"301"	"301"	"1"	"0"
