"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"CREO"	"TODOS"	"VICTORIA"	"UNE"	"WINAQ"	"PC"	"LIBRE"	"URNG_MAIZ"	"PODEMOS"	"PPT"	"CONVERGENCIA"	"FUERZA"	"MLP"	"VIVA"	"UNIONISTA"	"VALOR"	"SEMILLA"	"FCN_NACION"	"UNIDOS"	"BIEN"	"PHG"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6332"	"4"	"5"	"1"	"2"	"0"	"11"	"9"	"25"	"10"	"63"	"41"	"4"	"2"	"9"	"6"	"2"	"1"	"0"	"1"	"3"	"5"	"3"	"2"	"7"	"18"	"1"	"18"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"16"	"3"	"0"	"270"	"270"	"1"	"0"
"6333"	"4"	"5"	"1"	"2"	"0"	"23"	"12"	"22"	"10"	"65"	"27"	"3"	"0"	"6"	"9"	"0"	"0"	"2"	"2"	"2"	"6"	"1"	"8"	"10"	"11"	"0"	"27"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"10"	"2"	"0"	"266"	"266"	"1"	"0"
"6334"	"4"	"5"	"1"	"2"	"0"	"15"	"4"	"19"	"12"	"66"	"44"	"2"	"5"	"4"	"6"	"3"	"0"	"1"	"5"	"2"	"1"	"2"	"1"	"6"	"12"	"0"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"7"	"3"	"0"	"241"	"241"	"1"	"0"
"6335"	"4"	"5"	"1"	"2"	"400"	"12"	"5"	"29"	"27"	"62"	"28"	"1"	"1"	"11"	"12"	"0"	"0"	"1"	"5"	"2"	"7"	"4"	"1"	"4"	"9"	"0"	"20"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"6"	"1"	"0"	"257"	"257"	"1"	"0"
"6336"	"4"	"5"	"1"	"2"	"0"	"8"	"12"	"10"	"14"	"57"	"44"	"1"	"2"	"9"	"8"	"3"	"0"	"1"	"9"	"2"	"9"	"0"	"1"	"2"	"9"	"0"	"20"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"16"	"2"	"0"	"249"	"249"	"1"	"0"
"6337"	"4"	"5"	"1"	"2"	"0"	"16"	"7"	"25"	"19"	"56"	"42"	"0"	"2"	"9"	"9"	"2"	"0"	"0"	"8"	"4"	"2"	"2"	"1"	"3"	"9"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"10"	"12"	"0"	"251"	"251"	"1"	"2"
"6338"	"4"	"5"	"1"	"2"	"0"	"6"	"2"	"21"	"15"	"64"	"40"	"4"	"3"	"6"	"8"	"3"	"1"	"0"	"6"	"4"	"8"	"1"	"0"	"4"	"18"	"0"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"7"	"1"	"0"	"240"	"240"	"1"	"0"
"6339"	"4"	"5"	"1"	"2"	"400"	"11"	"9"	"23"	"18"	"74"	"40"	"1"	"3"	"7"	"12"	"2"	"0"	"0"	"6"	"2"	"4"	"1"	"4"	"2"	"4"	"0"	"20"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"11"	"2"	"13"	"266"	"266"	"1"	"0"
"6340"	"4"	"5"	"1"	"2"	"0"	"13"	"7"	"19"	"9"	"63"	"42"	"1"	"2"	"9"	"6"	"1"	"0"	"1"	"6"	"2"	"7"	"1"	"2"	"7"	"20"	"1"	"18"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"10"	"3"	"0"	"262"	"262"	"1"	"0"
"6341"	"4"	"5"	"1"	"2"	"400"	"21"	"10"	"22"	"11"	"69"	"39"	"0"	"1"	"4"	"7"	"2"	"0"	"2"	"5"	"3"	"3"	"0"	"1"	"6"	"9"	"0"	"29"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"11"	"1"	"0"	"264"	"264"	"1"	"1"
