"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"UCN"	"VALOR"	"PHG"	"VAMOS"	"TODOS"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15459"	"4"	"14"	"16"	"2"	"231"	"49"	"42"	"0"	"13"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"3"	"5"	"0"	"115"	"115"	"1"	"0"
"15460"	"4"	"14"	"16"	"2"	"380"	"149"	"34"	"4"	"40"	"4"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"13"	"6"	"0"	"259"	"259"	"1"	"0"
"15461"	"4"	"14"	"16"	"2"	"380"	"113"	"37"	"8"	"59"	"5"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"5"	"0"	"249"	"249"	"1"	"0"
"15462"	"4"	"14"	"16"	"2"	"380"	"118"	"34"	"7"	"68"	"7"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"11"	"7"	"0"	"273"	"273"	"1"	"0"
"15463"	"4"	"14"	"16"	"2"	"380"	"149"	"46"	"9"	"49"	"9"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"5"	"5"	"0"	"280"	"280"	"1"	"0"
"15464"	"4"	"14"	"16"	"2"	"380"	"115"	"22"	"9"	"65"	"5"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"8"	"0"	"248"	"248"	"1"	"0"
"15465"	"4"	"14"	"16"	"2"	"380"	"108"	"34"	"3"	"56"	"9"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"13"	"10"	"0"	"247"	"247"	"1"	"0"
"15466"	"4"	"14"	"16"	"2"	"229"	"70"	"18"	"1"	"33"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"8"	"4"	"0"	"141"	"141"	"1"	"0"
"15467"	"4"	"14"	"16"	"2"	"228"	"71"	"13"	"4"	"30"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"1"	"0"	"0"	"129"	"129"	"1"	"0"
"15468"	"4"	"14"	"16"	"2"	"380"	"69"	"59"	"10"	"33"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"7"	"13"	"0"	"201"	"201"	"1"	"0"
