"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MLP"	"UNIONISTA"	"UCN"	"CREO"	"VAMOS"	"UNE"	"PC"	"FCN_NACION"	"SEMILLA"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7519"	"4"	"6"	"6"	"2"	"400"	"0"	"22"	"51"	"7"	"17"	"14"	"85"	"18"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"15"	"7"	"0"	"258"	"258"	"1"	"0"
"7520"	"4"	"6"	"6"	"2"	"400"	"1"	"36"	"31"	"7"	"26"	"15"	"77"	"18"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"17"	"4"	"0"	"256"	"256"	"1"	"0"
"7521"	"4"	"6"	"6"	"2"	"278"	"0"	"34"	"31"	"4"	"16"	"7"	"76"	"14"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"4"	"2"	"0"	"199"	"199"	"1"	"0"
"7522"	"4"	"6"	"6"	"2"	"278"	"0"	"26"	"40"	"10"	"13"	"18"	"57"	"7"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"2"	"1"	"0"	"186"	"186"	"1"	"0"
"7523"	"4"	"6"	"6"	"2"	"380"	"1"	"70"	"6"	"6"	"19"	"27"	"32"	"55"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"37"	"13"	"0"	"270"	"270"	"1"	"0"
"7524"	"4"	"6"	"6"	"2"	"380"	"0"	"63"	"8"	"4"	"20"	"23"	"28"	"30"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"33"	"10"	"0"	"223"	"223"	"1"	"0"
"7525"	"4"	"6"	"6"	"2"	"380"	"1"	"70"	"3"	"8"	"18"	"25"	"39"	"47"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"39"	"3"	"0"	"262"	"262"	"1"	"0"
"7526"	"4"	"6"	"6"	"2"	"233"	"0"	"41"	"5"	"7"	"14"	"15"	"27"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"9"	"4"	"0"	"140"	"140"	"1"	"0"
"7527"	"4"	"6"	"6"	"2"	"232"	"1"	"42"	"5"	"4"	"13"	"11"	"28"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"10"	"0"	"0"	"136"	"136"	"1"	"0"
"7528"	"4"	"6"	"6"	"2"	"377"	"3"	"64"	"82"	"8"	"24"	"13"	"32"	"12"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"30"	"8"	"0"	"283"	"283"	"1"	"0"
"7529"	"4"	"6"	"6"	"2"	"380"	"4"	"74"	"78"	"4"	"18"	"8"	"31"	"9"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"34"	"14"	"0"	"283"	"283"	"1"	"0"
"7530"	"4"	"6"	"6"	"2"	"380"	"2"	"69"	"97"	"8"	"20"	"14"	"30"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"33"	"6"	"0"	"292"	"292"	"1"	"0"
"7531"	"4"	"6"	"6"	"2"	"380"	"5"	"65"	"89"	"11"	"16"	"13"	"26"	"20"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"39"	"9"	"0"	"297"	"297"	"1"	"0"
"7532"	"4"	"6"	"6"	"2"	"383"	"5"	"61"	"99"	"7"	"11"	"12"	"19"	"16"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"34"	"13"	"0"	"279"	"279"	"1"	"0"
"7533"	"4"	"6"	"6"	"2"	"380"	"0"	"62"	"93"	"4"	"15"	"7"	"25"	"13"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"18"	"2"	"0"	"246"	"246"	"1"	"0"
"7534"	"4"	"6"	"6"	"2"	"380"	"4"	"54"	"65"	"11"	"22"	"12"	"36"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"29"	"5"	"1"	"256"	"256"	"1"	"0"
"7535"	"4"	"6"	"6"	"2"	"381"	"2"	"57"	"78"	"13"	"13"	"14"	"30"	"16"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"24"	"11"	"0"	"267"	"267"	"1"	"0"
"7536"	"4"	"6"	"6"	"2"	"380"	"1"	"73"	"76"	"2"	"12"	"8"	"16"	"18"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"29"	"9"	"0"	"250"	"250"	"1"	"0"
"7537"	"4"	"6"	"6"	"2"	"258"	"1"	"76"	"72"	"2"	"13"	"2"	"24"	"11"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"5"	"0"	"0"	"210"	"210"	"1"	"0"
"7538"	"4"	"6"	"6"	"2"	"257"	"3"	"59"	"60"	"7"	"8"	"7"	"22"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"11"	"1"	"0"	"190"	"190"	"1"	"0"
"7539"	"4"	"6"	"6"	"2"	"380"	"1"	"49"	"9"	"20"	"33"	"11"	"40"	"37"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"21"	"7"	"0"	"248"	"248"	"1"	"0"
"7540"	"4"	"6"	"6"	"2"	"380"	"0"	"43"	"23"	"24"	"32"	"19"	"60"	"37"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"21"	"7"	"0"	"279"	"279"	"1"	"0"
"7541"	"4"	"6"	"6"	"2"	"380"	"0"	"31"	"21"	"22"	"34"	"16"	"60"	"19"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"1"	"4"	"16"	"221"	"221"	"1"	"0"
"7542"	"4"	"6"	"6"	"2"	"353"	"0"	"29"	"11"	"11"	"28"	"13"	"43"	"27"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"23"	"0"	"0"	"203"	"203"	"1"	"0"
"7543"	"4"	"6"	"6"	"2"	"353"	"1"	"46"	"7"	"15"	"38"	"7"	"49"	"23"	"7"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"13"	"2"	"0"	"221"	"221"	"1"	"0"
"7544"	"4"	"6"	"6"	"2"	"600"	"3"	"31"	"19"	"5"	"13"	"10"	"61"	"18"	"5"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"14"	"7"	"0"	"197"	"197"	"1"	"0"
"7545"	"4"	"6"	"6"	"2"	"375"	"0"	"19"	"15"	"6"	"12"	"7"	"24"	"8"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"7"	"5"	"0"	"111"	"111"	"1"	"0"
"7546"	"4"	"6"	"6"	"2"	"375"	"0"	"8"	"13"	"8"	"7"	"4"	"18"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"5"	"4"	"0"	"73"	"73"	"1"	"0"
