"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"FUERZA"	"VAMOS"	"VALOR"	"PPT"	"PC"	"TODOS"	"PHG"	"FDA"	"VIVA"	"URNG_MAIZ"	"PODEMOS"	"PAN"	"UNIONISTA"	"SEMILLA"	"BIEN"	"UCN"	"FCN_NACION"	"LIBRE"	"UNE"	"AVANZA"	"UNIDOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9063"	"4"	"9"	"1"	"2"	"400"	"14"	"15"	"25"	"20"	"29"	"6"	"13"	"1"	"43"	"5"	"14"	"6"	"10"	"10"	"0"	"15"	"7"	"14"	"5"	"7"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"18"	"3"	"0"	"284"	"284"	"1"	"0"
"9064"	"4"	"9"	"1"	"2"	"400"	"21"	"21"	"32"	"13"	"29"	"7"	"12"	"3"	"59"	"2"	"11"	"2"	"3"	"15"	"1"	"14"	"7"	"11"	"2"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"17"	"5"	"0"	"293"	"293"	"1"	"0"
"9065"	"4"	"9"	"1"	"2"	"401"	"18"	"16"	"32"	"10"	"33"	"1"	"6"	"4"	"53"	"5"	"17"	"3"	"10"	"9"	"0"	"9"	"7"	"10"	"2"	"4"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"15"	"3"	"0"	"273"	"273"	"1"	"0"
"9066"	"4"	"9"	"1"	"2"	"400"	"22"	"12"	"37"	"12"	"26"	"2"	"6"	"2"	"63"	"3"	"17"	"3"	"6"	"11"	"2"	"11"	"7"	"15"	"2"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"15"	"4"	"0"	"287"	"287"	"1"	"0"
"9067"	"4"	"9"	"1"	"2"	"402"	"25"	"19"	"28"	"21"	"17"	"0"	"8"	"0"	"65"	"7"	"14"	"6"	"7"	"8"	"0"	"12"	"6"	"12"	"2"	"10"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"12"	"1"	"0"	"286"	"286"	"1"	"0"
"9068"	"4"	"9"	"1"	"2"	"400"	"20"	"17"	"25"	"10"	"21"	"3"	"12"	"0"	"52"	"7"	"13"	"7"	"9"	"16"	"1"	"20"	"8"	"13"	"4"	"5"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"14"	"3"	"0"	"287"	"287"	"1"	"0"
"9069"	"4"	"9"	"1"	"2"	"400"	"25"	"28"	"26"	"6"	"26"	"1"	"10"	"1"	"62"	"3"	"12"	"3"	"7"	"8"	"0"	"11"	"7"	"21"	"5"	"2"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"17"	"0"	"0"	"287"	"287"	"1"	"0"
"9070"	"4"	"9"	"1"	"2"	"400"	"17"	"19"	"42"	"12"	"21"	"2"	"10"	"2"	"56"	"2"	"9"	"2"	"12"	"10"	"4"	"15"	"7"	"15"	"0"	"4"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"1"	"0"	"286"	"286"	"1"	"0"
"9071"	"4"	"9"	"1"	"2"	"400"	"34"	"15"	"29"	"18"	"24"	"4"	"11"	"0"	"66"	"8"	"23"	"2"	"10"	"14"	"1"	"14"	"5"	"8"	"4"	"4"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"12"	"2"	"0"	"313"	"313"	"1"	"0"
"9072"	"4"	"9"	"1"	"2"	"400"	"24"	"19"	"28"	"17"	"25"	"1"	"12"	"6"	"41"	"5"	"17"	"7"	"9"	"10"	"5"	"11"	"4"	"13"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"19"	"0"	"0"	"276"	"276"	"1"	"0"
"9073"	"4"	"9"	"1"	"2"	"401"	"21"	"21"	"26"	"8"	"29"	"2"	"7"	"1"	"48"	"8"	"13"	"8"	"9"	"15"	"0"	"19"	"3"	"10"	"4"	"8"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"7"	"2"	"0"	"275"	"275"	"1"	"0"
"9074"	"4"	"9"	"1"	"2"	"400"	"13"	"21"	"23"	"9"	"31"	"3"	"7"	"0"	"51"	"8"	"11"	"0"	"2"	"9"	"2"	"12"	"5"	"11"	"1"	"6"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"10"	"0"	"0"	"240"	"240"	"1"	"0"
"9075"	"4"	"9"	"1"	"2"	"400"	"14"	"16"	"30"	"4"	"27"	"1"	"11"	"1"	"50"	"10"	"15"	"4"	"7"	"10"	"1"	"16"	"0"	"13"	"2"	"6"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"1"	"0"	"253"	"253"	"1"	"0"
"9076"	"4"	"9"	"1"	"2"	"400"	"20"	"15"	"29"	"11"	"22"	"4"	"7"	"2"	"44"	"9"	"18"	"3"	"8"	"19"	"2"	"9"	"3"	"14"	"3"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"15"	"2"	"0"	"264"	"264"	"1"	"0"
"9077"	"4"	"9"	"1"	"2"	"400"	"29"	"20"	"28"	"9"	"29"	"3"	"13"	"5"	"48"	"7"	"9"	"4"	"7"	"18"	"1"	"11"	"5"	"13"	"0"	"7"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"8"	"1"	"9"	"285"	"285"	"1"	"0"
"9078"	"4"	"9"	"1"	"2"	"400"	"20"	"23"	"23"	"12"	"25"	"3"	"10"	"1"	"63"	"9"	"21"	"4"	"7"	"17"	"3"	"8"	"5"	"9"	"4"	"3"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"10"	"0"	"0"	"285"	"285"	"1"	"0"
"9079"	"4"	"9"	"1"	"2"	"402"	"28"	"13"	"18"	"15"	"26"	"2"	"10"	"2"	"57"	"9"	"12"	"4"	"5"	"7"	"2"	"14"	"1"	"10"	"1"	"10"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"20"	"0"	"0"	"269"	"269"	"1"	"0"
"9080"	"4"	"9"	"1"	"2"	"400"	"13"	"14"	"27"	"12"	"29"	"1"	"12"	"3"	"48"	"5"	"9"	"6"	"11"	"10"	"3"	"15"	"5"	"10"	"2"	"2"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"17"	"1"	"0"	"263"	"263"	"1"	"0"
"9081"	"4"	"9"	"1"	"2"	"400"	"30"	"17"	"26"	"18"	"26"	"0"	"10"	"2"	"45"	"5"	"6"	"6"	"6"	"13"	"1"	"18"	"6"	"13"	"3"	"7"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"20"	"0"	"0"	"287"	"287"	"1"	"0"
"9082"	"4"	"9"	"1"	"2"	"400"	"25"	"18"	"21"	"13"	"29"	"8"	"14"	"0"	"58"	"10"	"15"	"5"	"7"	"9"	"4"	"18"	"3"	"12"	"1"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"6"	"1"	"0"	"292"	"292"	"1"	"0"
"9083"	"4"	"9"	"1"	"2"	"0"	"16"	"22"	"32"	"11"	"22"	"5"	"10"	"2"	"71"	"5"	"16"	"4"	"10"	"22"	"5"	"12"	"8"	"10"	"4"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"13"	"0"	"0"	"309"	"309"	"1"	"0"
"9084"	"4"	"9"	"1"	"2"	"0"	"18"	"15"	"25"	"21"	"29"	"6"	"0"	"4"	"58"	"0"	"11"	"6"	"11"	"7"	"1"	"12"	"7"	"13"	"4"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"11"	"3"	"0"	"0"	"269"	"0"	"0"
"9085"	"4"	"9"	"1"	"2"	"396"	"17"	"18"	"30"	"16"	"27"	"3"	"6"	"1"	"50"	"9"	"17"	"2"	"8"	"12"	"5"	"13"	"6"	"13"	"2"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"1"	"0"	"280"	"280"	"1"	"0"
"9086"	"4"	"9"	"1"	"2"	"400"	"27"	"16"	"29"	"12"	"22"	"3"	"13"	"3"	"56"	"14"	"18"	"3"	"9"	"15"	"4"	"15"	"8"	"13"	"0"	"5"	"7"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"14"	"1"	"0"	"313"	"313"	"1"	"0"
"9087"	"4"	"9"	"1"	"2"	"400"	"21"	"29"	"29"	"17"	"18"	"4"	"11"	"5"	"52"	"7"	"11"	"6"	"7"	"8"	"2"	"9"	"5"	"15"	"0"	"11"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"21"	"0"	"0"	"292"	"292"	"1"	"0"
"9088"	"4"	"9"	"1"	"2"	"0"	"26"	"12"	"26"	"15"	"27"	"5"	"10"	"2"	"59"	"10"	"21"	"2"	"11"	"14"	"0"	"21"	"7"	"11"	"1"	"3"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"20"	"1"	"0"	"310"	"310"	"1"	"0"
