"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"PC"	"UNE"	"TODOS"	"VIVA"	"URNG_MAIZ"	"EG"	"CONVERGENCIA"	"VALOR"	"SEMILLA"	"FUERZA"	"UCN"	"BIEN"	"PODEMOS"	"PHG"	"FCN_NACION"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14493"	"4"	"14"	"1"	"2"	"397"	"15"	"25"	"56"	"3"	"30"	"5"	"4"	"8"	"24"	"8"	"11"	"5"	"12"	"1"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"15"	"5"	"0"	"247"	"247"	"1"	"0"
"14494"	"4"	"14"	"1"	"2"	"0"	"14"	"31"	"72"	"3"	"35"	"4"	"4"	"6"	"28"	"9"	"9"	"3"	"9"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"233"	"8"	"4"	"0"	"253"	"245"	"0"	"0"
"14495"	"4"	"14"	"1"	"2"	"400"	"19"	"28"	"49"	"6"	"23"	"2"	"10"	"9"	"26"	"7"	"15"	"7"	"12"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"7"	"5"	"0"	"235"	"235"	"1"	"0"
"14496"	"4"	"14"	"1"	"2"	"400"	"12"	"30"	"45"	"7"	"29"	"3"	"9"	"9"	"23"	"9"	"4"	"9"	"6"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"2"	"2"	"0"	"207"	"207"	"1"	"0"
"14497"	"4"	"14"	"1"	"2"	"372"	"20"	"27"	"63"	"8"	"34"	"3"	"3"	"3"	"26"	"11"	"3"	"8"	"14"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"6"	"0"	"0"	"238"	"238"	"1"	"0"
"14498"	"4"	"14"	"1"	"2"	"339"	"19"	"26"	"74"	"7"	"17"	"3"	"3"	"6"	"28"	"8"	"14"	"5"	"8"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"3"	"2"	"0"	"233"	"233"	"1"	"0"
"14499"	"4"	"14"	"1"	"2"	"400"	"38"	"44"	"57"	"6"	"17"	"0"	"6"	"13"	"11"	"5"	"3"	"7"	"4"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"13"	"16"	"0"	"246"	"246"	"1"	"0"
"14500"	"4"	"14"	"1"	"2"	"396"	"12"	"38"	"49"	"5"	"22"	"4"	"2"	"7"	"16"	"9"	"5"	"4"	"6"	"1"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"18"	"9"	"0"	"215"	"215"	"1"	"0"
"14501"	"4"	"14"	"1"	"2"	"400"	"21"	"41"	"72"	"6"	"34"	"5"	"0"	"5"	"15"	"11"	"2"	"6"	"5"	"1"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"16"	"15"	"0"	"268"	"268"	"1"	"0"
"14502"	"4"	"14"	"1"	"2"	"395"	"22"	"51"	"50"	"4"	"31"	"4"	"2"	"7"	"13"	"3"	"1"	"6"	"4"	"0"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"22"	"14"	"0"	"245"	"245"	"1"	"0"
"14503"	"4"	"14"	"1"	"2"	"396"	"26"	"62"	"46"	"4"	"24"	"9"	"1"	"3"	"11"	"3"	"4"	"11"	"6"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"14"	"3"	"156"	"234"	"234"	"1"	"0"
"14504"	"4"	"14"	"1"	"2"	"396"	"20"	"48"	"54"	"4"	"31"	"2"	"5"	"2"	"13"	"5"	"5"	"8"	"2"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"12"	"15"	"0"	"232"	"232"	"1"	"0"
