"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"EG"	"WINAQ"	"URNG_MAIZ"	"FUERZA"	"FCN_NACION"	"MLP"	"PHG"	"VALOR"	"PODEMOS"	"UNE"	"UNIDOS"	"CREO"	"VIVA"	"SEMILLA"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"PPT"	"BIEN"	"PC"	"UCN"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10971"	"3"	"11"	"1"	"2"	"400"	"13"	"15"	"6"	"5"	"3"	"9"	"5"	"18"	"10"	"68"	"5"	"23"	"0"	"9"	"5"	"19"	"3"	"17"	"0"	"1"	"25"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"23"	"12"	"0"	"299"	"299"	"1"	"0"
"10972"	"3"	"11"	"1"	"2"	"400"	"12"	"18"	"4"	"4"	"5"	"8"	"4"	"9"	"11"	"47"	"6"	"30"	"3"	"8"	"3"	"12"	"2"	"25"	"0"	"1"	"32"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"23"	"15"	"0"	"287"	"287"	"1"	"0"
"10973"	"3"	"11"	"1"	"2"	"400"	"13"	"13"	"10"	"6"	"5"	"9"	"3"	"5"	"6"	"63"	"4"	"15"	"2"	"10"	"1"	"10"	"2"	"11"	"1"	"5"	"32"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"29"	"12"	"0"	"271"	"271"	"1"	"0"
"10974"	"3"	"11"	"1"	"2"	"397"	"6"	"7"	"4"	"5"	"10"	"6"	"3"	"11"	"11"	"55"	"4"	"31"	"0"	"6"	"3"	"16"	"1"	"15"	"0"	"4"	"34"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"44"	"11"	"1"	"292"	"292"	"1"	"0"
"10975"	"3"	"11"	"1"	"2"	"400"	"8"	"10"	"13"	"6"	"3"	"5"	"3"	"7"	"12"	"67"	"7"	"32"	"0"	"7"	"4"	"16"	"3"	"13"	"1"	"0"	"32"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"24"	"10"	"0"	"287"	"287"	"1"	"0"
"10976"	"3"	"11"	"1"	"2"	"400"	"13"	"11"	"2"	"5"	"5"	"5"	"2"	"12"	"14"	"80"	"8"	"22"	"1"	"6"	"1"	"13"	"7"	"12"	"3"	"2"	"35"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"28"	"10"	"0"	"300"	"300"	"1"	"0"
"10977"	"3"	"11"	"1"	"2"	"400"	"11"	"9"	"3"	"5"	"8"	"10"	"5"	"8"	"9"	"68"	"4"	"21"	"2"	"9"	"6"	"16"	"4"	"13"	"1"	"2"	"36"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"30"	"7"	"0"	"294"	"294"	"1"	"0"
"10978"	"3"	"11"	"1"	"2"	"400"	"11"	"16"	"7"	"8"	"3"	"7"	"3"	"10"	"12"	"58"	"6"	"18"	"2"	"9"	"2"	"12"	"1"	"12"	"0"	"3"	"37"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"33"	"16"	"0"	"289"	"289"	"1"	"0"
"10979"	"3"	"11"	"1"	"2"	"400"	"15"	"17"	"4"	"4"	"4"	"9"	"1"	"10"	"11"	"58"	"8"	"29"	"1"	"11"	"10"	"18"	"3"	"15"	"1"	"3"	"30"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"8"	"0"	"293"	"293"	"1"	"0"
"10980"	"3"	"11"	"1"	"2"	"400"	"8"	"8"	"6"	"7"	"5"	"1"	"8"	"8"	"10"	"79"	"4"	"24"	"2"	"9"	"4"	"19"	"2"	"14"	"2"	"4"	"39"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"26"	"14"	"0"	"308"	"308"	"1"	"0"
"10981"	"3"	"11"	"1"	"2"	"400"	"13"	"10"	"7"	"5"	"2"	"9"	"3"	"7"	"12"	"63"	"7"	"22"	"1"	"12"	"3"	"17"	"1"	"12"	"1"	"1"	"32"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"21"	"6"	"0"	"272"	"272"	"1"	"0"
"10982"	"3"	"11"	"1"	"2"	"400"	"10"	"9"	"7"	"6"	"6"	"8"	"3"	"12"	"8"	"58"	"8"	"29"	"1"	"9"	"3"	"22"	"0"	"13"	"0"	"1"	"28"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"19"	"12"	"0"	"277"	"277"	"1"	"0"
"10983"	"3"	"11"	"1"	"2"	"400"	"18"	"9"	"3"	"5"	"6"	"4"	"5"	"18"	"9"	"61"	"6"	"23"	"1"	"7"	"5"	"13"	"3"	"12"	"1"	"2"	"28"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"25"	"9"	"0"	"278"	"278"	"1"	"0"
"10984"	"3"	"11"	"1"	"2"	"400"	"16"	"16"	"5"	"5"	"5"	"7"	"3"	"7"	"13"	"74"	"4"	"24"	"2"	"6"	"1"	"11"	"3"	"9"	"0"	"3"	"23"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"37"	"7"	"4"	"285"	"285"	"1"	"0"
"10985"	"3"	"11"	"1"	"2"	"400"	"10"	"12"	"3"	"7"	"4"	"12"	"2"	"12"	"10"	"73"	"10"	"20"	"0"	"6"	"3"	"15"	"2"	"12"	"0"	"4"	"34"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"24"	"8"	"0"	"287"	"287"	"1"	"0"
"10986"	"3"	"11"	"1"	"2"	"400"	"8"	"12"	"6"	"6"	"7"	"6"	"3"	"10"	"5"	"85"	"11"	"16"	"1"	"7"	"2"	"10"	"2"	"12"	"0"	"2"	"25"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"19"	"1"	"5"	"260"	"260"	"1"	"1"
"10987"	"3"	"11"	"1"	"2"	"400"	"8"	"14"	"6"	"3"	"2"	"7"	"4"	"5"	"6"	"63"	"12"	"24"	"3"	"9"	"3"	"10"	"0"	"11"	"0"	"1"	"28"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"27"	"0"	"0"	"250"	"250"	"1"	"2"
"10988"	"3"	"11"	"1"	"2"	"398"	"11"	"4"	"9"	"7"	"5"	"6"	"2"	"9"	"11"	"48"	"15"	"22"	"1"	"7"	"2"	"7"	"2"	"8"	"0"	"1"	"24"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"23"	"4"	"0"	"232"	"232"	"1"	"0"
"10989"	"3"	"11"	"1"	"2"	"400"	"13"	"8"	"6"	"8"	"1"	"10"	"4"	"9"	"9"	"52"	"8"	"19"	"1"	"8"	"1"	"10"	"2"	"15"	"0"	"0"	"23"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"16"	"1"	"0"	"231"	"231"	"1"	"0"
"10990"	"3"	"11"	"1"	"2"	"400"	"9"	"5"	"3"	"8"	"7"	"6"	"2"	"6"	"8"	"55"	"7"	"32"	"0"	"6"	"3"	"7"	"4"	"15"	"1"	"6"	"21"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"27"	"14"	"0"	"254"	"254"	"1"	"0"
"10991"	"3"	"11"	"1"	"2"	"400"	"16"	"7"	"7"	"4"	"3"	"10"	"1"	"9"	"8"	"72"	"5"	"43"	"1"	"2"	"4"	"9"	"1"	"11"	"1"	"2"	"19"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"21"	"5"	"0"	"264"	"264"	"1"	"0"
"10992"	"3"	"11"	"1"	"2"	"403"	"12"	"8"	"5"	"6"	"5"	"9"	"1"	"9"	"12"	"63"	"10"	"22"	"2"	"12"	"3"	"10"	"0"	"10"	"1"	"2"	"26"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"23"	"11"	"0"	"268"	"268"	"1"	"0"
"10993"	"3"	"11"	"1"	"2"	"400"	"12"	"10"	"5"	"9"	"5"	"5"	"2"	"9"	"9"	"69"	"6"	"22"	"2"	"13"	"2"	"6"	"0"	"9"	"0"	"2"	"28"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"22"	"9"	"0"	"264"	"264"	"1"	"0"
"10994"	"3"	"11"	"1"	"2"	"400"	"11"	"6"	"8"	"3"	"2"	"10"	"3"	"14"	"8"	"67"	"4"	"23"	"1"	"7"	"0"	"14"	"6"	"10"	"1"	"2"	"33"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"17"	"8"	"13"	"260"	"260"	"1"	"0"
"10995"	"3"	"11"	"1"	"2"	"400"	"7"	"10"	"9"	"9"	"2"	"5"	"6"	"6"	"18"	"58"	"7"	"22"	"0"	"6"	"5"	"19"	"1"	"11"	"2"	"1"	"35"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"24"	"6"	"0"	"273"	"273"	"1"	"0"
"10996"	"3"	"11"	"1"	"2"	"400"	"12"	"17"	"6"	"6"	"1"	"7"	"4"	"2"	"16"	"56"	"6"	"16"	"1"	"1"	"3"	"22"	"3"	"15"	"0"	"2"	"32"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"29"	"10"	"0"	"270"	"270"	"1"	"0"
"10997"	"3"	"11"	"1"	"2"	"401"	"11"	"4"	"3"	"6"	"0"	"5"	"4"	"12"	"11"	"65"	"8"	"22"	"0"	"10"	"4"	"5"	"1"	"16"	"0"	"3"	"30"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"30"	"8"	"0"	"261"	"261"	"1"	"0"
"10998"	"3"	"11"	"1"	"2"	"400"	"11"	"17"	"4"	"3"	"1"	"6"	"2"	"11"	"11"	"57"	"5"	"23"	"4"	"14"	"5"	"13"	"1"	"14"	"0"	"0"	"28"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"31"	"9"	"0"	"273"	"273"	"1"	"0"
"10999"	"3"	"11"	"1"	"2"	"400"	"5"	"19"	"8"	"5"	"8"	"13"	"6"	"6"	"8"	"62"	"4"	"20"	"1"	"4"	"1"	"14"	"2"	"13"	"0"	"4"	"31"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"20"	"12"	"0"	"280"	"280"	"1"	"0"
"11000"	"3"	"11"	"1"	"2"	"400"	"14"	"14"	"5"	"7"	"6"	"9"	"3"	"10"	"10"	"50"	"6"	"27"	"0"	"9"	"2"	"18"	"5"	"11"	"1"	"4"	"27"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"24"	"6"	"1"	"278"	"278"	"1"	"0"
"11001"	"3"	"11"	"1"	"2"	"400"	"10"	"10"	"5"	"6"	"6"	"8"	"0"	"9"	"13"	"68"	"15"	"18"	"0"	"12"	"3"	"16"	"2"	"15"	"0"	"3"	"30"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"23"	"9"	"1"	"284"	"284"	"1"	"0"
"11002"	"3"	"11"	"1"	"2"	"400"	"13"	"13"	"5"	"5"	"2"	"14"	"6"	"7"	"12"	"53"	"6"	"29"	"1"	"4"	"3"	"15"	"1"	"8"	"0"	"0"	"38"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"22"	"1"	"0"	"264"	"264"	"1"	"0"
"11003"	"3"	"11"	"1"	"2"	"400"	"10"	"19"	"3"	"4"	"8"	"8"	"7"	"8"	"5"	"61"	"5"	"28"	"0"	"5"	"3"	"12"	"1"	"3"	"1"	"0"	"26"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"22"	"11"	"0"	"256"	"256"	"1"	"0"
"11004"	"3"	"11"	"1"	"2"	"399"	"12"	"15"	"3"	"5"	"1"	"9"	"1"	"9"	"8"	"61"	"9"	"25"	"1"	"9"	"6"	"6"	"2"	"7"	"1"	"1"	"27"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"22"	"1"	"1"	"244"	"244"	"1"	"0"
"11005"	"3"	"11"	"1"	"2"	"400"	"6"	"11"	"6"	"6"	"3"	"8"	"2"	"5"	"6"	"58"	"8"	"34"	"0"	"2"	"2"	"8"	"2"	"5"	"0"	"5"	"22"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"17"	"8"	"0"	"230"	"230"	"1"	"0"
