"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"UNE"	"FUERZA"	"SEMILLA"	"PODEMOS"	"FCN_NACION"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14683"	"4"	"14"	"4"	"2"	"379"	"102"	"159"	"19"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"6"	"5"	"0"	"294"	"294"	"1"	"0"
"14684"	"4"	"14"	"4"	"2"	"380"	"166"	"131"	"12"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"7"	"4"	"11"	"324"	"324"	"1"	"0"
"14685"	"4"	"14"	"4"	"2"	"380"	"174"	"102"	"8"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"2"	"8"	"0"	"300"	"300"	"1"	"0"
"14686"	"4"	"14"	"4"	"2"	"380"	"136"	"95"	"13"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"3"	"7"	"10"	"257"	"257"	"1"	"0"
"14687"	"4"	"14"	"4"	"2"	"352"	"111"	"112"	"18"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"2"	"1"	"0"	"247"	"247"	"1"	"0"
"14688"	"4"	"14"	"4"	"2"	"351"	"160"	"78"	"20"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"1"	"4"	"0"	"268"	"268"	"1"	"0"
"14689"	"4"	"14"	"4"	"2"	"380"	"39"	"151"	"84"	"7"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"8"	"7"	"0"	"301"	"301"	"1"	"0"
"14690"	"4"	"14"	"4"	"2"	"380"	"47"	"136"	"84"	"9"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"2"	"4"	"0"	"287"	"287"	"1"	"0"
"14691"	"4"	"14"	"4"	"2"	"380"	"135"	"121"	"44"	"12"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"0"	"1"	"3"	"320"	"320"	"1"	"1"
"14692"	"4"	"14"	"4"	"2"	"380"	"164"	"80"	"62"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"3"	"3"	"0"	"327"	"327"	"1"	"0"
