"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"VAMOS"	"FUERZA"	"BIEN"	"PC"	"PHG"	"C_C_I_H_"	"PODEMOS"	"AVANZA"	"UCN"	"VALOR"	"MLP"	"TODOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5833"	"4"	"3"	"13"	"2"	"400"	"8"	"12"	"5"	"35"	"34"	"15"	"84"	"19"	"16"	"3"	"3"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"7"	"0"	"0"	"254"	"254"	"1"	"0"
"5834"	"4"	"3"	"13"	"2"	"400"	"5"	"15"	"3"	"39"	"39"	"11"	"74"	"23"	"21"	"6"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"3"	"0"	"256"	"256"	"1"	"0"
"5835"	"4"	"3"	"13"	"2"	"398"	"6"	"26"	"2"	"44"	"50"	"10"	"90"	"21"	"12"	"7"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"11"	"5"	"0"	"295"	"295"	"1"	"0"
"5836"	"4"	"3"	"13"	"2"	"400"	"6"	"15"	"3"	"36"	"61"	"9"	"85"	"15"	"14"	"7"	"4"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"7"	"5"	"0"	"281"	"281"	"1"	"0"
"5837"	"4"	"3"	"13"	"2"	"400"	"13"	"17"	"3"	"33"	"42"	"10"	"84"	"20"	"13"	"11"	"5"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"6"	"5"	"0"	"275"	"275"	"1"	"0"
"5838"	"4"	"3"	"13"	"2"	"400"	"7"	"18"	"4"	"42"	"59"	"10"	"87"	"28"	"11"	"3"	"2"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"6"	"1"	"0"	"290"	"290"	"1"	"0"
"5839"	"4"	"3"	"13"	"2"	"400"	"5"	"17"	"3"	"37"	"41"	"5"	"78"	"28"	"11"	"9"	"2"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"8"	"1"	"0"	"263"	"263"	"1"	"0"
"5840"	"4"	"3"	"13"	"2"	"400"	"6"	"16"	"3"	"45"	"52"	"16"	"79"	"9"	"15"	"6"	"6"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"5"	"11"	"0"	"281"	"281"	"1"	"0"
"5841"	"4"	"3"	"13"	"2"	"399"	"3"	"16"	"0"	"34"	"46"	"8"	"74"	"16"	"16"	"6"	"2"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"11"	"7"	"0"	"258"	"258"	"1"	"0"
"5842"	"4"	"3"	"13"	"2"	"400"	"4"	"18"	"5"	"25"	"53"	"15"	"84"	"14"	"12"	"9"	"2"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"13"	"2"	"0"	"264"	"264"	"1"	"0"
"5843"	"4"	"3"	"13"	"2"	"400"	"5"	"18"	"2"	"34"	"34"	"12"	"64"	"7"	"7"	"7"	"4"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"11"	"9"	"0"	"226"	"226"	"1"	"0"
"5844"	"4"	"3"	"13"	"2"	"395"	"1"	"12"	"1"	"41"	"48"	"15"	"75"	"18"	"11"	"6"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"14"	"12"	"0"	"263"	"263"	"1"	"0"
"5845"	"4"	"3"	"13"	"2"	"400"	"8"	"15"	"3"	"44"	"38"	"11"	"82"	"14"	"11"	"4"	"2"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"5"	"5"	"0"	"256"	"256"	"1"	"0"
"5846"	"4"	"3"	"13"	"2"	"393"	"6"	"17"	"3"	"27"	"63"	"10"	"94"	"16"	"21"	"6"	"3"	"7"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"5"	"1"	"0"	"288"	"288"	"1"	"0"
