"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UNE"	"FUERZA"	"SEMILLA"	"FCN_NACION"	"UNIONISTA"	"UCN"	"PODEMOS"	"VAMOS"	"CREO"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18103"	"4"	"17"	"11"	"2"	"376"	"28"	"69"	"17"	"4"	"3"	"0"	"1"	"0"	"72"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"9"	"2"	"0"	"214"	"214"	"1"	"0"
"18104"	"4"	"17"	"11"	"2"	"268"	"21"	"36"	"12"	"1"	"2"	"0"	"4"	"0"	"67"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"8"	"5"	"0"	"159"	"159"	"1"	"0"
"18105"	"4"	"17"	"11"	"2"	"266"	"27"	"44"	"17"	"2"	"2"	"2"	"4"	"0"	"91"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"1"	"3"	"0"	"197"	"197"	"1"	"0"
"18106"	"4"	"17"	"11"	"2"	"314"	"5"	"86"	"20"	"17"	"13"	"0"	"6"	"0"	"47"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"11"	"10"	"0"	"227"	"227"	"1"	"0"
"18107"	"4"	"17"	"11"	"2"	"364"	"73"	"87"	"35"	"0"	"17"	"2"	"4"	"1"	"15"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"2"	"12"	"0"	"260"	"260"	"1"	"0"
"18108"	"4"	"17"	"11"	"2"	"364"	"80"	"59"	"26"	"3"	"18"	"0"	"5"	"0"	"13"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"14"	"9"	"0"	"237"	"237"	"1"	"0"
"18109"	"4"	"17"	"11"	"2"	"380"	"36"	"104"	"24"	"1"	"7"	"0"	"2"	"0"	"40"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"6"	"5"	"0"	"229"	"229"	"1"	"0"
"18110"	"4"	"17"	"11"	"2"	"380"	"49"	"81"	"11"	"2"	"15"	"0"	"4"	"0"	"38"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"11"	"4"	"0"	"217"	"217"	"1"	"0"
"18111"	"4"	"17"	"11"	"2"	"380"	"53"	"82"	"12"	"3"	"11"	"0"	"3"	"0"	"37"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"20"	"5"	"0"	"231"	"231"	"1"	"0"
"18112"	"4"	"17"	"11"	"2"	"364"	"32"	"82"	"14"	"3"	"11"	"1"	"0"	"0"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"16"	"12"	"0"	"198"	"198"	"1"	"0"
"18113"	"4"	"17"	"11"	"2"	"364"	"55"	"94"	"10"	"2"	"14"	"1"	"1"	"0"	"52"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"7"	"6"	"0"	"244"	"244"	"1"	"0"
"18114"	"4"	"17"	"11"	"2"	"600"	"17"	"33"	"19"	"10"	"5"	"0"	"0"	"0"	"15"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"2"	"2"	"0"	"123"	"123"	"1"	"0"
"18115"	"4"	"17"	"11"	"2"	"543"	"13"	"18"	"15"	"11"	"3"	"3"	"1"	"1"	"14"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"95"	"95"	"4"	"4"	"0"	"103"	"103"	"1"	"0"
"18116"	"4"	"17"	"11"	"2"	"544"	"6"	"8"	"19"	"4"	"3"	"1"	"0"	"0"	"10"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"60"	"60"	"3"	"2"	"0"	"65"	"65"	"1"	"0"
