"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CUM"	"VIVA"	"EG"	"UNE"	"BIEN"	"PHG"	"UNIONISTA"	"MLP"	"VALOR"	"CREO"	"TODOS"	"FCN_NACION"	"UCN"	"SEMILLA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11480"	"4"	"12"	"1"	"2"	"399"	"120"	"8"	"30"	"40"	"2"	"2"	"2"	"1"	"1"	"17"	"6"	"20"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"256"	"11"	"4"	"0"	"272"	"271"	"0"	"0"
"11481"	"4"	"12"	"1"	"2"	"0"	"113"	"3"	"26"	"44"	"1"	"5"	"3"	"0"	"2"	"20"	"6"	"20"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"6"	"0"	"258"	"258"	"1"	"0"
"11482"	"4"	"12"	"1"	"2"	"322"	"84"	"1"	"16"	"43"	"0"	"2"	"0"	"0"	"2"	"17"	"7"	"21"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"195"	"11"	"3"	"0"	"211"	"209"	"0"	"1"
"11483"	"4"	"12"	"1"	"2"	"322"	"87"	"8"	"23"	"21"	"3"	"1"	"1"	"2"	"4"	"19"	"6"	"12"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"3"	"4"	"0"	"197"	"197"	"1"	"0"
"11484"	"4"	"12"	"1"	"2"	"400"	"145"	"5"	"43"	"12"	"5"	"4"	"4"	"1"	"2"	"25"	"16"	"16"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"8"	"5"	"0"	"300"	"300"	"1"	"0"
"11485"	"4"	"12"	"1"	"2"	"400"	"172"	"7"	"42"	"22"	"9"	"5"	"6"	"3"	"2"	"19"	"13"	"8"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"312"	"6"	"2"	"0"	"321"	"320"	"0"	"0"
"11486"	"4"	"12"	"1"	"2"	"400"	"181"	"5"	"35"	"9"	"3"	"6"	"7"	"0"	"0"	"20"	"16"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"6"	"0"	"0"	"297"	"297"	"1"	"0"
"11487"	"4"	"12"	"1"	"2"	"400"	"158"	"3"	"38"	"16"	"2"	"4"	"0"	"1"	"3"	"25"	"22"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"11"	"2"	"0"	"297"	"297"	"1"	"0"
"11488"	"4"	"12"	"1"	"2"	"402"	"157"	"7"	"39"	"12"	"4"	"7"	"6"	"0"	"6"	"26"	"15"	"13"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"6"	"0"	"0"	"304"	"304"	"1"	"0"
"11489"	"4"	"12"	"1"	"2"	"323"	"106"	"3"	"39"	"10"	"2"	"4"	"3"	"2"	"3"	"19"	"12"	"13"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"5"	"0"	"0"	"225"	"225"	"1"	"0"
"11490"	"4"	"12"	"1"	"2"	"323"	"123"	"4"	"38"	"8"	"1"	"7"	"6"	"1"	"4"	"11"	"13"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"5"	"2"	"0"	"233"	"233"	"1"	"0"
"11491"	"4"	"12"	"1"	"2"	"400"	"149"	"5"	"33"	"16"	"3"	"9"	"5"	"1"	"1"	"36"	"20"	"9"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"3"	"3"	"0"	"305"	"305"	"1"	"0"
"11492"	"4"	"12"	"1"	"2"	"0"	"145"	"5"	"48"	"18"	"5"	"2"	"11"	"1"	"2"	"42"	"8"	"8"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"8"	"3"	"0"	"318"	"318"	"1"	"0"
"11493"	"4"	"12"	"1"	"2"	"403"	"152"	"5"	"38"	"22"	"4"	"3"	"8"	"2"	"2"	"23"	"10"	"13"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"6"	"2"	"0"	"301"	"301"	"1"	"0"
"11494"	"4"	"12"	"1"	"2"	"0"	"127"	"10"	"46"	"22"	"2"	"5"	"6"	"1"	"2"	"23"	"8"	"16"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"9"	"1"	"2"	"292"	"292"	"1"	"0"
"11495"	"4"	"12"	"1"	"2"	"0"	"114"	"7"	"37"	"22"	"7"	"6"	"12"	"1"	"0"	"26"	"26"	"20"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"12"	"0"	"0"	"303"	"303"	"1"	"0"
"11496"	"4"	"12"	"1"	"2"	"313"	"93"	"7"	"29"	"18"	"7"	"2"	"3"	"0"	"3"	"21"	"12"	"16"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"7"	"1"	"0"	"225"	"225"	"1"	"0"
"11497"	"4"	"12"	"1"	"2"	"314"	"120"	"4"	"25"	"14"	"3"	"7"	"12"	"2"	"0"	"19"	"17"	"7"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"4"	"1"	"0"	"243"	"243"	"1"	"0"
"11498"	"4"	"12"	"1"	"2"	"0"	"61"	"1"	"18"	"11"	"3"	"5"	"0"	"0"	"4"	"12"	"7"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"8"	"6"	"0"	"146"	"146"	"1"	"0"
"11499"	"4"	"12"	"1"	"2"	"397"	"79"	"6"	"29"	"11"	"4"	"6"	"8"	"1"	"2"	"12"	"9"	"6"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"4"	"6"	"0"	"187"	"187"	"1"	"0"
"11500"	"4"	"12"	"1"	"2"	"400"	"72"	"2"	"26"	"23"	"3"	"6"	"11"	"0"	"4"	"20"	"11"	"8"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"6"	"3"	"0"	"205"	"205"	"1"	"0"
"11501"	"4"	"12"	"1"	"2"	"401"	"77"	"9"	"29"	"19"	"2"	"4"	"7"	"0"	"1"	"20"	"5"	"5"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"182"	"7"	"5"	"0"	"194"	"194"	"0"	"0"
"11502"	"4"	"12"	"1"	"2"	"316"	"35"	"0"	"12"	"12"	"0"	"2"	"3"	"0"	"1"	"7"	"6"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"88"	"88"	"5"	"3"	"0"	"96"	"96"	"1"	"0"
"11503"	"4"	"12"	"1"	"2"	"0"	"11"	"2"	"5"	"5"	"0"	"4"	"1"	"0"	"1"	"3"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37"	"37"	"2"	"1"	"0"	"40"	"40"	"1"	"0"
