"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"FCN_NACION"	"CREO"	"SEMILLA"	"CCP"	"PC"	"EG"	"VICTORIA"	"LIBRE"	"BIEN"	"MLP"	"TODOS"	"FUERZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18353"	"4"	"18"	"1"	"2"	"380"	"10"	"15"	"13"	"13"	"7"	"5"	"27"	"0"	"67"	"1"	"3"	"1"	"12"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"16"	"2"	"0"	"198"	"198"	"1"	"0"
"18354"	"4"	"18"	"1"	"2"	"380"	"7"	"12"	"17"	"11"	"1"	"2"	"30"	"0"	"108"	"1"	"0"	"1"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"10"	"3"	"0"	"211"	"211"	"1"	"0"
"18355"	"4"	"18"	"1"	"2"	"380"	"12"	"16"	"21"	"6"	"2"	"4"	"31"	"3"	"107"	"0"	"0"	"2"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"7"	"3"	"0"	"224"	"224"	"1"	"0"
"18356"	"4"	"18"	"1"	"2"	"192"	"7"	"4"	"10"	"1"	"2"	"2"	"17"	"1"	"46"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"5"	"1"	"0"	"104"	"104"	"1"	"0"
"18357"	"4"	"18"	"1"	"2"	"191"	"3"	"5"	"5"	"4"	"0"	"1"	"5"	"0"	"33"	"2"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"64"	"64"	"5"	"2"	"0"	"71"	"71"	"1"	"0"
"18358"	"4"	"18"	"1"	"2"	"380"	"3"	"78"	"3"	"10"	"1"	"0"	"51"	"3"	"36"	"0"	"0"	"1"	"7"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"31"	"14"	"0"	"247"	"247"	"1"	"0"
"18359"	"4"	"18"	"1"	"2"	"377"	"4"	"79"	"5"	"8"	"3"	"5"	"58"	"2"	"37"	"1"	"0"	"1"	"7"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"15"	"11"	"0"	"245"	"245"	"1"	"0"
"18360"	"4"	"18"	"1"	"2"	"376"	"5"	"56"	"5"	"5"	"4"	"4"	"52"	"6"	"33"	"0"	"1"	"0"	"9"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"27"	"9"	"0"	"223"	"223"	"1"	"0"
"18361"	"4"	"18"	"1"	"2"	"377"	"4"	"57"	"4"	"7"	"0"	"4"	"42"	"3"	"42"	"1"	"1"	"0"	"6"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"35"	"10"	"3"	"222"	"222"	"1"	"0"
"18362"	"4"	"18"	"1"	"2"	"239"	"3"	"39"	"1"	"5"	"1"	"1"	"46"	"2"	"22"	"0"	"0"	"2"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"129"	"129"	"12"	"7"	"0"	"148"	"148"	"1"	"0"
"18363"	"4"	"18"	"1"	"2"	"241"	"1"	"38"	"5"	"3"	"4"	"2"	"56"	"3"	"22"	"0"	"0"	"0"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"8"	"4"	"0"	"154"	"154"	"1"	"0"
"18364"	"4"	"18"	"1"	"2"	"380"	"13"	"24"	"7"	"9"	"1"	"2"	"42"	"2"	"110"	"7"	"1"	"3"	"10"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"12"	"4"	"0"	"258"	"258"	"1"	"0"
"18365"	"4"	"18"	"1"	"2"	"380"	"15"	"21"	"3"	"10"	"4"	"2"	"36"	"3"	"119"	"3"	"1"	"1"	"7"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"2"	"0"	"250"	"250"	"1"	"0"
"18366"	"4"	"18"	"1"	"2"	"380"	"22"	"10"	"5"	"15"	"0"	"2"	"39"	"2"	"115"	"3"	"2"	"5"	"8"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"9"	"5"	"0"	"248"	"248"	"1"	"0"
"18367"	"4"	"18"	"1"	"2"	"380"	"18"	"15"	"3"	"13"	"4"	"4"	"41"	"2"	"110"	"8"	"1"	"7"	"10"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"16"	"4"	"0"	"261"	"261"	"1"	"0"
