"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VICTORIA"	"UNIONISTA"	"VALOR"	"SANTIAGO_DE_LOS_CABALLEROS"	"VIVA"	"FUERZA"	"PHG"	"SOS"	"CREO"	"EG"	"PC"	"MLP"	"CAMBIO"	"PPT"	"LIBRE"	"SEMILLA"	"UCN"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4712"	"4"	"2"	"1"	"2"	"367"	"33"	"50"	"11"	"4"	"28"	"6"	"12"	"6"	"3"	"1"	"3"	"6"	"5"	"14"	"4"	"29"	"2"	"9"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"11"	"0"	"0"	"242"	"242"	"1"	"0"
"4713"	"4"	"2"	"1"	"2"	"366"	"36"	"46"	"9"	"4"	"25"	"13"	"10"	"8"	"4"	"2"	"9"	"4"	"3"	"17"	"1"	"67"	"1"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"1"	"2"	"0"	"272"	"272"	"1"	"0"
"4714"	"4"	"2"	"1"	"2"	"380"	"56"	"58"	"15"	"4"	"32"	"10"	"8"	"34"	"4"	"1"	"10"	"2"	"5"	"5"	"3"	"13"	"0"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"10"	"2"	"0"	"281"	"281"	"1"	"0"
"4715"	"4"	"2"	"1"	"2"	"373"	"43"	"71"	"13"	"1"	"28"	"9"	"8"	"32"	"2"	"4"	"10"	"3"	"14"	"6"	"7"	"14"	"0"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"6"	"0"	"285"	"285"	"1"	"0"
"4716"	"4"	"2"	"1"	"2"	"380"	"48"	"48"	"11"	"2"	"22"	"9"	"3"	"44"	"4"	"2"	"19"	"3"	"5"	"14"	"4"	"16"	"0"	"3"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"1"	"0"	"270"	"270"	"1"	"0"
"4717"	"4"	"2"	"1"	"2"	"380"	"64"	"56"	"10"	"2"	"23"	"8"	"12"	"31"	"5"	"2"	"17"	"5"	"2"	"7"	"3"	"21"	"0"	"8"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"12"	"6"	"0"	"300"	"300"	"1"	"0"
"4718"	"4"	"2"	"1"	"2"	"380"	"61"	"59"	"13"	"3"	"19"	"10"	"3"	"55"	"2"	"1"	"13"	"0"	"6"	"4"	"7"	"16"	"3"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"11"	"2"	"0"	"298"	"298"	"1"	"0"
"4719"	"4"	"2"	"1"	"2"	"380"	"64"	"56"	"12"	"4"	"22"	"8"	"5"	"41"	"4"	"2"	"9"	"2"	"7"	"4"	"3"	"17"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"7"	"2"	"0"	"273"	"273"	"1"	"0"
"4720"	"4"	"2"	"1"	"2"	"302"	"49"	"51"	"5"	"2"	"14"	"10"	"5"	"30"	"1"	"2"	"13"	"0"	"2"	"3"	"3"	"9"	"1"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"6"	"3"	"0"	"218"	"218"	"1"	"0"
"4721"	"4"	"2"	"1"	"2"	"303"	"41"	"50"	"3"	"1"	"11"	"5"	"7"	"31"	"3"	"2"	"9"	"4"	"1"	"5"	"5"	"28"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"6"	"5"	"0"	"224"	"224"	"1"	"0"
"4722"	"4"	"2"	"1"	"2"	"380"	"81"	"46"	"3"	"5"	"6"	"1"	"4"	"2"	"3"	"1"	"61"	"9"	"1"	"12"	"1"	"6"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"4"	"22"	"0"	"276"	"276"	"1"	"0"
"4723"	"4"	"2"	"1"	"2"	"380"	"66"	"51"	"4"	"2"	"5"	"2"	"6"	"7"	"3"	"1"	"72"	"15"	"0"	"13"	"4"	"7"	"1"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"8"	"9"	"0"	"282"	"282"	"1"	"0"
"4724"	"4"	"2"	"1"	"2"	"259"	"57"	"45"	"0"	"3"	"6"	"2"	"1"	"1"	"0"	"1"	"21"	"5"	"1"	"4"	"0"	"6"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"3"	"5"	"0"	"165"	"165"	"1"	"0"
"4725"	"4"	"2"	"1"	"2"	"257"	"59"	"25"	"6"	"1"	"5"	"2"	"2"	"1"	"0"	"1"	"44"	"8"	"1"	"6"	"1"	"8"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"1"	"2"	"0"	"175"	"175"	"1"	"0"
"4726"	"4"	"2"	"1"	"2"	"380"	"59"	"28"	"10"	"4"	"21"	"4"	"49"	"6"	"7"	"2"	"15"	"2"	"5"	"7"	"1"	"18"	"1"	"31"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"18"	"3"	"0"	"298"	"298"	"1"	"0"
"4727"	"4"	"2"	"1"	"2"	"376"	"48"	"32"	"17"	"3"	"13"	"10"	"31"	"9"	"3"	"4"	"22"	"3"	"3"	"5"	"4"	"12"	"3"	"30"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"7"	"0"	"276"	"276"	"1"	"0"
"4728"	"4"	"2"	"1"	"2"	"380"	"49"	"34"	"9"	"2"	"15"	"7"	"27"	"10"	"14"	"1"	"21"	"3"	"6"	"11"	"6"	"24"	"2"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"7"	"3"	"0"	"273"	"273"	"1"	"0"
"4729"	"4"	"2"	"1"	"2"	"376"	"73"	"26"	"7"	"3"	"12"	"7"	"30"	"8"	"10"	"8"	"17"	"2"	"6"	"7"	"1"	"22"	"1"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"7"	"4"	"0"	"268"	"268"	"1"	"0"
"4730"	"4"	"2"	"1"	"2"	"380"	"65"	"26"	"10"	"7"	"14"	"4"	"26"	"9"	"4"	"5"	"19"	"6"	"3"	"22"	"1"	"36"	"6"	"19"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"9"	"6"	"0"	"300"	"300"	"1"	"0"
"4731"	"4"	"2"	"1"	"2"	"380"	"59"	"22"	"11"	"4"	"14"	"5"	"22"	"8"	"8"	"4"	"23"	"3"	"4"	"14"	"4"	"29"	"4"	"16"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"13"	"4"	"0"	"274"	"274"	"1"	"0"
"4732"	"4"	"2"	"1"	"2"	"312"	"48"	"17"	"5"	"5"	"9"	"1"	"22"	"6"	"2"	"4"	"11"	"0"	"1"	"3"	"2"	"20"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"7"	"1"	"0"	"181"	"181"	"1"	"0"
"4733"	"4"	"2"	"1"	"2"	"312"	"45"	"29"	"10"	"2"	"14"	"5"	"26"	"5"	"6"	"3"	"7"	"2"	"2"	"13"	"3"	"32"	"1"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"1"	"1"	"0"	"224"	"224"	"1"	"0"
"4734"	"4"	"2"	"1"	"2"	"376"	"67"	"40"	"10"	"5"	"18"	"4"	"24"	"10"	"1"	"12"	"4"	"2"	"7"	"7"	"5"	"26"	"6"	"15"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"6"	"0"	"286"	"286"	"1"	"0"
"4735"	"4"	"2"	"1"	"2"	"376"	"40"	"46"	"11"	"6"	"21"	"3"	"20"	"18"	"3"	"10"	"5"	"4"	"6"	"14"	"2"	"25"	"14"	"11"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"5"	"0"	"278"	"278"	"1"	"0"
