"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"BIEN"	"VAMOS"	"VALOR"	"FUERZA"	"SEMILLA"	"EG"	"PHG"	"PODEMOS"	"PPT"	"FCN_NACION"	"MLP"	"UNIONISTA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16033"	"4"	"15"	"7"	"2"	"376"	"17"	"44"	"58"	"29"	"14"	"2"	"48"	"12"	"6"	"2"	"5"	"7"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"23"	"8"	"0"	"285"	"285"	"1"	"0"
"16034"	"4"	"15"	"7"	"2"	"369"	"12"	"53"	"48"	"17"	"16"	"2"	"39"	"2"	"15"	"2"	"1"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"25"	"7"	"0"	"258"	"258"	"1"	"1"
"16035"	"4"	"15"	"7"	"2"	"368"	"12"	"42"	"43"	"23"	"13"	"3"	"52"	"8"	"10"	"0"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"10"	"5"	"0"	"232"	"232"	"1"	"0"
"16036"	"4"	"15"	"7"	"2"	"376"	"15"	"47"	"43"	"11"	"13"	"11"	"6"	"23"	"21"	"9"	"1"	"14"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"23"	"12"	"0"	"253"	"253"	"1"	"0"
"16037"	"4"	"15"	"7"	"2"	"376"	"10"	"62"	"34"	"10"	"13"	"13"	"10"	"20"	"15"	"5"	"1"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"28"	"11"	"0"	"249"	"249"	"1"	"0"
"16038"	"4"	"15"	"7"	"2"	"376"	"10"	"67"	"44"	"11"	"10"	"16"	"8"	"20"	"21"	"3"	"2"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"32"	"6"	"0"	"272"	"272"	"1"	"0"
"16039"	"4"	"15"	"7"	"2"	"376"	"20"	"66"	"30"	"8"	"14"	"13"	"22"	"9"	"23"	"6"	"2"	"20"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"23"	"10"	"0"	"270"	"270"	"1"	"0"
"16040"	"4"	"15"	"7"	"2"	"376"	"12"	"29"	"47"	"19"	"21"	"11"	"15"	"19"	"18"	"7"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"16"	"4"	"0"	"225"	"225"	"1"	"0"
"16041"	"4"	"15"	"7"	"2"	"368"	"8"	"39"	"41"	"12"	"14"	"14"	"11"	"23"	"15"	"3"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"14"	"7"	"0"	"217"	"217"	"1"	"0"
"16042"	"4"	"15"	"7"	"2"	"369"	"6"	"42"	"44"	"11"	"14"	"11"	"17"	"13"	"23"	"4"	"1"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"4"	"0"	"0"	"206"	"206"	"1"	"0"
"16043"	"4"	"15"	"7"	"2"	"466"	"4"	"30"	"17"	"9"	"17"	"8"	"12"	"9"	"6"	"4"	"2"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"136"	"136"	"18"	"5"	"0"	"159"	"159"	"1"	"0"
"16044"	"4"	"15"	"7"	"2"	"466"	"11"	"29"	"15"	"14"	"27"	"4"	"9"	"12"	"2"	"4"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"11"	"5"	"0"	"150"	"150"	"1"	"0"
