"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PHG"	"VAMOS"	"UCN"	"URNG_MAIZ"	"FUERZA"	"PC"	"PPT"	"TODOS"	"FCN_NACION"	"UNIONISTA"	"UNE"	"SEMILLA"	"CREO"	"PAN"	"VALOR"	"VIVA"	"CONVERGENCIA"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12898"	"4"	"13"	"1"	"2"	"397"	"12"	"103"	"13"	"6"	"2"	"18"	"4"	"4"	"33"	"8"	"18"	"8"	"1"	"3"	"3"	"8"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"249"	"13"	"2"	"0"	"397"	"264"	"0"	"0"
"12899"	"4"	"13"	"1"	"2"	"396"	"6"	"129"	"16"	"3"	"4"	"29"	"3"	"6"	"33"	"5"	"0"	"6"	"0"	"1"	"10"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"16"	"6"	"0"	"282"	"282"	"1"	"0"
"12900"	"4"	"13"	"1"	"2"	"400"	"5"	"116"	"12"	"8"	"2"	"24"	"6"	"7"	"27"	"8"	"15"	"9"	"3"	"1"	"7"	"8"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"9"	"3"	"0"	"278"	"278"	"1"	"0"
"12901"	"4"	"13"	"1"	"2"	"398"	"13"	"94"	"8"	"5"	"4"	"14"	"9"	"3"	"34"	"7"	"7"	"12"	"1"	"2"	"14"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"9"	"3"	"0"	"248"	"248"	"1"	"0"
"12902"	"4"	"13"	"1"	"2"	"398"	"5"	"90"	"25"	"5"	"2"	"14"	"7"	"3"	"32"	"7"	"17"	"4"	"3"	"2"	"9"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"11"	"7"	"0"	"250"	"250"	"1"	"0"
"12903"	"4"	"13"	"1"	"2"	"400"	"10"	"85"	"18"	"4"	"6"	"13"	"3"	"5"	"40"	"7"	"7"	"5"	"2"	"4"	"5"	"7"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"15"	"1"	"0"	"243"	"243"	"1"	"0"
"12904"	"4"	"13"	"1"	"2"	"391"	"8"	"81"	"16"	"6"	"3"	"32"	"3"	"3"	"28"	"4"	"9"	"2"	"1"	"1"	"9"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"4"	"1"	"0"	"220"	"220"	"1"	"0"
"12905"	"4"	"13"	"1"	"2"	"336"	"11"	"84"	"10"	"2"	"8"	"28"	"2"	"5"	"31"	"7"	"7"	"6"	"5"	"3"	"5"	"10"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"5"	"2"	"0"	"239"	"239"	"1"	"0"
"12906"	"4"	"13"	"1"	"2"	"336"	"7"	"77"	"16"	"0"	"1"	"24"	"7"	"3"	"27"	"8"	"4"	"6"	"1"	"1"	"9"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"200"	"6"	"0"	"0"	"207"	"206"	"0"	"0"
"12907"	"4"	"13"	"1"	"2"	"394"	"7"	"71"	"10"	"7"	"1"	"14"	"1"	"7"	"35"	"6"	"14"	"12"	"0"	"5"	"7"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"13"	"2"	"0"	"219"	"219"	"1"	"0"
