"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"VAMOS"	"UNE"	"BIEN"	"FCN_NACION"	"MLP"	"SEMILLA"	"EG"	"PODEMOS"	"CREO"	"UNIDOS"	"PC"	"UCN"	"FUERZA"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11048"	"4"	"11"	"1"	"2"	"380"	"2"	"39"	"24"	"36"	"45"	"3"	"15"	"1"	"0"	"0"	"4"	"3"	"0"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"22"	"7"	"0"	"210"	"210"	"1"	"0"
"11049"	"4"	"11"	"1"	"2"	"376"	"11"	"44"	"24"	"49"	"37"	"3"	"19"	"2"	"0"	"0"	"5"	"2"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"20"	"3"	"0"	"225"	"225"	"1"	"0"
"11050"	"4"	"11"	"1"	"2"	"376"	"4"	"35"	"18"	"86"	"30"	"3"	"19"	"2"	"0"	"0"	"6"	"2"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"22"	"7"	"0"	"241"	"241"	"1"	"0"
"11051"	"4"	"11"	"1"	"2"	"380"	"8"	"51"	"33"	"52"	"38"	"2"	"21"	"2"	"2"	"1"	"6"	"2"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"19"	"11"	"0"	"253"	"253"	"1"	"0"
"11052"	"4"	"11"	"1"	"2"	"376"	"4"	"41"	"17"	"56"	"29"	"1"	"10"	"0"	"0"	"1"	"3"	"1"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"30"	"4"	"0"	"202"	"202"	"1"	"0"
"11053"	"4"	"11"	"1"	"2"	"380"	"3"	"46"	"16"	"56"	"32"	"4"	"14"	"1"	"1"	"0"	"4"	"1"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"27"	"2"	"0"	"213"	"213"	"1"	"0"
"11054"	"4"	"11"	"1"	"2"	"376"	"4"	"31"	"16"	"35"	"40"	"1"	"26"	"1"	"1"	"0"	"5"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"10"	"4"	"0"	"181"	"181"	"1"	"0"
"11055"	"4"	"11"	"1"	"2"	"289"	"4"	"46"	"16"	"39"	"42"	"3"	"16"	"3"	"0"	"0"	"4"	"0"	"0"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"4"	"3"	"0"	"191"	"191"	"1"	"0"
"11056"	"4"	"11"	"1"	"2"	"288"	"2"	"28"	"15"	"41"	"31"	"3"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"4"	"5"	"0"	"150"	"150"	"1"	"0"
"11057"	"4"	"11"	"1"	"2"	"376"	"10"	"48"	"17"	"46"	"43"	"0"	"29"	"4"	"3"	"1"	"2"	"0"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"24"	"12"	"0"	"248"	"248"	"1"	"0"
