"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"FCN_NACION"	"CREO"	"VALOR"	"UNIDOS"	"CONVERGENCIA"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17325"	"4"	"16"	"14"	"2"	"380"	"38"	"5"	"19"	"3"	"6"	"2"	"8"	"69"	"21"	"17"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"25"	"6"	"0"	"261"	"261"	"1"	"0"
"17326"	"4"	"16"	"14"	"2"	"380"	"17"	"3"	"9"	"4"	"8"	"5"	"9"	"40"	"65"	"15"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"31"	"7"	"0"	"239"	"239"	"1"	"0"
"17327"	"4"	"16"	"14"	"2"	"380"	"28"	"4"	"12"	"7"	"7"	"5"	"20"	"67"	"23"	"12"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"34"	"9"	"0"	"250"	"250"	"1"	"0"
"17328"	"4"	"16"	"14"	"2"	"380"	"27"	"1"	"7"	"0"	"10"	"4"	"5"	"106"	"19"	"13"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"24"	"10"	"0"	"235"	"235"	"1"	"0"
"17329"	"4"	"16"	"14"	"2"	"380"	"31"	"6"	"15"	"0"	"7"	"3"	"5"	"100"	"25"	"13"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"14"	"3"	"0"	"244"	"244"	"1"	"0"
"17330"	"4"	"16"	"14"	"2"	"327"	"25"	"3"	"16"	"3"	"3"	"1"	"5"	"63"	"21"	"10"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"177"	"6"	"7"	"0"	"191"	"190"	"0"	"0"
"17331"	"4"	"16"	"14"	"2"	"327"	"24"	"4"	"12"	"2"	"5"	"3"	"3"	"68"	"35"	"6"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"5"	"3"	"0"	"192"	"192"	"1"	"0"
"17332"	"4"	"16"	"14"	"2"	"380"	"37"	"2"	"18"	"4"	"2"	"12"	"32"	"62"	"29"	"8"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"31"	"9"	"0"	"270"	"270"	"1"	"0"
"17333"	"4"	"16"	"14"	"2"	"380"	"31"	"1"	"7"	"1"	"4"	"26"	"36"	"27"	"21"	"18"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"24"	"12"	"0"	"258"	"258"	"1"	"0"
"17334"	"4"	"16"	"14"	"2"	"317"	"21"	"3"	"9"	"2"	"2"	"12"	"27"	"23"	"32"	"7"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"21"	"4"	"0"	"154"	"179"	"0"	"0"
