"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"CREO"	"VICTORIA"	"BIEN"	"PC"	"FCN_NACION"	"CONVERGENCIA"	"VALOR"	"UNIDOS"	"PPT"	"PODEMOS"	"MLP"	"TODOS"	"URNG_MAIZ"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17153"	"4"	"16"	"12"	"2"	"401"	"21"	"19"	"6"	"1"	"71"	"45"	"6"	"52"	"7"	"28"	"0"	"18"	"10"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"9"	"2"	"0"	"304"	"304"	"1"	"0"
"17154"	"4"	"16"	"12"	"2"	"400"	"20"	"21"	"5"	"3"	"84"	"29"	"4"	"44"	"14"	"22"	"0"	"10"	"6"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"8"	"0"	"286"	"286"	"1"	"0"
"17155"	"4"	"16"	"12"	"2"	"400"	"25"	"20"	"6"	"3"	"74"	"29"	"9"	"43"	"8"	"21"	"1"	"11"	"5"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"3"	"0"	"272"	"272"	"1"	"0"
"17156"	"4"	"16"	"12"	"2"	"413"	"14"	"18"	"5"	"1"	"92"	"27"	"3"	"45"	"20"	"26"	"0"	"12"	"4"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"4"	"3"	"0"	"282"	"282"	"1"	"0"
"17157"	"4"	"16"	"12"	"2"	"231"	"13"	"20"	"2"	"1"	"59"	"28"	"2"	"28"	"7"	"13"	"0"	"4"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"1"	"2"	"0"	"185"	"185"	"1"	"0"
"17158"	"4"	"16"	"12"	"2"	"230"	"6"	"17"	"4"	"0"	"56"	"17"	"3"	"25"	"8"	"9"	"0"	"8"	"2"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"6"	"5"	"0"	"172"	"172"	"1"	"0"
"17159"	"4"	"16"	"12"	"2"	"400"	"11"	"42"	"5"	"0"	"55"	"12"	"6"	"57"	"41"	"7"	"1"	"11"	"1"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"19"	"12"	"0"	"289"	"289"	"1"	"0"
"17160"	"4"	"16"	"12"	"2"	"400"	"14"	"29"	"11"	"1"	"63"	"33"	"12"	"62"	"16"	"6"	"0"	"4"	"2"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"13"	"16"	"2"	"289"	"289"	"1"	"0"
"17161"	"4"	"16"	"12"	"2"	"400"	"31"	"59"	"9"	"1"	"45"	"11"	"1"	"67"	"18"	"4"	"1"	"6"	"2"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"13"	"18"	"0"	"296"	"296"	"1"	"0"
"17162"	"4"	"16"	"12"	"2"	"400"	"11"	"27"	"4"	"2"	"87"	"24"	"5"	"87"	"24"	"9"	"0"	"6"	"6"	"11"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"19"	"6"	"0"	"332"	"332"	"1"	"0"
"17163"	"4"	"16"	"12"	"2"	"402"	"22"	"43"	"4"	"0"	"45"	"23"	"4"	"95"	"28"	"4"	"0"	"8"	"3"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"12"	"16"	"81"	"321"	"321"	"1"	"0"
"17164"	"4"	"16"	"12"	"2"	"387"	"14"	"26"	"3"	"2"	"67"	"22"	"9"	"88"	"31"	"4"	"0"	"3"	"2"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"10"	"13"	"0"	"302"	"302"	"1"	"0"
"17165"	"4"	"16"	"12"	"2"	"400"	"33"	"38"	"8"	"2"	"70"	"16"	"5"	"60"	"27"	"5"	"0"	"12"	"3"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"10"	"9"	"0"	"304"	"304"	"1"	"0"
"17166"	"4"	"16"	"12"	"2"	"400"	"21"	"48"	"5"	"1"	"99"	"29"	"4"	"48"	"14"	"11"	"0"	"9"	"3"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"9"	"11"	"0"	"322"	"322"	"1"	"0"
"17167"	"4"	"16"	"12"	"2"	"400"	"24"	"28"	"5"	"2"	"67"	"25"	"5"	"63"	"33"	"7"	"1"	"4"	"4"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"9"	"2"	"0"	"283"	"283"	"1"	"0"
