"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"CREO"	"VICTORIA"	"BIEN"	"PC"	"FCN_NACION"	"CONVERGENCIA"	"VALOR"	"UNIDOS"	"PPT"	"PODEMOS"	"MLP"	"TODOS"	"URNG_MAIZ"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17183"	"4"	"16"	"12"	"2"	"369"	"3"	"27"	"6"	"1"	"52"	"31"	"2"	"68"	"19"	"4"	"1"	"7"	"5"	"21"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"17"	"6"	"0"	"273"	"273"	"1"	"0"
"17184"	"4"	"16"	"12"	"2"	"380"	"6"	"24"	"2"	"2"	"34"	"28"	"2"	"55"	"15"	"3"	"0"	"26"	"10"	"17"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"36"	"9"	"0"	"275"	"275"	"1"	"0"
"17185"	"4"	"16"	"12"	"2"	"378"	"8"	"31"	"13"	"3"	"56"	"18"	"5"	"100"	"8"	"3"	"0"	"4"	"10"	"21"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"20"	"6"	"0"	"309"	"309"	"1"	"0"
"17186"	"4"	"16"	"12"	"2"	"380"	"5"	"41"	"13"	"2"	"50"	"11"	"3"	"83"	"4"	"2"	"0"	"6"	"19"	"16"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"29"	"9"	"0"	"298"	"298"	"1"	"0"
"17187"	"4"	"16"	"12"	"2"	"380"	"14"	"21"	"10"	"0"	"45"	"23"	"0"	"37"	"11"	"2"	"0"	"4"	"4"	"19"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"21"	"9"	"0"	"221"	"221"	"1"	"0"
"17188"	"4"	"16"	"12"	"2"	"380"	"6"	"20"	"3"	"2"	"53"	"17"	"2"	"71"	"9"	"5"	"0"	"8"	"5"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"10"	"3"	"1"	"233"	"232"	"0"	"0"
"17189"	"4"	"16"	"12"	"2"	"380"	"7"	"17"	"6"	"1"	"50"	"34"	"6"	"72"	"4"	"2"	"2"	"4"	"2"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"18"	"6"	"0"	"253"	"253"	"1"	"0"
"17190"	"4"	"16"	"12"	"2"	"380"	"4"	"26"	"6"	"0"	"36"	"28"	"1"	"72"	"6"	"3"	"0"	"4"	"2"	"25"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"17"	"8"	"0"	"242"	"242"	"1"	"0"
"17191"	"4"	"16"	"12"	"2"	"380"	"4"	"40"	"2"	"3"	"35"	"18"	"1"	"44"	"2"	"3"	"0"	"9"	"3"	"40"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"39"	"10"	"0"	"257"	"257"	"1"	"0"
"17192"	"4"	"16"	"12"	"2"	"380"	"5"	"32"	"3"	"0"	"40"	"19"	"3"	"53"	"4"	"3"	"0"	"8"	"5"	"25"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"24"	"8"	"0"	"235"	"235"	"1"	"0"
