"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PC"	"VAMOS"	"UNIDOS"	"PODEMOS"	"SEMILLA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15114"	"4"	"14"	"12"	"2"	"400"	"114"	"3"	"69"	"7"	"10"	"7"	"6"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"12"	"0"	"252"	"252"	"1"	"0"
"15115"	"4"	"14"	"12"	"2"	"400"	"162"	"3"	"42"	"6"	"1"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"14"	"10"	"10"	"249"	"249"	"1"	"0"
"15116"	"4"	"14"	"12"	"2"	"400"	"88"	"6"	"83"	"5"	"2"	"6"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"200"	"14"	"16"	"0"	"229"	"230"	"0"	"0"
"15117"	"4"	"14"	"12"	"2"	"400"	"114"	"4"	"73"	"6"	"1"	"6"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"18"	"8"	"0"	"250"	"250"	"1"	"0"
"15118"	"4"	"14"	"12"	"2"	"400"	"105"	"3"	"78"	"4"	"2"	"4"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"11"	"22"	"0"	"239"	"239"	"1"	"0"
"15119"	"4"	"14"	"12"	"2"	"400"	"109"	"7"	"86"	"9"	"5"	"1"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"11"	"0"	"259"	"259"	"1"	"0"
"15120"	"4"	"14"	"12"	"2"	"0"	"105"	"5"	"80"	"9"	"2"	"7"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"13"	"0"	"255"	"255"	"1"	"0"
"15121"	"4"	"14"	"12"	"2"	"400"	"138"	"8"	"63"	"2"	"2"	"1"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"4"	"17"	"0"	"247"	"247"	"1"	"0"
"15122"	"4"	"14"	"12"	"2"	"400"	"148"	"2"	"36"	"8"	"1"	"3"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"4"	"11"	"0"	"225"	"225"	"1"	"0"
"15123"	"4"	"14"	"12"	"2"	"400"	"126"	"6"	"48"	"6"	"0"	"5"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"24"	"17"	"0"	"242"	"242"	"1"	"0"
"15124"	"4"	"14"	"12"	"2"	"400"	"78"	"1"	"79"	"6"	"5"	"5"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"12"	"9"	"0"	"209"	"209"	"1"	"0"
"15125"	"4"	"14"	"12"	"2"	"400"	"122"	"8"	"53"	"9"	"7"	"8"	"3"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"8"	"9"	"0"	"250"	"250"	"1"	"0"
"15126"	"4"	"14"	"12"	"2"	"400"	"101"	"4"	"81"	"6"	"1"	"4"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"16"	"8"	"0"	"245"	"245"	"1"	"0"
"15127"	"4"	"14"	"12"	"2"	"400"	"114"	"3"	"64"	"7"	"2"	"10"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"220"	"23"	"11"	"0"	"253"	"254"	"0"	"0"
"15128"	"4"	"14"	"12"	"2"	"399"	"95"	"6"	"80"	"10"	"2"	"0"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"15"	"12"	"0"	"237"	"237"	"1"	"0"
"15129"	"4"	"14"	"12"	"2"	"400"	"130"	"1"	"72"	"4"	"4"	"8"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"12"	"12"	"0"	"253"	"253"	"1"	"0"
"15130"	"4"	"14"	"12"	"2"	"411"	"96"	"3"	"91"	"7"	"1"	"2"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"6"	"8"	"0"	"226"	"226"	"1"	"0"
"15131"	"4"	"14"	"12"	"2"	"400"	"97"	"3"	"54"	"1"	"1"	"3"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"5"	"3"	"0"	"184"	"184"	"1"	"0"
"15132"	"4"	"14"	"12"	"2"	"400"	"112"	"9"	"58"	"7"	"1"	"4"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"4"	"3"	"0"	"215"	"215"	"1"	"0"
"15133"	"4"	"14"	"12"	"2"	"399"	"99"	"1"	"63"	"4"	"5"	"2"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"6"	"7"	"0"	"205"	"205"	"1"	"0"
"15134"	"4"	"14"	"12"	"2"	"400"	"119"	"5"	"57"	"7"	"4"	"2"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"2"	"6"	"0"	"214"	"214"	"1"	"0"
"15135"	"4"	"14"	"12"	"2"	"397"	"111"	"10"	"71"	"9"	"5"	"8"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"10"	"0"	"252"	"252"	"1"	"0"
"15136"	"4"	"14"	"12"	"2"	"400"	"111"	"0"	"85"	"5"	"5"	"5"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"5"	"3"	"0"	"242"	"242"	"1"	"0"
"15137"	"4"	"14"	"12"	"2"	"400"	"103"	"9"	"58"	"8"	"3"	"12"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"9"	"6"	"0"	"226"	"226"	"1"	"0"
"15138"	"4"	"14"	"12"	"2"	"400"	"93"	"8"	"64"	"13"	"3"	"6"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"13"	"12"	"0"	"234"	"234"	"1"	"0"
"15139"	"4"	"14"	"12"	"2"	"400"	"99"	"2"	"73"	"6"	"1"	"7"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"6"	"5"	"0"	"214"	"214"	"1"	"0"
"15140"	"4"	"14"	"12"	"2"	"400"	"95"	"8"	"74"	"6"	"2"	"3"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"1"	"1"	"0"	"202"	"202"	"1"	"0"
"15141"	"4"	"14"	"12"	"2"	"400"	"100"	"6"	"61"	"6"	"1"	"10"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"6"	"6"	"1"	"217"	"217"	"1"	"0"
"15142"	"4"	"14"	"12"	"2"	"400"	"136"	"4"	"83"	"5"	"1"	"3"	"4"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"2"	"6"	"0"	"263"	"263"	"1"	"0"
