"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PC"	"VAMOS"	"UNIDOS"	"PODEMOS"	"SEMILLA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15156"	"4"	"14"	"12"	"2"	"400"	"103"	"3"	"91"	"5"	"6"	"2"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"10"	"0"	"233"	"233"	"1"	"0"
"15157"	"4"	"14"	"12"	"2"	"400"	"81"	"3"	"58"	"1"	"5"	"2"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"4"	"3"	"0"	"166"	"166"	"1"	"0"
"15158"	"4"	"14"	"12"	"2"	"400"	"75"	"9"	"67"	"2"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"3"	"7"	"0"	"174"	"174"	"1"	"0"
"15159"	"4"	"14"	"12"	"2"	"400"	"100"	"9"	"65"	"4"	"0"	"2"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"5"	"7"	"0"	"206"	"206"	"1"	"0"
"15160"	"4"	"14"	"12"	"2"	"400"	"124"	"9"	"54"	"3"	"0"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"6"	"10"	"184"	"216"	"216"	"1"	"0"
"15161"	"4"	"14"	"12"	"2"	"400"	"121"	"17"	"73"	"0"	"2"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"4"	"11"	"0"	"240"	"240"	"1"	"0"
"15162"	"4"	"14"	"12"	"2"	"400"	"105"	"8"	"80"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"11"	"1"	"218"	"218"	"1"	"0"
"15163"	"4"	"14"	"12"	"2"	"399"	"97"	"9"	"68"	"3"	"0"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"11"	"10"	"0"	"209"	"209"	"1"	"0"
"15164"	"4"	"14"	"12"	"2"	"400"	"88"	"1"	"64"	"1"	"1"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"6"	"8"	"0"	"176"	"176"	"1"	"0"
"15165"	"4"	"14"	"12"	"2"	"400"	"85"	"10"	"60"	"2"	"0"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"5"	"9"	"0"	"180"	"180"	"1"	"0"
