"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"CREO"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"UNE"	"UNIDOS"	"LIBRE"	"VICTORIA"	"FCN_NACION"	"BIEN"	"PHG"	"PC"	"URNG_MAIZ"	"VIVA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4303"	"4"	"1"	"16"	"2"	"396"	"12"	"10"	"4"	"92"	"2"	"17"	"26"	"7"	"28"	"2"	"6"	"1"	"10"	"19"	"10"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"11"	"8"	"0"	"276"	"276"	"1"	"0"
"4304"	"4"	"1"	"16"	"2"	"396"	"10"	"20"	"4"	"86"	"1"	"21"	"32"	"1"	"21"	"0"	"6"	"1"	"17"	"16"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"1"	"0"	"262"	"262"	"1"	"0"
"4305"	"4"	"1"	"16"	"2"	"394"	"6"	"12"	"3"	"102"	"1"	"14"	"34"	"4"	"31"	"1"	"6"	"4"	"10"	"14"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"1"	"11"	"259"	"259"	"1"	"0"
"4306"	"4"	"1"	"16"	"2"	"400"	"7"	"13"	"8"	"82"	"1"	"10"	"41"	"2"	"24"	"2"	"6"	"1"	"16"	"21"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"12"	"2"	"0"	"258"	"258"	"1"	"0"
"4307"	"4"	"1"	"16"	"2"	"394"	"7"	"7"	"4"	"87"	"2"	"11"	"33"	"2"	"21"	"3"	"8"	"3"	"7"	"15"	"4"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"11"	"7"	"0"	"242"	"242"	"1"	"0"
"4308"	"4"	"1"	"16"	"2"	"400"	"5"	"9"	"6"	"95"	"1"	"11"	"29"	"4"	"22"	"2"	"10"	"0"	"7"	"19"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"10"	"1"	"0"	"242"	"242"	"1"	"0"
"4309"	"4"	"1"	"16"	"2"	"396"	"10"	"10"	"6"	"93"	"1"	"24"	"30"	"1"	"14"	"1"	"10"	"0"	"16"	"19"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"8"	"2"	"0"	"259"	"259"	"1"	"0"
"4310"	"4"	"1"	"16"	"2"	"396"	"9"	"19"	"5"	"108"	"1"	"24"	"24"	"1"	"20"	"0"	"3"	"1"	"19"	"7"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"5"	"1"	"0"	"258"	"258"	"1"	"0"
"4311"	"4"	"1"	"16"	"2"	"398"	"13"	"14"	"10"	"100"	"4"	"21"	"35"	"1"	"20"	"2"	"8"	"0"	"11"	"25"	"14"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"3"	"0"	"0"	"290"	"290"	"1"	"0"
"4312"	"4"	"1"	"16"	"2"	"241"	"6"	"7"	"3"	"56"	"0"	"11"	"15"	"3"	"9"	"2"	"5"	"1"	"7"	"15"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"3"	"2"	"0"	"153"	"153"	"1"	"0"
