"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"CREO"	"VAMOS"	"PHG"	"LIBRE"	"CCLE"	"FUERZA"	"SEMILLA"	"UNIONISTA"	"PODEMOS"	"VALOR"	"CONVERGENCIA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10164"	"4"	"9"	"23"	"2"	"391"	"56"	"28"	"34"	"53"	"45"	"47"	"1"	"13"	"6"	"3"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"6"	"0"	"0"	"308"	"308"	"1"	"0"
"10165"	"4"	"9"	"23"	"2"	"398"	"55"	"26"	"30"	"39"	"30"	"34"	"3"	"10"	"3"	"5"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"8"	"3"	"0"	"261"	"261"	"1"	"0"
"10166"	"4"	"9"	"23"	"2"	"403"	"60"	"29"	"16"	"48"	"31"	"41"	"1"	"12"	"2"	"3"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"5"	"2"	"0"	"263"	"263"	"1"	"0"
"10167"	"4"	"9"	"23"	"2"	"211"	"32"	"12"	"16"	"27"	"30"	"28"	"0"	"3"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"5"	"0"	"0"	"160"	"160"	"1"	"0"
"10168"	"4"	"9"	"23"	"2"	"210"	"25"	"9"	"20"	"29"	"20"	"9"	"1"	"7"	"8"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"1"	"3"	"0"	"137"	"137"	"1"	"0"
"10169"	"4"	"9"	"23"	"2"	"394"	"52"	"31"	"13"	"25"	"70"	"32"	"3"	"11"	"4"	"3"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"8"	"0"	"278"	"278"	"1"	"0"
"10170"	"4"	"9"	"23"	"2"	"400"	"70"	"14"	"19"	"38"	"59"	"39"	"6"	"7"	"3"	"7"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"6"	"0"	"292"	"292"	"1"	"0"
"10171"	"4"	"9"	"23"	"2"	"400"	"61"	"27"	"29"	"42"	"58"	"27"	"2"	"6"	"7"	"4"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"6"	"16"	"0"	"300"	"300"	"1"	"0"
"10172"	"4"	"9"	"23"	"2"	"396"	"52"	"27"	"25"	"22"	"69"	"47"	"1"	"1"	"7"	"7"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"7"	"9"	"0"	"287"	"287"	"1"	"0"
"10173"	"4"	"9"	"23"	"2"	"400"	"64"	"17"	"21"	"31"	"59"	"47"	"6"	"7"	"3"	"6"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"9"	"3"	"0"	"286"	"286"	"1"	"0"
"10174"	"4"	"9"	"23"	"2"	"400"	"62"	"21"	"18"	"30"	"67"	"27"	"0"	"11"	"4"	"4"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"7"	"2"	"0"	"269"	"269"	"1"	"0"
"10175"	"4"	"9"	"23"	"2"	"396"	"57"	"20"	"24"	"28"	"60"	"43"	"2"	"9"	"5"	"6"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"3"	"1"	"0"	"272"	"272"	"1"	"0"
"10176"	"4"	"9"	"23"	"2"	"398"	"51"	"18"	"25"	"31"	"70"	"29"	"5"	"13"	"6"	"3"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"5"	"2"	"0"	"279"	"279"	"1"	"0"
"10177"	"4"	"9"	"23"	"2"	"400"	"48"	"21"	"11"	"32"	"76"	"31"	"5"	"6"	"3"	"2"	"29"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"5"	"2"	"0"	"274"	"274"	"1"	"0"
"10178"	"4"	"9"	"23"	"2"	"396"	"54"	"15"	"19"	"31"	"50"	"23"	"1"	"4"	"3"	"5"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"0"	"0"	"240"	"240"	"1"	"0"
"10179"	"4"	"9"	"23"	"2"	"207"	"27"	"9"	"5"	"34"	"32"	"17"	"1"	"10"	"2"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"3"	"2"	"0"	"152"	"152"	"1"	"0"
"10180"	"4"	"9"	"23"	"2"	"205"	"22"	"10"	"9"	"25"	"27"	"15"	"0"	"2"	"2"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"4"	"0"	"0"	"128"	"128"	"1"	"0"
"10181"	"4"	"9"	"23"	"2"	"407"	"26"	"17"	"8"	"14"	"28"	"28"	"0"	"6"	"5"	"6"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"12"	"8"	"0"	"167"	"167"	"1"	"0"
"10182"	"4"	"9"	"23"	"2"	"406"	"21"	"10"	"7"	"24"	"21"	"16"	"2"	"5"	"1"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"118"	"118"	"5"	"4"	"0"	"127"	"127"	"1"	"0"
