"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"BIEN"	"UCN"	"VAMOS"	"FCN_NACION"	"VALOR"	"MLP"	"UNIONISTA"	"FUERZA"	"SEMILLA"	"VIVA"	"TODOS"	"PC"	"CONVERGENCIA"	"PHG"	"AVANZA"	"UNIDOS"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19841"	"4"	"21"	"1"	"2"	"400"	"67"	"18"	"82"	"7"	"13"	"8"	"3"	"2"	"3"	"22"	"3"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"233"	"16"	"8"	"0"	"260"	"257"	"0"	"0"
"19842"	"4"	"21"	"1"	"2"	"400"	"71"	"9"	"90"	"10"	"12"	"9"	"6"	"2"	"3"	"38"	"4"	"5"	"0"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"11"	"6"	"1"	"284"	"283"	"0"	"0"
"19843"	"4"	"21"	"1"	"2"	"400"	"74"	"9"	"88"	"11"	"14"	"9"	"2"	"2"	"4"	"29"	"1"	"4"	"0"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"6"	"4"	"0"	"264"	"264"	"1"	"0"
"19844"	"4"	"21"	"1"	"2"	"400"	"45"	"15"	"91"	"7"	"22"	"8"	"0"	"0"	"5"	"33"	"4"	"3"	"0"	"1"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"4"	"1"	"0"	"250"	"250"	"1"	"0"
"19845"	"4"	"21"	"1"	"2"	"418"	"68"	"11"	"96"	"8"	"3"	"5"	"2"	"1"	"5"	"29"	"4"	"3"	"1"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"9"	"4"	"0"	"256"	"256"	"1"	"0"
"19846"	"4"	"21"	"1"	"2"	"0"	"65"	"11"	"94"	"12"	"15"	"5"	"2"	"1"	"4"	"27"	"3"	"4"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"10"	"0"	"0"	"259"	"259"	"1"	"0"
"19847"	"4"	"21"	"1"	"2"	"400"	"70"	"12"	"86"	"12"	"10"	"6"	"2"	"2"	"3"	"40"	"4"	"2"	"1"	"1"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"6"	"2"	"1"	"269"	"269"	"1"	"0"
"19848"	"4"	"21"	"1"	"2"	"393"	"66"	"7"	"102"	"8"	"7"	"4"	"1"	"2"	"3"	"40"	"5"	"1"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"12"	"4"	"0"	"270"	"270"	"1"	"0"
"19849"	"4"	"21"	"1"	"2"	"400"	"64"	"7"	"91"	"12"	"9"	"7"	"2"	"4"	"4"	"31"	"3"	"3"	"0"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"10"	"3"	"0"	"258"	"258"	"1"	"0"
"19850"	"4"	"21"	"1"	"2"	"396"	"47"	"12"	"76"	"8"	"14"	"7"	"1"	"1"	"6"	"28"	"6"	"4"	"1"	"6"	"8"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"10"	"4"	"0"	"242"	"242"	"1"	"0"
"19851"	"4"	"21"	"1"	"2"	"396"	"47"	"17"	"90"	"8"	"9"	"17"	"3"	"0"	"2"	"24"	"1"	"3"	"1"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"6"	"2"	"0"	"236"	"236"	"1"	"0"
"19852"	"4"	"21"	"1"	"2"	"395"	"64"	"19"	"90"	"10"	"11"	"4"	"2"	"0"	"4"	"27"	"2"	"9"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"6"	"0"	"0"	"251"	"251"	"1"	"0"
"19853"	"4"	"21"	"1"	"2"	"239"	"47"	"11"	"63"	"9"	"8"	"7"	"3"	"1"	"2"	"21"	"2"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"3"	"0"	"0"	"181"	"181"	"1"	"0"
"19854"	"4"	"21"	"1"	"2"	"238"	"38"	"9"	"49"	"2"	"8"	"2"	"1"	"0"	"2"	"12"	"3"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"1"	"3"	"0"	"134"	"134"	"1"	"0"
"19855"	"4"	"21"	"1"	"2"	"396"	"58"	"11"	"64"	"14"	"18"	"10"	"0"	"7"	"2"	"29"	"3"	"1"	"2"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"11"	"3"	"0"	"242"	"242"	"1"	"0"
"19856"	"4"	"21"	"1"	"2"	"400"	"51"	"18"	"73"	"16"	"10"	"7"	"1"	"1"	"4"	"44"	"2"	"2"	"2"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"12"	"7"	"0"	"257"	"257"	"1"	"0"
"19857"	"4"	"21"	"1"	"2"	"0"	"68"	"8"	"73"	"17"	"13"	"6"	"3"	"3"	"4"	"33"	"0"	"6"	"4"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"13"	"4"	"0"	"266"	"266"	"1"	"0"
"19858"	"4"	"21"	"1"	"2"	"400"	"65"	"10"	"78"	"11"	"14"	"4"	"3"	"4"	"1"	"49"	"3"	"3"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"12"	"0"	"0"	"264"	"264"	"1"	"0"
"19859"	"4"	"21"	"1"	"2"	"0"	"50"	"10"	"68"	"16"	"14"	"12"	"2"	"4"	"3"	"30"	"3"	"2"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"4"	"3"	"0"	"228"	"228"	"1"	"0"
"19860"	"4"	"21"	"1"	"2"	"396"	"49"	"16"	"73"	"13"	"9"	"12"	"2"	"7"	"4"	"40"	"4"	"1"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"0"	"0"	"246"	"246"	"1"	"0"
"19861"	"4"	"21"	"1"	"2"	"400"	"57"	"14"	"95"	"14"	"12"	"10"	"3"	"6"	"3"	"39"	"3"	"2"	"4"	"0"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"7"	"0"	"1"	"275"	"275"	"1"	"0"
