"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"UCN"	"CONVERGENCIA"	"LIBRE"	"CREO"	"VALOR"	"MLP"	"TODOS"	"FCN_NACION"	"URNG_MAIZ"	"VICTORIA"	"CCCSP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12548"	"4"	"12"	"19"	"2"	"400"	"54"	"28"	"68"	"3"	"2"	"4"	"15"	"3"	"1"	"3"	"15"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"16"	"0"	"0"	"230"	"230"	"1"	"0"
"12549"	"4"	"12"	"19"	"2"	"400"	"48"	"28"	"69"	"6"	"2"	"2"	"8"	"3"	"7"	"1"	"16"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"15"	"14"	"0"	"235"	"235"	"1"	"0"
"12550"	"4"	"12"	"19"	"2"	"397"	"42"	"24"	"62"	"1"	"6"	"3"	"3"	"3"	"6"	"2"	"22"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"19"	"6"	"0"	"217"	"217"	"1"	"0"
"12551"	"4"	"12"	"19"	"2"	"400"	"55"	"26"	"71"	"2"	"9"	"2"	"7"	"3"	"4"	"2"	"16"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"8"	"3"	"0"	"288"	"228"	"0"	"0"
"12552"	"4"	"12"	"19"	"2"	"400"	"45"	"24"	"87"	"0"	"4"	"3"	"6"	"2"	"8"	"2"	"17"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"0"	"0"	"218"	"223"	"0"	"0"
"12553"	"4"	"12"	"19"	"2"	"291"	"37"	"19"	"41"	"7"	"3"	"3"	"4"	"5"	"1"	"0"	"18"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"3"	"3"	"0"	"153"	"153"	"1"	"0"
"12554"	"4"	"12"	"19"	"2"	"298"	"29"	"12"	"38"	"5"	"3"	"4"	"4"	"0"	"0"	"2"	"15"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"10"	"4"	"0"	"131"	"131"	"1"	"0"
"12555"	"4"	"12"	"19"	"2"	"380"	"106"	"24"	"61"	"1"	"3"	"2"	"13"	"1"	"2"	"0"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"0"	"13"	"19"	"255"	"236"	"0"	"0"
"12556"	"4"	"12"	"19"	"2"	"380"	"100"	"22"	"82"	"1"	"1"	"4"	"10"	"3"	"1"	"0"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"4"	"0"	"256"	"256"	"1"	"0"
"12557"	"4"	"12"	"19"	"2"	"380"	"95"	"23"	"72"	"2"	"1"	"2"	"7"	"11"	"3"	"1"	"10"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"16"	"12"	"0"	"258"	"258"	"1"	"0"
