"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"UCN"	"FUERZA"	"VAMOS"	"PC"	"FCN_NACION"	"PODEMOS"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6657"	"4"	"5"	"4"	"2"	"0"	"80"	"119"	"60"	"40"	"2"	"13"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"8"	"2"	"0"	"333"	"333"	"1"	"0"
"6658"	"4"	"5"	"4"	"2"	"400"	"89"	"109"	"62"	"16"	"8"	"2"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"4"	"3"	"0"	"306"	"306"	"1"	"0"
"6659"	"4"	"5"	"4"	"2"	"0"	"64"	"110"	"68"	"22"	"4"	"1"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"8"	"6"	"0"	"302"	"302"	"1"	"0"
"6660"	"4"	"5"	"4"	"2"	"400"	"62"	"106"	"64"	"27"	"6"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"6"	"1"	"0"	"288"	"288"	"1"	"0"
"6661"	"4"	"5"	"4"	"2"	"0"	"55"	"99"	"65"	"19"	"8"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"4"	"0"	"0"	"266"	"266"	"1"	"0"
"6662"	"4"	"5"	"4"	"2"	"0"	"62"	"91"	"62"	"18"	"8"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"4"	"0"	"273"	"273"	"1"	"1"
"6663"	"4"	"5"	"4"	"2"	"0"	"76"	"90"	"49"	"24"	"3"	"5"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"19"	"2"	"0"	"277"	"277"	"1"	"0"
"6664"	"4"	"5"	"4"	"2"	"0"	"61"	"85"	"52"	"23"	"11"	"2"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"12"	"2"	"0"	"260"	"260"	"1"	"0"
"6665"	"4"	"5"	"4"	"2"	"398"	"62"	"77"	"61"	"33"	"8"	"4"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"13"	"4"	"0"	"270"	"270"	"1"	"0"
"6666"	"4"	"5"	"4"	"2"	"0"	"72"	"94"	"57"	"21"	"5"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"13"	"0"	"0"	"281"	"281"	"1"	"0"
